,num_bikes_available,num_bikes_disabled,is_installed,legacy_id,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,station_status,last_reported,is_returning,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
90,15,0,True,101,0,0,0,True,active,2020-08-14 00:15:33+00:00,True,101,False,2020-08-14 03:15:45,2020
91,11,1,True,102,0,3,0,True,active,2020-08-14 02:14:04+00:00,True,102,False,2020-08-14 03:15:45,2020
92,5,0,True,103,0,10,0,True,active,2020-08-14 02:56:30+00:00,True,103,False,2020-08-14 03:15:45,2020
93,8,0,True,104,0,11,0,True,active,2020-08-14 02:48:49+00:00,True,104,False,2020-08-14 03:15:45,2020
94,6,0,True,105,0,13,0,True,active,2020-08-14 03:05:56+00:00,True,105,False,2020-08-14 03:15:45,2020
95,1,1,True,106,0,13,0,True,active,2020-08-14 02:12:01+00:00,True,106,False,2020-08-14 03:15:45,2020
96,0,0,True,107,0,19,0,True,active,2020-08-14 02:33:57+00:00,True,107,False,2020-08-14 03:15:45,2020
97,3,0,True,108,0,14,0,True,active,2020-08-14 03:00:24+00:00,True,108,False,2020-08-14 03:15:45,2020
98,0,0,True,109,0,35,0,True,active,2020-08-13 22:42:01+00:00,True,109,False,2020-08-14 03:15:45,2020
99,7,0,True,110,0,8,0,True,active,2020-08-14 02:54:10+00:00,True,110,False,2020-08-14 03:15:45,2020
100,7,0,True,111,0,8,0,True,active,2020-08-13 23:56:44+00:00,True,111,False,2020-08-14 03:15:45,2020
101,8,0,True,112,0,7,0,True,active,2020-08-14 02:46:23+00:00,True,112,False,2020-08-14 03:15:45,2020
102,10,0,True,113,0,5,0,True,active,2020-08-14 01:35:19+00:00,True,113,False,2020-08-14 03:15:45,2020
103,3,1,True,114,0,11,0,True,active,2020-08-14 01:31:14+00:00,True,114,False,2020-08-14 03:15:45,2020
104,9,3,True,115,0,7,0,True,active,2020-08-14 02:51:56+00:00,True,115,False,2020-08-14 03:15:45,2020
105,17,0,True,116,0,6,0,True,active,2020-08-14 02:39:24+00:00,True,116,False,2020-08-14 03:15:45,2020
106,3,0,True,117,0,16,0,True,active,2020-08-14 02:11:44+00:00,True,117,False,2020-08-14 03:15:45,2020
107,17,1,True,118,0,1,0,True,active,2020-08-14 02:21:41+00:00,True,118,False,2020-08-14 03:15:45,2020
108,10,1,True,119,0,4,0,True,active,2020-08-14 03:13:09+00:00,True,119,False,2020-08-14 03:15:45,2020
109,7,1,True,120,0,7,0,True,active,2020-08-14 01:58:07+00:00,True,120,False,2020-08-14 03:15:45,2020
110,12,3,True,121,0,2,0,True,active,2020-08-14 03:15:29+00:00,True,121,False,2020-08-14 03:15:45,2020
111,8,0,True,122,0,7,0,True,active,2020-08-14 03:10:00+00:00,True,122,False,2020-08-14 03:15:45,2020
112,6,1,True,124,0,8,0,True,active,2020-08-14 00:34:05+00:00,True,124,False,2020-08-14 03:15:45,2020
113,11,1,True,125,0,3,0,True,active,2020-08-14 03:03:45+00:00,True,125,False,2020-08-14 03:15:45,2020
114,6,1,True,126,0,8,0,True,active,2020-08-13 23:34:21+00:00,True,126,False,2020-08-14 03:15:45,2020
115,11,0,True,128,0,8,0,True,active,2020-08-14 03:11:49+00:00,True,128,False,2020-08-14 03:15:45,2020
116,18,0,True,129,0,1,0,True,active,2020-08-14 02:17:26+00:00,True,129,False,2020-08-14 03:15:45,2020
117,10,0,True,130,0,5,0,True,active,2020-08-14 01:32:45+00:00,True,130,False,2020-08-14 03:15:45,2020
118,15,1,True,131,0,2,0,True,active,2020-08-14 02:35:58+00:00,True,131,False,2020-08-14 03:15:45,2020
119,7,1,True,133,0,15,0,True,active,2020-08-14 01:01:29+00:00,True,133,False,2020-08-14 03:15:45,2020
120,1,0,True,135,0,16,0,True,active,2020-08-13 20:55:32+00:00,True,135,False,2020-08-14 03:15:45,2020
121,4,2,True,136,0,13,0,True,active,2020-08-14 00:49:43+00:00,True,136,False,2020-08-14 03:15:45,2020
122,6,0,True,137,0,9,0,True,active,2020-08-14 03:10:41+00:00,True,137,False,2020-08-14 03:15:45,2020
123,12,2,True,138,0,1,0,True,active,2020-08-14 02:30:37+00:00,True,138,False,2020-08-14 03:15:45,2020
124,15,1,True,139,0,3,0,True,active,2020-08-14 02:53:16+00:00,True,139,False,2020-08-14 03:15:45,2020
