,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_ebikes_available,num_docks_disabled,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,station_id,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,False,3,0,0,0,True,active,True,8,7,True,3,2020-08-06 21:57:06+00:00,,,2020-08-06 22:02:50,2020
1,False,4,0,0,0,True,active,True,10,9,True,4,2020-08-06 21:57:53+00:00,,,2020-08-06 22:02:50,2020
2,False,5,1,0,0,True,active,True,8,6,True,5,2020-08-06 21:56:06+00:00,,,2020-08-06 22:02:50,2020
3,False,6,1,0,0,True,active,True,0,14,True,6,2020-08-06 21:59:42+00:00,,,2020-08-06 22:02:50,2020
4,False,7,0,0,0,True,active,True,6,9,True,7,2020-08-06 21:58:52+00:00,,,2020-08-06 22:02:50,2020
5,False,8,0,0,0,True,active,True,8,11,True,8,2020-08-06 22:00:57+00:00,,,2020-08-06 22:02:50,2020
6,False,9,1,0,0,True,active,True,8,6,True,9,2020-08-06 21:58:08+00:00,,,2020-08-06 22:02:50,2020
7,False,10,0,0,0,True,active,True,7,4,True,10,2020-08-06 21:49:38+00:00,,,2020-08-06 22:02:50,2020
8,False,11,1,0,0,True,active,True,11,3,True,11,2020-08-06 22:02:11+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 3, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 79, 'off_dock_capacity': 50, 'dock_blocked_count': 0}",2020-08-06 22:02:50,2020
9,True,12,0,0,0,True,active,True,15,3,True,12,2020-08-06 22:01:03+00:00,,,2020-08-06 22:02:50,2020
10,False,13,0,0,0,True,active,True,1,18,True,13,2020-08-06 21:59:54+00:00,,,2020-08-06 22:02:50,2020
11,False,14,1,0,0,True,active,True,0,24,True,14,2020-08-06 21:52:57+00:00,,,2020-08-06 22:02:50,2020
12,False,15,1,0,0,True,active,True,10,4,True,15,2020-08-06 21:22:23+00:00,,,2020-08-06 22:02:50,2020
13,True,16,0,0,0,True,active,True,10,9,True,16,2020-08-06 21:58:46+00:00,,,2020-08-06 22:02:50,2020
14,False,17,0,0,0,True,active,True,3,12,True,17,2020-08-06 21:58:25+00:00,,,2020-08-06 22:02:50,2020
15,False,19,0,0,0,True,active,True,0,15,True,19,2020-08-06 21:53:09+00:00,,,2020-08-06 22:02:50,2020
16,True,20,1,0,0,True,active,True,13,9,True,20,2020-08-06 21:51:02+00:00,,,2020-08-06 22:02:50,2020
17,True,21,0,0,0,True,active,True,4,14,True,21,2020-08-06 21:55:23+00:00,,,2020-08-06 22:02:50,2020
18,True,22,1,0,0,True,active,True,4,42,True,22,2020-08-06 21:48:22+00:00,,,2020-08-06 22:02:50,2020
19,True,23,0,0,0,True,active,True,15,6,True,23,2020-08-06 22:00:03+00:00,,,2020-08-06 22:02:50,2020
20,False,24,0,0,0,True,active,True,17,2,True,24,2020-08-06 22:01:25+00:00,,,2020-08-06 22:02:50,2020
21,False,25,1,0,0,True,active,True,2,12,True,25,2020-08-06 21:59:59+00:00,,,2020-08-06 22:02:50,2020
22,False,26,1,0,0,True,active,True,3,11,True,26,2020-08-06 22:02:19+00:00,,,2020-08-06 22:02:50,2020
23,False,27,1,0,0,True,active,True,7,15,True,27,2020-08-06 22:00:02+00:00,,,2020-08-06 22:02:50,2020
24,False,29,1,0,0,True,active,True,10,4,True,29,2020-08-06 21:31:21+00:00,,,2020-08-06 22:02:50,2020
25,False,30,0,0,0,True,active,True,0,15,True,30,2020-08-06 21:30:39+00:00,,,2020-08-06 22:02:50,2020
26,True,31,0,0,0,True,active,True,9,10,True,31,2020-08-06 21:54:08+00:00,,,2020-08-06 22:02:50,2020
27,False,32,0,0,0,True,active,True,3,12,True,32,2020-08-06 22:02:32+00:00,,,2020-08-06 22:02:50,2020
28,False,33,0,0,0,True,active,True,17,10,True,33,2020-08-06 22:01:34+00:00,,,2020-08-06 22:02:50,2020
29,False,35,0,0,0,True,active,True,7,16,True,35,2020-08-06 21:54:53+00:00,,,2020-08-06 22:02:50,2020
30,True,36,1,0,0,True,active,True,27,5,True,36,2020-08-06 21:37:17+00:00,,,2020-08-06 22:02:50,2020
31,True,37,0,0,0,True,active,True,9,6,True,37,2020-08-06 21:12:16+00:00,,,2020-08-06 22:02:50,2020
32,False,39,0,0,0,True,active,True,2,21,True,39,2020-08-06 22:01:50+00:00,,,2020-08-06 22:02:50,2020
33,False,40,0,0,0,True,active,True,0,19,True,40,2020-08-06 21:52:54+00:00,,,2020-08-06 22:02:50,2020
34,True,41,0,0,0,True,active,True,6,21,True,41,2020-08-06 22:00:06+00:00,,,2020-08-06 22:02:50,2020
35,False,42,1,0,0,True,active,True,7,15,True,42,2020-08-06 22:02:34+00:00,,,2020-08-06 22:02:50,2020
36,True,43,0,0,0,True,active,True,10,5,True,43,2020-08-06 22:02:24+00:00,,,2020-08-06 22:02:50,2020
37,False,44,0,0,0,True,active,True,11,12,True,44,2020-08-06 21:43:35+00:00,,,2020-08-06 22:02:50,2020
38,False,46,1,0,0,True,active,True,16,2,True,46,2020-08-06 22:01:30+00:00,,,2020-08-06 22:02:50,2020
39,True,47,1,0,0,True,active,True,7,11,True,47,2020-08-06 21:58:40+00:00,,,2020-08-06 22:02:50,2020
40,False,48,0,0,0,True,active,True,8,11,True,48,2020-08-06 22:00:12+00:00,,,2020-08-06 22:02:50,2020
