,num_bikes_available,is_installed,num_docks_disabled,num_bikes_disabled,legacy_id,station_id,station_status,eightd_has_available_keys,num_ebikes_available,is_renting,is_returning,num_docks_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
120,5,True,0,0,135,135,active,False,0,True,True,12,2020-08-07 01:57:54+00:00,,,2020-08-07 03:51:25,2020
121,3,True,0,0,136,136,active,False,0,True,True,16,2020-08-07 00:51:47+00:00,,,2020-08-07 03:51:25,2020
122,1,True,0,0,137,137,active,False,0,True,True,14,2020-08-07 01:40:27+00:00,,,2020-08-07 03:51:25,2020
123,7,True,0,0,138,138,active,False,0,True,True,8,2020-08-07 03:23:37+00:00,,,2020-08-07 03:51:25,2020
124,12,True,0,0,139,139,active,False,0,True,True,7,2020-08-07 03:37:13+00:00,,,2020-08-07 03:51:25,2020
125,13,True,0,2,140,140,active,False,0,True,True,2,2020-08-07 02:54:40+00:00,,,2020-08-07 03:51:25,2020
126,7,True,0,1,141,141,active,False,0,True,True,7,2020-08-07 02:53:33+00:00,,,2020-08-07 03:51:25,2020
127,10,True,0,2,142,142,active,False,0,True,True,11,2020-08-07 03:16:14+00:00,,,2020-08-07 03:51:25,2020
128,16,True,0,2,143,143,active,False,0,True,True,5,2020-08-07 03:17:05+00:00,,,2020-08-07 03:51:25,2020
129,14,True,0,0,144,144,active,False,0,True,True,5,2020-08-07 00:16:25+00:00,,,2020-08-07 03:51:25,2020
130,5,True,0,0,145,145,active,False,0,True,True,14,2020-08-07 03:48:11+00:00,,,2020-08-07 03:51:25,2020
131,7,True,0,1,146,146,active,False,0,True,True,11,2020-08-07 03:28:13+00:00,,,2020-08-07 03:51:25,2020
132,16,True,0,0,149,149,active,True,0,True,True,2,2020-08-07 01:42:48+00:00,,,2020-08-07 03:51:25,2020
133,6,True,0,1,150,150,active,False,0,True,True,12,2020-08-07 03:19:47+00:00,,,2020-08-07 03:51:25,2020
134,8,True,0,0,151,151,active,False,0,True,True,11,2020-08-07 02:29:14+00:00,,,2020-08-07 03:51:25,2020
135,14,True,0,0,152,152,active,True,0,True,True,1,2020-08-07 02:48:20+00:00,,,2020-08-07 03:51:25,2020
136,6,True,0,0,156,156,active,False,0,True,True,9,2020-08-07 00:28:21+00:00,,,2020-08-07 03:51:25,2020
137,0,True,0,0,157,157,active,False,0,True,True,15,2020-08-07 03:02:54+00:00,,,2020-08-07 03:51:25,2020
138,5,True,0,0,159,159,active,False,0,True,True,10,2020-08-07 03:20:47+00:00,,,2020-08-07 03:51:25,2020
139,2,True,0,0,160,160,active,True,0,True,True,12,2020-08-07 03:31:54+00:00,,,2020-08-07 03:51:25,2020
140,14,True,0,1,161,161,active,True,0,True,True,8,2020-08-07 03:29:26+00:00,,,2020-08-07 03:51:25,2020
141,8,True,0,0,162,162,active,False,0,True,True,7,2020-08-07 00:44:46+00:00,,,2020-08-07 03:51:25,2020
142,4,True,0,0,163,163,active,True,0,True,True,15,2020-08-07 03:00:59+00:00,,,2020-08-07 03:51:25,2020
143,0,True,0,0,167,167,active,False,0,True,True,15,2020-08-07 02:25:47+00:00,,,2020-08-07 03:51:25,2020
144,8,True,0,1,169,169,active,False,0,True,True,10,2020-08-07 02:11:28+00:00,,,2020-08-07 03:51:25,2020
145,1,True,0,0,170,170,active,True,0,True,True,13,2020-08-07 03:47:10+00:00,,,2020-08-07 03:51:25,2020
146,7,True,0,0,171,171,active,True,0,True,True,16,2020-08-07 01:13:25+00:00,,,2020-08-07 03:51:25,2020
147,4,True,0,0,173,173,active,True,0,True,True,10,2020-08-07 03:45:27+00:00,,,2020-08-07 03:51:25,2020
148,3,True,0,1,174,174,active,False,0,True,True,11,2020-08-07 02:17:44+00:00,,,2020-08-07 03:51:25,2020
149,1,True,0,0,175,175,active,True,0,True,True,16,2020-08-07 01:12:48+00:00,,,2020-08-07 03:51:25,2020
150,7,True,0,0,176,176,active,False,0,True,True,8,2020-08-07 02:55:47+00:00,,,2020-08-07 03:51:25,2020
151,3,True,0,0,177,177,active,False,0,True,True,16,2020-08-07 03:50:58+00:00,,,2020-08-07 03:51:25,2020
152,1,True,0,0,178,178,active,False,0,True,True,18,2020-08-07 03:51:12+00:00,,,2020-08-07 03:51:25,2020
153,8,True,0,0,179,179,active,False,0,True,True,17,2020-08-07 03:11:05+00:00,,,2020-08-07 03:51:25,2020
154,10,True,0,0,180,180,active,False,0,True,True,9,2020-08-07 03:16:21+00:00,,,2020-08-07 03:51:25,2020
155,19,True,0,0,181,181,active,False,0,True,True,0,2020-08-07 01:07:11+00:00,,,2020-08-07 03:51:25,2020
156,13,True,0,0,182,182,active,True,0,True,True,6,2020-08-07 01:31:43+00:00,,,2020-08-07 03:51:25,2020
157,4,True,0,0,183,183,active,False,0,True,True,15,2020-08-07 03:39:01+00:00,,,2020-08-07 03:51:25,2020
158,8,True,0,0,184,184,active,False,0,True,True,11,2020-08-07 02:55:48+00:00,,,2020-08-07 03:51:25,2020
159,9,True,0,0,185,185,active,False,0,True,True,6,2020-08-07 03:35:50+00:00,,,2020-08-07 03:51:25,2020
