,num_docks_available,station_status,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_renting,is_installed,last_reported,station_id,is_returning,legacy_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
160,11,active,0,True,4,0,True,True,2020-08-12 00:22:17+00:00,186,True,186,0,2020-08-12 00:47:25,2020
161,6,active,0,False,9,0,True,True,2020-08-11 23:21:44+00:00,187,True,187,0,2020-08-12 00:47:25,2020
162,3,active,0,False,12,0,True,True,2020-08-12 00:42:22+00:00,188,True,188,0,2020-08-12 00:47:25,2020
163,7,active,0,True,16,0,True,True,2020-08-12 00:36:55+00:00,189,True,189,0,2020-08-12 00:47:25,2020
164,24,active,0,True,12,0,True,True,2020-08-12 00:35:40+00:00,190,True,190,1,2020-08-12 00:47:25,2020
165,10,active,0,False,5,0,True,True,2020-08-12 00:07:52+00:00,191,True,191,0,2020-08-12 00:47:25,2020
166,17,active,0,False,0,0,True,True,2020-08-12 00:35:54+00:00,192,True,192,2,2020-08-12 00:47:25,2020
167,9,active,0,True,6,0,True,True,2020-08-12 00:40:38+00:00,193,True,193,0,2020-08-12 00:47:25,2020
168,17,active,0,False,1,0,True,True,2020-08-11 22:31:21+00:00,194,True,194,1,2020-08-12 00:47:25,2020
169,11,active,0,False,12,0,True,True,2020-08-12 00:37:44+00:00,195,True,195,0,2020-08-12 00:47:25,2020
170,9,active,0,True,1,0,True,True,2020-08-11 23:59:37+00:00,196,True,196,0,2020-08-12 00:47:25,2020
171,13,active,0,False,2,0,True,True,2020-08-12 00:42:10+00:00,197,True,197,0,2020-08-12 00:47:25,2020
172,12,active,0,False,3,0,True,True,2020-08-12 00:29:30+00:00,199,True,199,0,2020-08-12 00:47:25,2020
173,4,active,0,False,15,0,True,True,2020-08-12 00:47:12+00:00,200,True,200,0,2020-08-12 00:47:25,2020
174,15,active,0,False,0,0,True,True,2020-08-11 12:15:01+00:00,201,True,201,0,2020-08-12 00:47:25,2020
175,10,active,0,False,5,0,True,True,2020-08-11 21:15:52+00:00,202,True,202,0,2020-08-12 00:47:25,2020
176,14,active,0,False,1,0,True,True,2020-08-12 00:29:43+00:00,203,True,203,0,2020-08-12 00:47:25,2020
177,14,active,0,False,1,0,True,True,2020-08-12 00:23:12+00:00,204,True,204,0,2020-08-12 00:47:25,2020
178,11,active,0,False,4,0,True,True,2020-08-11 23:04:36+00:00,205,True,205,0,2020-08-12 00:47:25,2020
179,15,active,0,True,8,0,True,True,2020-08-12 00:38:10+00:00,206,True,206,0,2020-08-12 00:47:25,2020
180,11,active,0,True,4,0,True,True,2020-08-11 22:20:43+00:00,208,True,208,0,2020-08-12 00:47:25,2020
181,11,active,0,False,4,0,True,True,2020-08-11 23:50:56+00:00,209,True,209,0,2020-08-12 00:47:25,2020
182,12,active,0,False,3,0,True,True,2020-08-11 20:57:01+00:00,210,True,210,0,2020-08-12 00:47:25,2020
183,14,active,0,False,5,0,True,True,2020-08-12 00:18:35+00:00,211,True,211,0,2020-08-12 00:47:25,2020
184,9,active,0,False,22,0,True,True,2020-08-12 00:21:49+00:00,212,True,212,2,2020-08-12 00:47:25,2020
185,10,active,0,True,6,0,True,True,2020-08-11 21:41:30+00:00,213,True,213,0,2020-08-12 00:47:25,2020
186,13,active,0,False,2,0,True,True,2020-08-12 00:29:24+00:00,214,True,214,0,2020-08-12 00:47:25,2020
187,5,active,0,False,10,0,True,True,2020-08-11 23:53:58+00:00,215,True,215,0,2020-08-12 00:47:25,2020
188,0,active,0,False,18,0,True,True,2020-08-11 20:56:55+00:00,216,True,216,1,2020-08-12 00:47:25,2020
189,4,active,0,False,15,0,True,True,2020-08-12 00:47:01+00:00,217,True,217,0,2020-08-12 00:47:25,2020
190,12,active,0,False,3,0,True,True,2020-08-12 00:21:44+00:00,218,True,218,0,2020-08-12 00:47:25,2020
191,9,active,0,False,4,0,True,True,2020-08-12 00:26:30+00:00,219,True,219,2,2020-08-12 00:47:25,2020
192,8,active,0,False,11,0,True,True,2020-08-12 00:42:26+00:00,221,True,221,0,2020-08-12 00:47:25,2020
193,5,active,0,True,9,0,True,True,2020-08-12 00:17:06+00:00,222,True,222,0,2020-08-12 00:47:25,2020
194,5,active,0,False,11,0,True,True,2020-08-12 00:21:27+00:00,224,True,224,1,2020-08-12 00:47:25,2020
195,13,active,0,False,5,0,True,True,2020-08-12 00:36:37+00:00,225,True,225,1,2020-08-12 00:47:25,2020
196,10,active,0,False,5,0,True,True,2020-08-12 00:46:26+00:00,226,True,226,0,2020-08-12 00:47:25,2020
197,9,active,0,False,10,0,True,True,2020-08-12 00:37:58+00:00,227,True,227,0,2020-08-12 00:47:25,2020
198,12,active,0,False,7,0,True,True,2020-08-12 00:15:59+00:00,228,True,228,0,2020-08-12 00:47:25,2020
199,3,active,0,False,8,0,True,True,2020-08-11 01:22:39+00:00,232,True,232,0,2020-08-12 00:47:25,2020
200,6,active,0,False,9,0,True,True,2020-08-12 00:39:50+00:00,233,True,233,0,2020-08-12 00:47:25,2020
201,14,active,0,False,1,0,True,True,2020-08-12 00:45:55+00:00,234,True,234,0,2020-08-12 00:47:25,2020
202,12,active,0,False,3,0,True,True,2020-08-11 18:58:03+00:00,235,True,235,0,2020-08-12 00:47:25,2020
