,station_status,num_docks_disabled,is_returning,eightd_has_available_keys,num_ebikes_available,num_docks_available,is_installed,station_id,legacy_id,num_bikes_available,last_reported,is_renting,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
189,active,0,True,False,0,4,True,217,217,15,2020-08-12 18:00:15+00:00,True,0,2020-08-12 18:24:20,2020
190,active,0,True,False,0,7,True,218,218,7,2020-08-12 18:22:08+00:00,True,1,2020-08-12 18:24:20,2020
191,active,0,True,False,0,7,True,219,219,6,2020-08-12 12:16:03+00:00,True,2,2020-08-12 18:24:20,2020
192,active,0,True,False,0,13,True,221,221,6,2020-08-12 18:20:51+00:00,True,0,2020-08-12 18:24:20,2020
193,active,0,True,True,0,11,True,222,222,3,2020-08-12 17:48:15+00:00,True,0,2020-08-12 18:24:20,2020
194,active,0,True,False,0,2,True,224,224,14,2020-08-12 14:08:37+00:00,True,1,2020-08-12 18:24:20,2020
195,active,0,True,False,0,17,True,225,225,2,2020-08-12 18:03:36+00:00,True,0,2020-08-12 18:24:20,2020
196,active,0,True,False,0,14,True,226,226,1,2020-08-12 16:34:46+00:00,True,0,2020-08-12 18:24:20,2020
197,active,0,True,False,0,3,True,227,227,13,2020-08-12 18:18:05+00:00,True,3,2020-08-12 18:24:20,2020
198,active,0,True,False,0,16,True,228,228,3,2020-08-12 17:33:06+00:00,True,0,2020-08-12 18:24:20,2020
199,active,0,True,False,0,3,True,232,232,8,2020-08-12 08:08:09+00:00,True,0,2020-08-12 18:24:20,2020
200,active,0,True,False,0,9,True,233,233,6,2020-08-12 18:16:55+00:00,True,0,2020-08-12 18:24:20,2020
201,active,0,True,False,0,14,True,234,234,1,2020-08-12 17:15:32+00:00,True,0,2020-08-12 18:24:20,2020
202,active,0,True,False,0,11,True,235,235,4,2020-08-12 14:24:49+00:00,True,0,2020-08-12 18:24:20,2020
203,active,0,True,False,0,6,True,236,236,9,2020-08-12 18:01:14+00:00,True,0,2020-08-12 18:24:20,2020
204,active,0,True,False,0,11,True,239,239,4,2020-08-12 17:42:23+00:00,True,0,2020-08-12 18:24:20,2020
205,active,0,True,False,0,7,True,255,255,8,2020-08-12 08:53:35+00:00,True,0,2020-08-12 18:24:20,2020
206,active,0,True,False,0,5,True,258,258,10,2020-08-12 08:54:13+00:00,True,0,2020-08-12 18:24:20,2020
207,active,0,True,False,0,0,True,259,259,15,2020-08-12 08:53:25+00:00,True,0,2020-08-12 18:24:20,2020
208,active,0,True,False,0,5,True,260,260,10,2020-08-12 17:27:23+00:00,True,0,2020-08-12 18:24:20,2020
209,active,0,True,False,0,9,True,271,271,6,2020-08-12 18:10:39+00:00,True,0,2020-08-12 18:24:20,2020
210,active,0,True,False,0,14,True,272,272,4,2020-08-12 18:14:37+00:00,True,1,2020-08-12 18:24:20,2020
211,active,0,True,False,0,22,True,273,273,18,2020-08-12 18:10:02+00:00,True,0,2020-08-12 18:24:20,2020
212,active,0,True,False,0,4,True,279,279,15,2020-08-12 17:54:49+00:00,True,0,2020-08-12 18:24:20,2020
213,active,0,True,False,0,10,True,280,280,9,2020-08-12 17:42:44+00:00,True,0,2020-08-12 18:24:20,2020
214,active,0,True,False,0,10,True,282,282,5,2020-08-12 17:12:16+00:00,True,0,2020-08-12 18:24:20,2020
215,active,0,True,False,0,12,True,296,296,11,2020-08-12 17:53:25+00:00,True,0,2020-08-12 18:24:20,2020
216,active,0,True,False,0,0,True,318,318,19,2020-08-12 18:10:14+00:00,True,0,2020-08-12 18:24:20,2020
217,active,0,True,False,0,23,True,319,319,2,2020-08-12 14:44:50+00:00,True,0,2020-08-12 18:24:20,2020
218,active,0,True,False,0,11,True,327,327,4,2020-08-12 17:20:58+00:00,True,0,2020-08-12 18:24:20,2020
219,active,0,True,False,0,5,True,328,328,9,2020-08-12 18:22:34+00:00,True,1,2020-08-12 18:24:20,2020
220,active,0,True,False,0,8,True,329,329,7,2020-08-12 17:19:57+00:00,True,0,2020-08-12 18:24:20,2020
221,active,0,True,False,0,6,True,330,330,9,2020-08-12 16:57:22+00:00,True,0,2020-08-12 18:24:20,2020
