,station_id,is_returning,legacy_id,station_status,last_reported,num_ebikes_available,eightd_has_available_keys,is_renting,num_docks_available,num_bikes_disabled,num_bikes_available,is_installed,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
160,186,True,186,active,2020-07-31 17:09:52+00:00,0,True,True,5,0,10,True,0,,,2020-07-31 17:35:00,2020
161,187,True,187,active,2020-07-31 16:14:43+00:00,0,False,True,4,0,11,True,0,,,2020-07-31 17:35:00,2020
162,188,True,188,active,2020-07-31 17:16:11+00:00,0,False,True,8,0,7,True,0,,,2020-07-31 17:35:00,2020
163,189,True,189,active,2020-07-31 17:31:38+00:00,0,True,True,11,0,12,True,0,,,2020-07-31 17:35:00,2020
164,190,True,190,active,2020-07-31 17:30:47+00:00,0,True,True,16,2,19,True,0,,,2020-07-31 17:35:00,2020
165,191,True,191,active,2020-07-31 16:35:29+00:00,0,False,True,12,0,3,True,0,,,2020-07-31 17:35:00,2020
166,192,True,192,active,2020-07-31 17:15:52+00:00,0,False,True,5,2,12,True,0,,,2020-07-31 17:35:00,2020
167,193,True,193,active,2020-07-31 16:58:34+00:00,0,True,True,7,0,8,True,0,,,2020-07-31 17:35:00,2020
168,194,True,194,active,2020-07-31 16:58:09+00:00,0,False,True,3,0,16,True,0,,,2020-07-31 17:35:00,2020
169,195,True,195,active,2020-07-31 17:09:06+00:00,0,False,True,11,0,12,True,0,,,2020-07-31 17:35:00,2020
170,196,True,196,active,2020-07-31 16:24:30+00:00,0,True,True,9,1,0,True,0,,,2020-07-31 17:35:00,2020
171,197,True,197,active,2020-07-31 17:12:42+00:00,0,False,True,12,0,3,True,0,,,2020-07-31 17:35:00,2020
172,199,True,199,active,2020-07-31 13:58:03+00:00,0,False,True,8,0,7,True,0,,,2020-07-31 17:35:00,2020
173,200,True,200,active,2020-07-31 17:23:27+00:00,0,False,True,8,0,11,True,0,,,2020-07-31 17:35:00,2020
174,201,True,201,active,2020-07-31 08:12:47+00:00,0,False,True,15,0,0,True,0,,,2020-07-31 17:35:00,2020
175,202,True,202,active,2020-07-31 17:13:27+00:00,0,False,True,11,0,4,True,0,,,2020-07-31 17:35:00,2020
176,203,True,203,active,2020-07-31 16:43:41+00:00,0,False,True,9,0,6,True,0,,,2020-07-31 17:35:00,2020
177,204,True,204,active,2020-07-31 14:06:39+00:00,0,False,True,9,0,6,True,0,,,2020-07-31 17:35:00,2020
178,205,True,205,active,2020-07-31 08:31:57+00:00,0,False,True,7,0,8,True,0,,,2020-07-31 17:35:00,2020
179,206,True,206,active,2020-07-31 16:35:06+00:00,0,False,True,3,0,20,True,0,,,2020-07-31 17:35:00,2020
180,208,True,208,active,2020-07-31 17:34:03+00:00,0,True,True,4,1,10,True,0,,,2020-07-31 17:35:00,2020
181,209,True,209,active,2020-07-31 16:43:10+00:00,0,False,True,3,1,11,True,0,,,2020-07-31 17:35:00,2020
182,210,True,210,active,2020-07-31 12:46:10+00:00,0,False,True,13,0,2,True,0,,,2020-07-31 17:35:00,2020
183,211,True,211,active,2020-07-31 17:03:01+00:00,0,False,True,1,0,18,True,0,,,2020-07-31 17:35:00,2020
184,212,True,212,active,2020-07-31 16:22:56+00:00,0,False,True,18,0,15,True,0,,,2020-07-31 17:35:00,2020
185,213,True,213,active,2020-07-31 16:18:27+00:00,0,True,True,14,0,2,True,0,,,2020-07-31 17:35:00,2020
186,214,True,214,active,2020-07-31 14:58:58+00:00,0,False,True,12,0,3,True,0,,,2020-07-31 17:35:00,2020
187,215,True,215,active,2020-07-31 16:38:15+00:00,0,False,True,2,0,13,True,0,,,2020-07-31 17:35:00,2020
188,216,True,216,active,2020-07-31 08:26:03+00:00,0,False,True,3,0,16,True,0,,,2020-07-31 17:35:00,2020
189,217,True,217,active,2020-07-31 16:23:11+00:00,0,False,True,18,0,1,True,0,,,2020-07-31 17:35:00,2020
190,218,True,218,active,2020-07-31 16:59:55+00:00,0,False,True,10,0,5,True,0,,,2020-07-31 17:35:00,2020
191,219,True,219,active,2020-07-31 15:00:03+00:00,0,False,True,4,1,10,True,0,,,2020-07-31 17:35:00,2020
192,221,True,221,active,2020-07-31 17:24:17+00:00,0,False,True,15,0,4,True,0,,,2020-07-31 17:35:00,2020
193,222,True,222,active,2020-07-31 16:26:29+00:00,0,True,True,11,0,3,True,0,,,2020-07-31 17:35:00,2020
194,224,True,224,active,2020-07-31 16:00:37+00:00,0,False,True,6,0,11,True,0,,,2020-07-31 17:35:00,2020
195,225,True,225,active,2020-07-31 17:20:09+00:00,0,False,True,8,0,11,True,0,,,2020-07-31 17:35:00,2020
196,226,True,226,active,2020-07-31 17:33:16+00:00,0,False,True,3,1,11,True,0,,,2020-07-31 17:35:00,2020
197,227,True,227,active,2020-07-31 17:31:26+00:00,0,False,True,10,0,9,True,0,,,2020-07-31 17:35:00,2020
198,228,True,228,active,2020-07-31 17:32:25+00:00,0,False,True,13,0,6,True,0,,,2020-07-31 17:35:00,2020
199,232,True,232,active,2020-07-31 08:16:55+00:00,0,False,True,7,0,4,True,0,,,2020-07-31 17:35:00,2020
200,233,True,233,active,2020-07-31 17:33:53+00:00,0,False,True,8,1,6,True,0,,,2020-07-31 17:35:00,2020
201,234,True,234,active,2020-07-31 16:22:38+00:00,0,False,True,11,0,4,True,0,,,2020-07-31 17:35:00,2020
202,235,True,235,active,2020-07-31 16:12:14+00:00,0,False,True,6,0,9,True,0,,,2020-07-31 17:35:00,2020
203,236,True,236,active,2020-07-31 17:15:00+00:00,0,False,True,4,0,11,True,0,,,2020-07-31 17:35:00,2020
204,239,True,239,active,2020-07-31 17:31:23+00:00,0,False,True,11,1,3,True,0,,,2020-07-31 17:35:00,2020
205,255,True,255,active,2020-07-31 08:32:06+00:00,0,False,True,2,0,13,True,0,,,2020-07-31 17:35:00,2020
206,258,True,258,active,2020-07-31 17:32:42+00:00,0,False,True,4,0,11,True,0,,,2020-07-31 17:35:00,2020
207,259,True,259,active,2020-07-31 08:31:40+00:00,0,False,True,15,0,0,True,0,,,2020-07-31 17:35:00,2020
208,260,True,260,active,2020-07-31 15:56:10+00:00,0,False,True,10,0,5,True,0,,,2020-07-31 17:35:00,2020
209,271,True,271,active,2020-07-31 17:16:33+00:00,0,False,True,14,0,1,True,0,,,2020-07-31 17:35:00,2020
210,272,True,272,active,2020-07-31 12:24:46+00:00,0,False,True,10,2,7,True,0,,,2020-07-31 17:35:00,2020
211,273,True,273,active,2020-07-31 17:20:34+00:00,0,False,True,15,0,25,True,0,,,2020-07-31 17:35:00,2020
212,279,True,279,active,2020-07-31 16:04:09+00:00,0,False,True,13,0,6,True,0,,,2020-07-31 17:35:00,2020
213,280,True,280,active,2020-07-31 16:53:28+00:00,0,False,True,14,1,4,True,0,,,2020-07-31 17:35:00,2020
