,last_reported,is_returning,num_bikes_disabled,station_id,is_renting,num_docks_disabled,num_ebikes_available,is_installed,num_bikes_available,station_status,num_docks_available,eightd_has_available_keys,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
237,2020-08-05 11:23:39+00:00,True,0,346,True,0,0,True,3,active,12,False,346,,,2020-08-05 12:17:20,2020
238,2020-08-05 12:16:05+00:00,True,0,347,True,0,0,True,3,active,12,False,347,,,2020-08-05 12:17:20,2020
239,2020-08-05 08:51:02+00:00,True,0,348,True,0,0,True,12,active,3,False,348,,,2020-08-05 12:17:20,2020
240,2020-08-05 08:47:35+00:00,True,0,349,True,0,0,True,8,active,9,True,349,,,2020-08-05 12:17:20,2020
241,2020-08-05 10:33:31+00:00,True,0,350,True,0,0,True,6,active,11,False,350,,,2020-08-05 12:17:20,2020
242,2020-08-05 12:07:36+00:00,True,0,351,True,0,0,True,10,active,5,False,351,,,2020-08-05 12:17:20,2020
243,2020-08-05 12:13:54+00:00,True,0,352,True,0,0,True,4,active,11,False,352,,,2020-08-05 12:17:20,2020
244,2020-08-05 08:57:37+00:00,True,0,353,True,0,0,True,8,active,7,True,353,,,2020-08-05 12:17:20,2020
245,2020-08-05 12:10:20+00:00,True,0,354,True,0,0,True,5,active,10,False,354,,,2020-08-05 12:17:20,2020
246,2020-08-04 21:38:51+00:00,True,0,355,True,0,0,True,12,active,5,False,355,,,2020-08-05 12:17:20,2020
247,2020-08-05 12:05:34+00:00,True,0,356,True,0,0,True,14,active,9,False,356,,,2020-08-05 12:17:20,2020
248,2020-08-05 11:29:10+00:00,True,0,357,True,0,0,True,5,active,10,False,357,,,2020-08-05 12:17:20,2020
249,2020-08-05 12:13:32+00:00,True,0,358,True,0,0,True,11,active,8,False,358,,,2020-08-05 12:17:20,2020
250,2020-08-05 12:09:51+00:00,True,0,359,True,0,0,True,6,active,9,False,359,,,2020-08-05 12:17:20,2020
251,2020-08-05 09:55:29+00:00,True,0,360,True,0,0,True,0,active,15,False,360,,,2020-08-05 12:17:20,2020
252,2020-08-05 11:56:19+00:00,True,0,361,True,0,0,True,7,active,12,False,361,,,2020-08-05 12:17:20,2020
253,2020-08-05 10:51:27+00:00,True,0,362,True,0,0,True,17,active,2,False,362,,,2020-08-05 12:17:20,2020
254,2020-08-05 12:13:16+00:00,True,0,363,True,0,0,True,12,active,7,False,363,,,2020-08-05 12:17:20,2020
255,2020-08-05 11:41:38+00:00,True,0,364,True,0,0,True,3,active,16,False,364,,,2020-08-05 12:17:20,2020
256,2020-08-05 12:13:27+00:00,True,1,365,True,0,0,True,10,active,8,False,365,,,2020-08-05 12:17:20,2020
257,2020-08-05 12:08:24+00:00,True,0,366,True,0,0,True,1,active,14,False,366,,,2020-08-05 12:17:20,2020
258,2020-08-05 08:57:25+00:00,True,0,367,True,0,0,True,14,active,5,False,367,,,2020-08-05 12:17:20,2020
259,2020-08-05 11:00:39+00:00,True,1,368,True,0,0,True,2,active,12,False,368,,,2020-08-05 12:17:20,2020
260,2020-08-05 12:15:22+00:00,True,0,369,True,0,0,True,11,active,4,False,369,,,2020-08-05 12:17:20,2020
261,2020-08-05 12:12:53+00:00,True,1,370,True,0,0,True,5,active,13,False,370,,,2020-08-05 12:17:20,2020
262,2020-08-04 16:52:53+00:00,True,0,371,True,0,0,True,13,active,6,False,371,,,2020-08-05 12:17:20,2020
263,2020-08-05 12:13:02+00:00,True,0,372,True,0,0,True,9,active,10,False,372,,,2020-08-05 12:17:20,2020
264,2020-08-05 08:51:45+00:00,True,0,373,True,0,0,True,12,active,3,False,373,,,2020-08-05 12:17:20,2020
265,2020-08-05 12:09:25+00:00,True,0,374,True,0,0,True,11,active,8,False,374,,,2020-08-05 12:17:20,2020
266,2020-08-05 12:05:40+00:00,True,0,376,True,0,0,True,3,active,12,False,376,,,2020-08-05 12:17:20,2020
267,2020-08-05 12:06:26+00:00,True,0,377,True,0,0,True,2,active,17,False,377,,,2020-08-05 12:17:20,2020
268,2020-08-05 11:48:33+00:00,True,0,378,True,0,0,True,4,active,15,False,378,,,2020-08-05 12:17:20,2020
269,2020-08-05 12:05:24+00:00,True,0,379,True,0,0,True,5,active,10,False,379,,,2020-08-05 12:17:20,2020
270,2020-08-05 12:16:18+00:00,True,0,380,True,0,0,True,8,active,10,False,380,,,2020-08-05 12:17:20,2020
271,2020-08-05 12:10:53+00:00,True,0,381,True,0,0,True,7,active,12,False,381,,,2020-08-05 12:17:20,2020
272,2020-08-05 12:11:00+00:00,True,0,384,True,0,0,True,5,active,14,True,384,,,2020-08-05 12:17:20,2020
273,2020-08-05 12:00:36+00:00,True,1,385,True,1,0,True,7,active,6,False,385,,,2020-08-05 12:17:20,2020
274,2020-08-05 12:10:32+00:00,True,0,386,True,0,0,True,6,active,13,False,386,,,2020-08-05 12:17:20,2020
275,2020-08-05 04:22:46+00:00,True,0,387,True,0,0,True,10,active,5,False,387,,,2020-08-05 12:17:20,2020
276,2020-08-05 08:55:53+00:00,True,0,388,True,0,0,True,3,active,8,False,388,,,2020-08-05 12:17:20,2020
277,2020-08-04 23:38:22+00:00,True,0,389,True,0,0,True,11,active,3,False,389,,,2020-08-05 12:17:20,2020
278,2020-08-05 08:56:22+00:00,True,0,390,True,0,0,True,13,active,2,False,390,,,2020-08-05 12:17:20,2020
279,2020-08-05 00:14:12+00:00,True,0,391,True,0,0,True,15,active,0,False,391,,,2020-08-05 12:17:20,2020
280,2020-08-04 22:20:08+00:00,True,0,392,True,0,0,True,9,active,6,False,392,,,2020-08-05 12:17:20,2020
281,2020-08-05 08:55:56+00:00,True,0,393,True,0,0,True,5,active,10,False,393,,,2020-08-05 12:17:20,2020
282,2020-08-05 01:25:03+00:00,True,0,394,True,0,0,True,2,active,12,False,394,,,2020-08-05 12:17:20,2020
