,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
170,0,True,196,8,196,True,True,0,2020-08-11 00:01:56+00:00,2,active,0,True,2020-08-11 01:21:40,2020
171,0,False,197,14,197,True,True,0,2020-08-11 00:47:31+00:00,1,active,0,True,2020-08-11 01:21:40,2020
172,0,False,199,14,199,True,True,0,2020-08-10 20:37:22+00:00,1,active,0,True,2020-08-11 01:21:40,2020
173,2,False,200,5,200,True,True,0,2020-08-11 00:51:33+00:00,12,active,0,True,2020-08-11 01:21:40,2020
174,0,False,201,13,201,True,True,0,2020-08-10 18:33:21+00:00,2,active,0,True,2020-08-11 01:21:40,2020
175,0,False,202,11,202,True,True,0,2020-08-10 23:00:23+00:00,4,active,0,True,2020-08-11 01:21:40,2020
176,1,False,203,11,203,True,True,0,2020-08-11 01:16:49+00:00,3,active,0,True,2020-08-11 01:21:40,2020
177,0,False,204,12,204,True,True,0,2020-08-11 01:21:31+00:00,3,active,0,True,2020-08-11 01:21:40,2020
178,0,False,205,12,205,True,True,0,2020-08-10 22:51:51+00:00,3,active,0,True,2020-08-11 01:21:40,2020
179,0,True,206,17,206,True,True,0,2020-08-11 00:03:08+00:00,6,active,0,True,2020-08-11 01:21:40,2020
180,0,True,208,11,208,True,True,0,2020-08-11 01:06:25+00:00,4,active,0,True,2020-08-11 01:21:40,2020
181,0,False,209,7,209,True,True,0,2020-08-10 22:38:44+00:00,8,active,0,True,2020-08-11 01:21:40,2020
182,0,False,210,11,210,True,True,0,2020-08-10 23:11:11+00:00,4,active,0,True,2020-08-11 01:21:40,2020
183,0,False,211,14,211,True,True,0,2020-08-11 00:57:00+00:00,5,active,0,True,2020-08-11 01:21:40,2020
184,0,False,212,4,212,True,True,0,2020-08-11 00:39:40+00:00,29,active,0,True,2020-08-11 01:21:40,2020
185,0,True,213,11,213,True,True,0,2020-08-11 00:16:37+00:00,5,active,0,True,2020-08-11 01:21:40,2020
186,0,False,214,7,214,True,True,0,2020-08-11 00:34:50+00:00,8,active,0,True,2020-08-11 01:21:40,2020
187,0,False,215,8,215,True,True,0,2020-08-11 00:04:16+00:00,7,active,0,True,2020-08-11 01:21:40,2020
188,1,False,216,2,216,True,True,0,2020-08-10 23:27:09+00:00,16,active,0,True,2020-08-11 01:21:40,2020
189,0,False,217,7,217,True,True,0,2020-08-11 01:12:43+00:00,12,active,0,True,2020-08-11 01:21:40,2020
190,1,False,218,7,218,True,True,0,2020-08-11 01:04:02+00:00,7,active,0,True,2020-08-11 01:21:40,2020
191,0,False,219,10,219,True,True,0,2020-08-10 23:38:56+00:00,5,active,0,True,2020-08-11 01:21:40,2020
192,0,False,221,7,221,True,True,0,2020-08-11 01:16:38+00:00,12,active,0,True,2020-08-11 01:21:40,2020
193,0,True,222,7,222,True,True,0,2020-08-11 00:49:02+00:00,7,active,0,True,2020-08-11 01:21:40,2020
194,0,False,224,7,224,True,True,0,2020-08-11 00:36:48+00:00,10,active,0,True,2020-08-11 01:21:40,2020
195,0,False,225,9,225,True,True,0,2020-08-11 01:08:07+00:00,10,active,0,True,2020-08-11 01:21:40,2020
196,0,False,226,10,226,True,True,0,2020-08-11 01:17:39+00:00,5,active,0,True,2020-08-11 01:21:40,2020
197,0,False,227,11,227,True,True,0,2020-08-11 00:41:23+00:00,8,active,0,True,2020-08-11 01:21:40,2020
198,0,False,228,8,228,True,True,0,2020-08-11 01:13:02+00:00,11,active,0,True,2020-08-11 01:21:40,2020
199,0,False,232,4,232,True,True,0,2020-08-10 20:26:30+00:00,7,active,0,True,2020-08-11 01:21:40,2020
200,1,False,233,9,233,True,True,0,2020-08-11 01:16:06+00:00,5,active,0,True,2020-08-11 01:21:40,2020
201,0,False,234,14,234,True,True,0,2020-08-10 22:33:27+00:00,1,active,0,True,2020-08-11 01:21:40,2020
202,0,False,235,10,235,True,True,0,2020-08-10 20:46:12+00:00,5,active,0,True,2020-08-11 01:21:40,2020
203,0,False,236,4,236,True,True,0,2020-08-11 01:08:14+00:00,11,active,0,True,2020-08-11 01:21:40,2020
204,0,False,239,3,239,True,True,0,2020-08-11 00:57:44+00:00,12,active,0,True,2020-08-11 01:21:40,2020
205,0,False,255,5,255,True,True,0,2020-08-10 21:07:16+00:00,10,active,0,True,2020-08-11 01:21:40,2020
206,1,False,258,5,258,True,True,0,2020-08-11 00:02:39+00:00,9,active,0,True,2020-08-11 01:21:40,2020
207,0,False,259,0,259,True,True,0,2020-08-11 01:07:45+00:00,15,active,0,True,2020-08-11 01:21:40,2020
208,0,False,260,4,260,True,True,0,2020-08-11 01:01:35+00:00,11,active,0,True,2020-08-11 01:21:40,2020
209,0,False,271,9,271,True,True,0,2020-08-10 22:22:44+00:00,6,active,0,True,2020-08-11 01:21:40,2020
210,1,False,272,12,272,True,True,0,2020-08-10 23:07:58+00:00,6,active,0,True,2020-08-11 01:21:40,2020
211,5,False,273,13,273,True,True,0,2020-08-11 01:17:02+00:00,22,active,0,True,2020-08-11 01:21:40,2020
