,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,station_status,num_docks_disabled,num_docks_available,is_returning,station_id,legacy_id,is_installed,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
81,2020-08-06 13:59:11+00:00,False,1,11,active,0,7,True,92,92,True,0,True,,,2020-08-06 14:02:25,2020
82,2020-08-06 13:59:09+00:00,False,1,9,active,0,5,True,93,93,True,0,True,,,2020-08-06 14:02:25,2020
83,2020-08-06 13:41:04+00:00,False,1,2,active,0,8,True,94,94,True,0,True,,,2020-08-06 14:02:25,2020
84,2020-08-06 13:55:08+00:00,False,1,3,active,0,11,True,95,95,True,0,True,,,2020-08-06 14:02:25,2020
85,2020-08-06 13:51:52+00:00,False,0,4,active,0,15,True,96,96,True,0,True,,,2020-08-06 14:02:25,2020
86,2020-08-06 13:50:14+00:00,False,0,4,active,0,15,True,97,97,True,0,True,,,2020-08-06 14:02:25,2020
87,2020-08-06 13:58:02+00:00,False,1,7,active,0,15,True,98,98,True,0,True,,,2020-08-06 14:02:25,2020
88,2020-08-06 13:33:38+00:00,False,0,12,active,0,3,True,99,99,True,0,True,,,2020-08-06 14:02:25,2020
89,2020-08-06 13:42:58+00:00,True,1,19,active,0,5,True,100,100,True,0,True,,,2020-08-06 14:02:25,2020
90,2020-08-06 13:23:00+00:00,False,0,12,active,0,3,True,101,101,True,0,True,,,2020-08-06 14:02:25,2020
91,2020-08-06 13:10:08+00:00,False,0,12,active,0,3,True,102,102,True,0,True,,,2020-08-06 14:02:25,2020
92,2020-08-06 13:40:59+00:00,False,0,5,active,0,10,True,103,103,True,0,True,,,2020-08-06 14:02:25,2020
93,2020-08-06 13:49:59+00:00,False,0,3,active,0,16,True,104,104,True,0,True,,,2020-08-06 14:02:25,2020
94,2020-08-06 14:02:13+00:00,False,0,6,active,0,13,True,105,105,True,0,True,,,2020-08-06 14:02:25,2020
95,2020-08-06 12:58:58+00:00,False,1,2,active,0,12,True,106,106,True,0,True,,,2020-08-06 14:02:25,2020
96,2020-08-06 13:57:01+00:00,False,1,15,active,0,3,True,107,107,True,0,True,,,2020-08-06 14:02:25,2020
97,2020-08-06 13:48:09+00:00,False,0,6,active,0,11,True,108,108,True,0,True,,,2020-08-06 14:02:25,2020
98,2020-08-06 13:19:38+00:00,False,0,7,active,0,28,True,109,109,True,0,True,,,2020-08-06 14:02:25,2020
99,2020-08-06 13:43:45+00:00,False,0,9,active,0,6,True,110,110,True,0,True,,,2020-08-06 14:02:25,2020
100,2020-08-06 12:39:33+00:00,False,0,1,active,0,14,True,111,111,True,0,True,,,2020-08-06 14:02:25,2020
101,2020-08-06 13:24:36+00:00,False,0,7,active,0,8,True,112,112,True,0,True,,,2020-08-06 14:02:25,2020
102,2020-08-06 13:03:20+00:00,False,0,11,active,0,4,True,113,113,True,0,True,,,2020-08-06 14:02:25,2020
103,2020-08-06 13:46:45+00:00,False,1,12,active,0,2,True,114,114,True,0,True,,,2020-08-06 14:02:25,2020
104,2020-08-06 13:45:10+00:00,False,1,14,active,0,4,True,115,115,True,0,True,,,2020-08-06 14:02:25,2020
105,2020-08-06 13:59:48+00:00,False,1,7,active,0,15,True,116,116,True,0,True,,,2020-08-06 14:02:25,2020
106,2020-08-06 12:42:45+00:00,False,0,15,active,0,4,True,117,117,True,0,True,,,2020-08-06 14:02:25,2020
107,2020-08-06 13:56:32+00:00,False,0,14,active,0,5,True,118,118,True,0,True,,,2020-08-06 14:02:25,2020
108,2020-08-06 13:53:54+00:00,False,0,4,active,0,11,True,119,119,True,0,True,,,2020-08-06 14:02:25,2020
109,2020-08-06 13:58:30+00:00,False,1,7,active,0,7,True,120,120,True,0,True,,,2020-08-06 14:02:25,2020
110,2020-08-06 13:50:16+00:00,False,0,6,active,0,11,True,121,121,True,0,True,,,2020-08-06 14:02:25,2020
111,2020-08-06 13:09:49+00:00,False,0,3,active,0,12,True,122,122,True,0,True,,,2020-08-06 14:02:25,2020
112,2020-08-06 13:34:56+00:00,False,0,5,active,0,10,True,124,124,True,0,True,,,2020-08-06 14:02:25,2020
113,2020-08-06 13:31:44+00:00,False,1,2,active,0,12,True,125,125,True,0,True,,,2020-08-06 14:02:25,2020
114,2020-08-06 13:37:17+00:00,False,0,2,active,0,13,True,126,126,True,0,True,,,2020-08-06 14:02:25,2020
