,legacy_id,station_id,eightd_has_available_keys,num_bikes_available,is_returning,last_reported,station_status,is_renting,is_installed,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
256,365,365,False,0,True,2020-07-31 22:26:16+00:00,active,True,True,0,19,0,0,,,2020-07-31 22:51:35,2020
257,366,366,False,0,True,2020-07-31 22:33:20+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
258,367,367,False,19,True,2020-07-31 19:42:30+00:00,active,True,True,0,0,0,0,,,2020-07-31 22:51:35,2020
259,368,368,False,4,True,2020-07-31 21:59:18+00:00,active,True,True,1,10,0,0,,,2020-07-31 22:51:35,2020
260,369,369,False,11,True,2020-07-31 22:50:41+00:00,active,True,True,0,4,0,0,,,2020-07-31 22:51:35,2020
261,370,370,False,16,True,2020-07-31 22:48:11+00:00,active,True,True,0,3,0,0,,,2020-07-31 22:51:35,2020
262,371,371,False,9,True,2020-07-31 22:17:07+00:00,active,True,True,1,9,0,0,,,2020-07-31 22:51:35,2020
263,372,372,False,2,True,2020-07-31 22:49:43+00:00,active,True,True,0,17,0,0,,,2020-07-31 22:51:35,2020
264,373,373,False,8,True,2020-07-31 22:28:42+00:00,active,True,True,0,7,0,0,,,2020-07-31 22:51:35,2020
265,374,374,False,0,True,2020-07-31 22:47:13+00:00,active,True,True,1,18,0,0,,,2020-07-31 22:51:35,2020
266,376,376,False,3,True,2020-07-31 22:04:59+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
267,377,377,False,7,True,2020-07-31 22:47:43+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
268,378,378,False,3,True,2020-07-31 22:31:24+00:00,active,True,True,1,15,0,0,,,2020-07-31 22:51:35,2020
269,379,379,False,6,True,2020-07-31 22:40:26+00:00,active,True,True,0,9,0,0,,,2020-07-31 22:51:35,2020
270,380,380,False,0,True,2020-07-31 22:22:38+00:00,active,True,True,0,18,0,0,,,2020-07-31 22:51:35,2020
271,381,381,False,11,True,2020-07-31 22:44:58+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
272,384,384,True,6,True,2020-07-31 22:51:22+00:00,active,True,True,0,13,0,0,,,2020-07-31 22:51:35,2020
273,385,385,False,6,True,2020-07-31 22:39:27+00:00,active,True,True,0,8,1,0,,,2020-07-31 22:51:35,2020
274,386,386,False,4,True,2020-07-31 22:48:01+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
275,387,387,False,11,True,2020-07-31 21:40:35+00:00,active,True,True,0,4,0,0,,,2020-07-31 22:51:35,2020
276,388,388,False,4,True,2020-07-31 08:46:35+00:00,active,True,True,0,7,0,0,,,2020-07-31 22:51:35,2020
277,389,389,False,9,True,2020-07-31 21:32:16+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
278,390,390,False,13,True,2020-07-31 21:45:15+00:00,active,True,True,0,2,0,0,,,2020-07-31 22:51:35,2020
279,391,391,False,13,True,2020-07-31 08:51:47+00:00,active,True,True,0,2,0,0,,,2020-07-31 22:51:35,2020
280,392,392,False,7,True,2020-07-31 22:46:18+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
281,393,393,False,4,True,2020-07-31 14:15:16+00:00,active,True,True,2,9,0,0,,,2020-07-31 22:51:35,2020
282,394,394,False,0,True,2020-07-31 08:57:02+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
283,395,395,False,9,True,2020-07-31 21:57:19+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
284,396,396,False,10,True,2020-07-31 17:42:57+00:00,active,True,True,0,5,0,0,,,2020-07-31 22:51:35,2020
285,397,397,False,12,True,2020-07-31 22:17:02+00:00,active,True,True,0,3,0,0,,,2020-07-31 22:51:35,2020
286,398,398,False,8,True,2020-07-31 22:48:38+00:00,active,True,True,0,11,0,0,,,2020-07-31 22:51:35,2020
287,399,399,False,14,True,2020-07-31 22:28:10+00:00,active,True,True,0,1,0,0,,,2020-07-31 22:51:35,2020
288,400,400,False,11,True,2020-07-31 22:05:54+00:00,active,True,True,0,16,0,0,,,2020-07-31 22:51:35,2020
289,401,401,False,5,True,2020-07-31 21:49:27+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
290,402,402,False,9,True,2020-07-31 22:19:19+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
291,403,403,False,5,True,2020-07-31 22:38:43+00:00,active,True,True,1,9,0,0,,,2020-07-31 22:51:35,2020
292,404,404,False,1,True,2020-07-31 22:49:16+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
293,405,405,False,11,True,2020-07-31 22:36:53+00:00,active,True,True,1,7,0,0,,,2020-07-31 22:51:35,2020
294,406,406,False,4,True,2020-07-31 16:52:51+00:00,active,True,True,2,9,0,0,,,2020-07-31 22:51:35,2020
295,407,407,False,0,True,2020-07-31 22:21:03+00:00,active,True,True,0,19,0,0,,,2020-07-31 22:51:35,2020
296,408,408,False,9,True,2020-07-31 22:15:40+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
297,409,409,False,4,True,2020-07-31 22:49:27+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
298,410,410,False,17,True,2020-07-31 22:30:52+00:00,active,True,True,0,2,0,0,,,2020-07-31 22:51:35,2020
299,411,411,False,13,True,2020-07-31 20:52:17+00:00,active,True,True,0,2,0,0,,,2020-07-31 22:51:35,2020
300,412,412,False,10,True,2020-07-31 22:46:58+00:00,active,True,True,1,8,0,0,,,2020-07-31 22:51:35,2020
301,413,413,False,5,True,2020-07-31 22:50:36+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
302,414,414,False,3,True,2020-07-31 22:46:12+00:00,active,True,True,0,20,0,0,,,2020-07-31 22:51:35,2020
303,415,415,False,4,True,2020-07-31 22:43:29+00:00,active,True,True,1,14,0,0,,,2020-07-31 22:51:35,2020
304,416,416,False,0,True,2020-07-31 22:48:54+00:00,active,True,True,0,15,0,0,,,2020-07-31 22:51:35,2020
305,417,417,False,15,True,2020-07-31 22:39:38+00:00,active,True,True,0,4,0,0,,,2020-07-31 22:51:35,2020
306,419,419,False,12,True,2020-07-31 19:35:13+00:00,active,True,True,0,3,0,0,,,2020-07-31 22:51:35,2020
307,420,420,False,0,False,1970-01-02 00:00:00+00:00,out_of_service,False,False,0,0,0,0,,,2020-07-31 22:51:35,1970
308,421,421,False,9,True,2020-07-31 13:31:55+00:00,active,True,True,1,9,0,0,,,2020-07-31 22:51:35,2020
309,422,422,False,14,True,2020-07-31 08:56:02+00:00,active,True,True,0,1,0,0,,,2020-07-31 22:51:35,2020
310,423,423,False,10,True,2020-07-31 21:10:54+00:00,active,True,True,0,9,0,0,,,2020-07-31 22:51:35,2020
311,424,424,False,5,True,2020-07-31 22:27:15+00:00,active,True,True,0,14,0,0,,,2020-07-31 22:51:35,2020
312,425,425,False,5,True,2020-07-31 21:35:26+00:00,active,True,True,0,11,0,0,,,2020-07-31 22:51:35,2020
313,426,426,False,19,True,2020-07-31 22:29:10+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
314,427,427,False,9,True,2020-07-31 21:03:26+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
315,428,428,False,12,True,2020-07-31 22:50:06+00:00,active,True,True,0,7,0,0,,,2020-07-31 22:51:35,2020
316,430,430,False,17,True,2020-07-31 21:23:25+00:00,active,True,True,0,2,0,0,,,2020-07-31 22:51:35,2020
317,431,431,False,1,True,2020-07-31 19:00:18+00:00,active,True,True,1,13,0,0,,,2020-07-31 22:51:35,2020
318,432,432,False,9,True,2020-07-31 20:25:53+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
319,433,433,False,0,True,2020-07-31 14:04:48+00:00,active,True,True,0,19,0,0,,,2020-07-31 22:51:35,2020
320,434,434,False,6,True,2020-07-31 21:25:50+00:00,active,True,True,1,12,0,0,,,2020-07-31 22:51:35,2020
321,435,435,False,13,True,2020-07-31 21:12:30+00:00,active,True,True,2,0,0,0,,,2020-07-31 22:51:35,2020
322,436,436,False,5,True,2020-07-31 22:50:41+00:00,active,True,True,0,10,0,0,,,2020-07-31 22:51:35,2020
323,437,437,False,11,True,2020-07-31 22:47:04+00:00,active,True,True,0,8,0,0,,,2020-07-31 22:51:35,2020
324,440,440,False,0,True,2020-07-31 22:47:26+00:00,active,True,True,0,17,0,0,,,2020-07-31 22:51:35,2020
325,441,441,False,13,True,2020-07-31 22:24:38+00:00,active,True,True,0,6,0,0,,,2020-07-31 22:51:35,2020
326,442,442,False,3,True,2020-07-31 21:49:46+00:00,active,True,True,0,12,0,0,,,2020-07-31 22:51:35,2020
