,legacy_id,eightd_has_available_keys,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,is_installed,last_reported,station_id,is_renting,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
123,138,False,7,0,0,True,0,True,2020-08-06 23:50:08+00:00,138,True,8,active,,,2020-08-07 00:57:30,2020
124,139,False,6,0,0,True,0,True,2020-08-07 00:18:15+00:00,139,True,13,active,,,2020-08-07 00:57:30,2020
125,140,False,14,2,0,True,0,True,2020-08-07 00:41:16+00:00,140,True,1,active,,,2020-08-07 00:57:30,2020
126,141,False,5,1,0,True,0,True,2020-08-07 00:45:34+00:00,141,True,9,active,,,2020-08-07 00:57:30,2020
127,142,False,9,2,0,True,0,True,2020-08-07 00:23:15+00:00,142,True,12,active,,,2020-08-07 00:57:30,2020
128,143,False,9,1,0,True,0,True,2020-08-07 00:41:48+00:00,143,True,13,active,,,2020-08-07 00:57:30,2020
129,144,False,14,0,0,True,0,True,2020-08-07 00:16:25+00:00,144,True,5,active,,,2020-08-07 00:57:30,2020
130,145,False,5,0,0,True,0,True,2020-08-07 00:54:02+00:00,145,True,14,active,,,2020-08-07 00:57:30,2020
131,146,False,5,1,0,True,0,True,2020-08-07 00:42:33+00:00,146,True,13,active,,,2020-08-07 00:57:30,2020
132,149,True,15,0,0,True,0,True,2020-08-07 00:54:22+00:00,149,True,3,active,,,2020-08-07 00:57:30,2020
133,150,False,5,1,0,True,0,True,2020-08-07 00:25:51+00:00,150,True,13,active,,,2020-08-07 00:57:30,2020
134,151,False,13,0,0,True,0,True,2020-08-06 23:35:05+00:00,151,True,6,active,,,2020-08-07 00:57:30,2020
135,152,True,15,0,0,True,0,True,2020-08-07 00:26:23+00:00,152,True,0,active,,,2020-08-07 00:57:30,2020
136,156,False,6,0,0,True,0,True,2020-08-07 00:28:21+00:00,156,True,9,active,,,2020-08-07 00:57:30,2020
137,157,False,11,0,0,True,0,True,2020-08-07 00:55:10+00:00,157,True,4,active,,,2020-08-07 00:57:30,2020
138,159,False,3,0,0,True,0,True,2020-08-07 00:40:31+00:00,159,True,12,active,,,2020-08-07 00:57:30,2020
139,160,True,1,0,0,True,0,True,2020-08-07 00:45:45+00:00,160,True,13,active,,,2020-08-07 00:57:30,2020
140,161,True,6,1,0,True,0,True,2020-08-07 00:41:55+00:00,161,True,16,active,,,2020-08-07 00:57:30,2020
141,162,False,8,0,0,True,0,True,2020-08-07 00:44:46+00:00,162,True,7,active,,,2020-08-07 00:57:30,2020
142,163,True,7,0,0,True,0,True,2020-08-07 00:26:49+00:00,163,True,12,active,,,2020-08-07 00:57:30,2020
143,167,False,3,0,0,True,0,True,2020-08-07 00:21:14+00:00,167,True,12,active,,,2020-08-07 00:57:30,2020
144,169,False,8,2,0,True,0,True,2020-08-07 00:02:04+00:00,169,True,9,active,,,2020-08-07 00:57:30,2020
145,170,True,1,0,0,True,0,True,2020-08-07 00:15:09+00:00,170,True,13,active,,,2020-08-07 00:57:30,2020
146,171,True,8,0,0,True,0,True,2020-08-06 22:07:41+00:00,171,True,15,active,,,2020-08-07 00:57:30,2020
147,173,True,2,0,0,True,0,True,2020-08-07 00:47:13+00:00,173,True,12,active,,,2020-08-07 00:57:30,2020
148,174,False,2,1,0,True,0,True,2020-08-06 23:55:55+00:00,174,True,12,active,,,2020-08-07 00:57:30,2020
149,175,True,1,0,0,True,0,True,2020-08-06 23:29:10+00:00,175,True,16,active,,,2020-08-07 00:57:30,2020
150,176,False,5,0,0,True,0,True,2020-08-07 00:53:27+00:00,176,True,10,active,,,2020-08-07 00:57:30,2020
151,177,False,6,0,0,True,0,True,2020-08-07 00:50:30+00:00,177,True,13,active,,,2020-08-07 00:57:30,2020
152,178,False,0,0,0,True,0,True,2020-08-07 00:42:28+00:00,178,True,19,active,,,2020-08-07 00:57:30,2020
153,179,False,7,0,0,True,0,True,2020-08-07 00:51:09+00:00,179,True,18,active,,,2020-08-07 00:57:30,2020
154,180,False,11,0,0,True,0,True,2020-08-07 00:41:06+00:00,180,True,8,active,,,2020-08-07 00:57:30,2020
155,181,False,18,0,0,True,0,True,2020-08-06 23:58:55+00:00,181,True,1,active,,,2020-08-07 00:57:30,2020
156,182,True,15,0,0,True,0,True,2020-08-07 00:32:32+00:00,182,True,4,active,,,2020-08-07 00:57:30,2020
157,183,False,4,0,0,True,0,True,2020-08-07 00:01:52+00:00,183,True,15,active,,,2020-08-07 00:57:30,2020
158,184,False,7,1,0,True,0,True,2020-08-07 00:19:15+00:00,184,True,11,active,,,2020-08-07 00:57:30,2020
159,185,False,8,0,0,True,0,True,2020-08-07 00:49:03+00:00,185,True,7,active,,,2020-08-07 00:57:30,2020
160,186,True,6,1,0,True,0,True,2020-08-07 00:45:46+00:00,186,True,8,active,,,2020-08-07 00:57:30,2020
161,187,False,13,0,0,True,0,True,2020-08-07 00:34:48+00:00,187,True,2,active,,,2020-08-07 00:57:30,2020
162,188,False,13,0,0,True,0,True,2020-08-07 00:53:53+00:00,188,True,2,active,,,2020-08-07 00:57:30,2020
163,189,True,16,1,0,True,0,True,2020-08-07 00:48:54+00:00,189,True,6,active,,,2020-08-07 00:57:30,2020
164,190,True,26,2,0,True,0,True,2020-08-07 00:47:51+00:00,190,True,9,active,,,2020-08-07 00:57:30,2020
165,191,False,4,0,0,True,0,True,2020-08-06 23:34:32+00:00,191,True,11,active,,,2020-08-07 00:57:30,2020
166,192,False,8,0,0,True,0,True,2020-08-07 00:51:21+00:00,192,True,11,active,,,2020-08-07 00:57:30,2020
167,193,True,1,1,0,True,0,True,2020-08-06 23:50:56+00:00,193,True,13,active,,,2020-08-07 00:57:30,2020
168,194,False,4,0,0,True,0,True,2020-08-07 00:30:00+00:00,194,True,15,active,,,2020-08-07 00:57:30,2020
169,195,False,6,2,0,True,0,True,2020-08-07 00:56:20+00:00,195,True,15,active,,,2020-08-07 00:57:30,2020
170,196,True,6,0,0,True,0,True,2020-08-07 00:31:10+00:00,196,True,4,active,,,2020-08-07 00:57:30,2020
171,197,False,3,0,0,True,0,True,2020-08-06 23:36:42+00:00,197,True,12,active,,,2020-08-07 00:57:30,2020
172,199,False,5,0,0,True,0,True,2020-08-06 23:35:08+00:00,199,True,10,active,,,2020-08-07 00:57:30,2020
173,200,False,16,0,0,True,0,True,2020-08-07 00:17:56+00:00,200,True,3,active,,,2020-08-07 00:57:30,2020
174,201,False,4,0,0,True,0,True,2020-08-06 19:37:33+00:00,201,True,11,active,,,2020-08-07 00:57:30,2020
175,202,False,6,0,0,True,0,True,2020-08-06 22:07:57+00:00,202,True,9,active,,,2020-08-07 00:57:30,2020
176,203,False,3,0,0,True,0,True,2020-08-07 00:32:50+00:00,203,True,12,active,,,2020-08-07 00:57:30,2020
177,204,False,3,1,0,True,0,True,2020-08-07 00:44:55+00:00,204,True,11,active,,,2020-08-07 00:57:30,2020
178,205,False,8,0,0,True,0,True,2020-08-06 22:02:09+00:00,205,True,7,active,,,2020-08-07 00:57:30,2020
179,206,True,2,0,0,True,0,True,2020-08-07 00:18:04+00:00,206,True,21,active,,,2020-08-07 00:57:30,2020
180,208,True,8,0,0,True,0,True,2020-08-06 23:56:15+00:00,208,True,7,active,,,2020-08-07 00:57:30,2020
181,209,False,10,0,0,True,0,True,2020-08-06 23:51:49+00:00,209,True,5,active,,,2020-08-07 00:57:30,2020
182,210,False,2,0,0,True,0,True,2020-08-07 00:17:28+00:00,210,True,13,active,,,2020-08-07 00:57:30,2020
183,211,False,8,0,0,True,0,True,2020-08-07 00:12:26+00:00,211,True,11,active,,,2020-08-07 00:57:30,2020
184,212,False,15,0,0,True,0,True,2020-08-07 00:37:46+00:00,212,True,18,active,,,2020-08-07 00:57:30,2020
185,213,True,8,0,0,True,0,True,2020-08-07 00:39:37+00:00,213,True,8,active,,,2020-08-07 00:57:30,2020
186,214,False,8,0,0,True,0,True,2020-08-07 00:49:45+00:00,214,True,7,active,,,2020-08-07 00:57:30,2020
187,215,False,13,0,0,True,0,True,2020-08-06 23:58:19+00:00,215,True,2,active,,,2020-08-07 00:57:30,2020
188,216,False,17,0,0,True,0,True,2020-08-06 08:37:47+00:00,216,True,2,active,,,2020-08-07 00:57:30,2020
189,217,False,17,0,0,True,0,True,2020-08-07 00:36:43+00:00,217,True,2,active,,,2020-08-07 00:57:30,2020
190,218,False,12,2,0,True,0,True,2020-08-07 00:43:44+00:00,218,True,1,active,,,2020-08-07 00:57:30,2020
191,219,False,12,0,0,True,0,True,2020-08-06 22:40:37+00:00,219,True,3,active,,,2020-08-07 00:57:30,2020
192,221,False,9,0,0,True,0,True,2020-08-07 00:54:03+00:00,221,True,10,active,,,2020-08-07 00:57:30,2020
193,222,True,2,0,0,True,0,True,2020-08-07 00:17:16+00:00,222,True,12,active,,,2020-08-07 00:57:30,2020
194,224,False,8,1,0,True,0,True,2020-08-07 00:41:55+00:00,224,True,8,active,,,2020-08-07 00:57:30,2020
