,last_reported,eightd_has_available_keys,station_id,is_renting,num_docks_disabled,station_status,num_bikes_available,num_bikes_disabled,is_installed,is_returning,legacy_id,num_ebikes_available,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
136,2020-08-19 00:08:30+00:00,False,156,True,0,active,4,1,True,True,156,0,10,2020-08-19 00:51:30,2020
137,2020-08-19 00:45:58+00:00,False,157,True,0,active,5,2,True,True,157,0,8,2020-08-19 00:51:30,2020
138,2020-08-19 00:41:48+00:00,False,159,True,0,active,2,0,True,True,159,0,13,2020-08-19 00:51:30,2020
139,2020-08-18 23:42:01+00:00,True,160,True,0,active,0,0,True,True,160,0,14,2020-08-19 00:51:30,2020
140,2020-08-19 00:49:42+00:00,True,161,True,0,active,16,1,True,True,161,0,6,2020-08-19 00:51:30,2020
141,2020-08-19 00:12:49+00:00,False,162,True,0,active,7,0,True,True,162,0,8,2020-08-19 00:51:30,2020
142,2020-08-19 00:24:06+00:00,True,163,True,0,active,2,0,True,True,163,0,17,2020-08-19 00:51:30,2020
143,2020-08-19 00:03:18+00:00,False,167,True,0,active,5,0,True,True,167,0,10,2020-08-19 00:51:30,2020
144,2020-08-19 00:33:05+00:00,False,169,True,0,active,7,0,True,True,169,0,12,2020-08-19 00:51:30,2020
145,2020-08-18 22:24:55+00:00,True,170,True,0,active,0,0,True,True,170,0,14,2020-08-19 00:51:30,2020
146,2020-08-19 00:23:19+00:00,True,171,True,0,active,3,0,True,True,171,0,20,2020-08-19 00:51:30,2020
147,2020-08-19 00:39:23+00:00,True,173,True,0,active,9,0,True,True,173,0,5,2020-08-19 00:51:30,2020
148,2020-08-19 00:42:57+00:00,False,174,True,0,active,3,0,True,True,174,0,12,2020-08-19 00:51:30,2020
149,2020-08-19 00:41:13+00:00,True,175,True,0,active,6,1,True,True,175,0,10,2020-08-19 00:51:30,2020
150,2020-08-19 00:49:56+00:00,False,176,True,0,active,12,0,True,True,176,0,3,2020-08-19 00:51:30,2020
151,2020-08-19 00:39:34+00:00,False,177,True,0,active,16,0,True,True,177,0,3,2020-08-19 00:51:30,2020
152,2020-08-19 00:51:26+00:00,False,178,True,0,active,8,0,True,True,178,0,11,2020-08-19 00:51:30,2020
153,2020-08-19 00:51:27+00:00,False,179,True,0,active,18,0,True,True,179,0,7,2020-08-19 00:51:30,2020
154,2020-08-19 00:49:16+00:00,False,180,True,0,active,9,0,True,True,180,0,10,2020-08-19 00:51:30,2020
155,2020-08-18 23:58:26+00:00,False,181,True,0,active,10,0,True,True,181,0,9,2020-08-19 00:51:30,2020
156,2020-08-18 23:55:10+00:00,True,182,True,0,active,4,0,True,True,182,0,15,2020-08-19 00:51:30,2020
157,2020-08-19 00:06:14+00:00,False,183,True,0,active,8,0,True,True,183,0,11,2020-08-19 00:51:30,2020
158,2020-08-19 00:19:31+00:00,False,184,True,0,active,8,0,True,True,184,0,11,2020-08-19 00:51:30,2020
159,2020-08-19 00:42:11+00:00,False,185,True,0,active,4,1,True,True,185,0,10,2020-08-19 00:51:30,2020
160,2020-08-19 00:39:06+00:00,True,186,True,0,active,1,0,True,True,186,0,14,2020-08-19 00:51:30,2020
161,2020-08-19 00:43:12+00:00,False,187,True,0,active,10,0,True,True,187,0,5,2020-08-19 00:51:30,2020
162,2020-08-19 00:29:38+00:00,False,188,True,0,active,13,0,True,True,188,0,2,2020-08-19 00:51:30,2020
163,2020-08-19 00:45:50+00:00,True,189,True,0,active,14,0,True,True,189,0,9,2020-08-19 00:51:30,2020
164,2020-08-19 00:47:10+00:00,True,190,True,0,active,21,2,True,True,190,0,14,2020-08-19 00:51:30,2020
165,2020-08-18 23:41:27+00:00,False,191,True,0,active,3,0,True,True,191,0,12,2020-08-19 00:51:30,2020
166,2020-08-18 23:56:26+00:00,False,192,True,0,active,0,0,True,True,192,0,19,2020-08-19 00:51:30,2020
167,2020-08-18 23:44:24+00:00,True,193,True,0,active,1,0,True,True,193,0,14,2020-08-19 00:51:30,2020
168,2020-08-19 00:17:32+00:00,False,194,True,0,active,1,3,True,True,194,0,15,2020-08-19 00:51:30,2020
169,2020-08-19 00:08:28+00:00,False,195,True,0,active,9,1,True,True,195,0,13,2020-08-19 00:51:30,2020
170,2020-08-18 21:20:25+00:00,False,196,True,0,active,0,0,True,True,196,0,10,2020-08-19 00:51:30,2020
171,2020-08-19 00:16:49+00:00,False,197,True,0,active,8,1,True,True,197,0,6,2020-08-19 00:51:30,2020
172,2020-08-18 23:59:53+00:00,False,199,True,0,active,10,0,True,True,199,0,5,2020-08-19 00:51:30,2020
173,2020-08-19 00:07:45+00:00,False,200,True,0,active,17,0,True,True,200,0,2,2020-08-19 00:51:30,2020
174,2020-08-18 22:29:02+00:00,False,201,True,0,active,4,0,True,True,201,0,11,2020-08-19 00:51:30,2020
175,2020-08-18 23:32:32+00:00,False,202,True,0,active,2,0,True,True,202,0,13,2020-08-19 00:51:30,2020
176,2020-08-18 22:44:51+00:00,False,203,True,0,active,6,1,True,True,203,0,8,2020-08-19 00:51:30,2020
