,num_bikes_disabled,is_returning,is_renting,eightd_has_available_keys,num_docks_disabled,is_installed,num_ebikes_available,last_reported,station_status,num_docks_available,legacy_id,num_bikes_available,station_id,timestamp_of_data_read_request,year_station_last_reported
147,0,True,True,True,0,True,0,2020-08-12 01:40:39+00:00,active,5,173,9,173,2020-08-12 02:50:00,2020
148,1,True,True,False,0,True,0,2020-08-12 01:39:59+00:00,active,5,174,9,174,2020-08-12 02:50:00,2020
149,0,True,True,True,0,True,0,2020-08-12 02:45:54+00:00,active,9,175,8,175,2020-08-12 02:50:00,2020
150,0,True,True,False,0,True,0,2020-08-12 01:55:11+00:00,active,2,176,13,176,2020-08-12 02:50:00,2020
151,0,True,True,False,0,True,0,2020-08-12 02:39:19+00:00,active,14,177,5,177,2020-08-12 02:50:00,2020
152,1,True,True,False,0,True,0,2020-08-12 02:49:43+00:00,active,16,178,2,178,2020-08-12 02:50:00,2020
153,1,True,True,False,0,True,0,2020-08-12 02:32:15+00:00,active,14,179,10,179,2020-08-12 02:50:00,2020
154,1,True,True,False,0,True,0,2020-08-12 01:41:21+00:00,active,6,180,12,180,2020-08-12 02:50:00,2020
155,0,True,True,False,0,True,0,2020-08-12 01:30:14+00:00,active,6,181,13,181,2020-08-12 02:50:00,2020
156,0,True,True,True,0,True,0,2020-08-12 02:18:35+00:00,active,16,182,3,182,2020-08-12 02:50:00,2020
157,1,True,True,False,0,True,0,2020-08-12 00:54:50+00:00,active,9,183,9,183,2020-08-12 02:50:00,2020
158,2,True,True,False,0,True,0,2020-08-12 01:57:54+00:00,active,11,184,6,184,2020-08-12 02:50:00,2020
159,0,True,True,False,0,True,0,2020-08-12 02:47:08+00:00,active,3,185,12,185,2020-08-12 02:50:00,2020
160,0,True,True,True,0,True,0,2020-08-12 02:11:57+00:00,active,11,186,4,186,2020-08-12 02:50:00,2020
161,0,True,True,False,0,True,0,2020-08-12 00:47:26+00:00,active,5,187,10,187,2020-08-12 02:50:00,2020
162,0,True,True,False,0,True,0,2020-08-12 02:18:29+00:00,active,1,188,14,188,2020-08-12 02:50:00,2020
163,0,True,True,True,0,True,0,2020-08-12 01:33:34+00:00,active,9,189,14,189,2020-08-12 02:50:00,2020
164,1,True,True,True,0,True,0,2020-08-12 02:47:54+00:00,active,21,190,15,190,2020-08-12 02:50:00,2020
165,0,True,True,False,0,True,0,2020-08-12 01:30:08+00:00,active,9,191,6,191,2020-08-12 02:50:00,2020
166,1,True,True,False,0,True,0,2020-08-12 02:21:13+00:00,active,17,192,1,192,2020-08-12 02:50:00,2020
167,0,True,True,True,0,True,0,2020-08-12 01:44:01+00:00,active,10,193,5,193,2020-08-12 02:50:00,2020
168,1,True,True,False,0,True,0,2020-08-11 22:31:21+00:00,active,17,194,1,194,2020-08-12 02:50:00,2020
169,0,True,True,False,0,True,0,2020-08-12 02:34:14+00:00,active,9,195,14,195,2020-08-12 02:50:00,2020
170,0,True,True,True,0,True,0,2020-08-11 23:59:37+00:00,active,9,196,1,196,2020-08-12 02:50:00,2020
171,0,True,True,False,0,True,0,2020-08-12 00:42:10+00:00,active,13,197,2,197,2020-08-12 02:50:00,2020
172,0,True,True,False,0,True,0,2020-08-12 00:29:30+00:00,active,12,199,3,199,2020-08-12 02:50:00,2020
173,0,True,True,False,0,True,0,2020-08-12 02:37:48+00:00,active,5,200,14,200,2020-08-12 02:50:00,2020
174,0,True,True,False,0,True,0,2020-08-12 00:48:44+00:00,active,14,201,1,201,2020-08-12 02:50:00,2020
175,0,True,True,False,0,True,0,2020-08-11 21:15:52+00:00,active,10,202,5,202,2020-08-12 02:50:00,2020
176,0,True,True,False,0,True,0,2020-08-12 00:29:43+00:00,active,14,203,1,203,2020-08-12 02:50:00,2020
177,0,True,True,False,0,True,0,2020-08-12 00:23:12+00:00,active,14,204,1,204,2020-08-12 02:50:00,2020
178,0,True,True,False,0,True,0,2020-08-11 23:04:36+00:00,active,11,205,4,205,2020-08-12 02:50:00,2020
179,0,True,True,True,0,True,0,2020-08-12 02:44:34+00:00,active,19,206,4,206,2020-08-12 02:50:00,2020
180,0,True,True,True,0,True,0,2020-08-11 22:20:43+00:00,active,11,208,4,208,2020-08-12 02:50:00,2020
181,0,True,True,False,0,True,0,2020-08-11 23:50:56+00:00,active,11,209,4,209,2020-08-12 02:50:00,2020
182,0,True,True,False,0,True,0,2020-08-11 20:57:01+00:00,active,12,210,3,210,2020-08-12 02:50:00,2020
183,0,True,True,False,0,True,0,2020-08-12 00:18:35+00:00,active,14,211,5,211,2020-08-12 02:50:00,2020
184,1,True,True,False,0,True,0,2020-08-12 01:58:29+00:00,active,10,212,22,212,2020-08-12 02:50:00,2020
185,0,True,True,True,0,True,0,2020-08-12 02:17:23+00:00,active,11,213,5,213,2020-08-12 02:50:00,2020
186,0,True,True,False,0,True,0,2020-08-12 00:53:22+00:00,active,12,214,3,214,2020-08-12 02:50:00,2020
187,0,True,True,False,0,True,0,2020-08-12 02:45:19+00:00,active,4,215,11,215,2020-08-12 02:50:00,2020
188,1,True,True,False,0,True,0,2020-08-12 02:13:41+00:00,active,1,216,17,216,2020-08-12 02:50:00,2020
