,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
114,126,0,0,0,15,0,True,True,True,2020-03-24 19:40:26+00:00,False,,2020-03-24 21:07:39,2020
115,128,0,0,0,19,0,False,False,False,2019-11-07 14:52:43+00:00,False,,2020-03-24 21:07:39,2019
116,129,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
117,130,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
118,131,12,0,0,6,0,True,True,True,2020-03-24 20:49:19+00:00,True,,2020-03-24 21:07:39,2020
119,133,12,0,1,10,0,True,True,True,2020-03-24 19:22:28+00:00,False,,2020-03-24 21:07:39,2020
120,134,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
121,135,5,0,0,12,0,True,True,True,2020-03-24 21:03:45+00:00,False,,2020-03-24 21:07:39,2020
122,136,5,0,0,14,0,True,True,True,2020-03-24 18:21:32+00:00,False,,2020-03-24 21:07:39,2020
123,137,4,0,0,11,0,True,True,True,2020-03-24 19:27:49+00:00,False,,2020-03-24 21:07:39,2020
