,num_docks_available,last_reported,legacy_id,station_id,is_renting,is_installed,is_returning,station_status,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,num_docks_disabled,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
279,3,2020-08-07 21:40:31+00:00,391,391,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
280,7,2020-08-07 19:49:26+00:00,392,392,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
281,10,2020-08-07 16:15:11+00:00,393,393,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
282,13,2020-08-07 08:58:01+00:00,394,394,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
283,5,2020-08-07 21:35:42+00:00,395,395,True,True,True,active,0,False,10,0,0,,,2020-08-07 23:14:00,2020
284,1,2020-08-07 08:58:33+00:00,396,396,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
285,4,2020-08-07 22:31:44+00:00,397,397,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
286,11,2020-08-07 22:03:42+00:00,398,398,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
287,8,2020-08-07 23:02:13+00:00,399,399,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
288,21,2020-08-07 22:39:34+00:00,400,400,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
289,1,2020-08-07 22:42:50+00:00,401,401,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
290,12,2020-08-07 22:31:06+00:00,402,402,True,True,True,active,3,False,0,0,0,,,2020-08-07 23:14:00,2020
291,6,2020-08-07 23:04:40+00:00,403,403,True,True,True,active,1,False,8,0,0,,,2020-08-07 23:14:00,2020
292,12,2020-08-07 23:08:16+00:00,404,404,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
293,6,2020-08-07 23:05:03+00:00,405,405,True,True,True,active,1,False,12,0,0,,,2020-08-07 23:14:00,2020
294,8,2020-08-07 22:29:17+00:00,406,406,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
295,11,2020-08-07 22:24:35+00:00,407,407,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
296,8,2020-08-07 21:56:43+00:00,408,408,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
297,7,2020-08-07 23:08:36+00:00,409,409,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
298,5,2020-08-07 23:12:30+00:00,410,410,True,True,True,active,0,False,14,0,0,,,2020-08-07 23:14:00,2020
299,9,2020-08-07 16:41:16+00:00,411,411,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
300,5,2020-08-07 23:04:19+00:00,412,412,True,True,True,active,1,False,13,0,0,,,2020-08-07 23:14:00,2020
301,7,2020-08-07 23:10:56+00:00,413,413,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
302,19,2020-08-07 22:50:19+00:00,414,414,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
303,13,2020-08-07 22:53:03+00:00,415,415,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
304,6,2020-08-07 23:05:57+00:00,416,416,True,True,True,active,1,False,8,0,0,,,2020-08-07 23:14:00,2020
305,12,2020-08-07 23:05:04+00:00,417,417,True,True,True,active,0,False,7,0,0,,,2020-08-07 23:14:00,2020
306,10,2020-08-07 22:21:49+00:00,419,419,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
307,0,1970-01-02 00:00:00+00:00,420,420,False,False,False,out_of_service,0,False,0,0,0,,,2020-08-07 23:14:00,1970
308,4,2020-08-07 20:19:27+00:00,421,421,True,True,True,active,0,False,15,0,0,,,2020-08-07 23:14:00,2020
309,7,2020-08-07 08:58:43+00:00,422,422,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
310,14,2020-08-07 21:48:36+00:00,423,423,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
311,15,2020-08-07 22:57:13+00:00,424,424,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
312,4,2020-08-07 17:40:10+00:00,425,425,True,True,True,active,0,False,12,0,0,,,2020-08-07 23:14:00,2020
313,21,2020-08-07 23:00:53+00:00,426,426,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
314,19,2020-08-06 20:59:13+00:00,427,427,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
315,13,2020-08-07 22:46:55+00:00,428,428,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
316,4,2020-08-07 17:50:01+00:00,430,430,True,True,True,active,0,False,15,0,0,,,2020-08-07 23:14:00,2020
317,12,2020-08-07 22:09:44+00:00,431,431,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
318,9,2020-08-07 22:18:47+00:00,432,432,True,True,True,active,0,False,10,0,0,,,2020-08-07 23:14:00,2020
319,15,2020-08-07 22:25:24+00:00,433,433,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
320,19,2020-08-07 16:24:16+00:00,434,434,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
321,7,2020-08-07 22:22:31+00:00,435,435,True,True,True,active,0,False,8,0,0,,,2020-08-07 23:14:00,2020
322,13,2020-08-07 23:11:41+00:00,436,436,True,True,True,active,0,False,2,0,0,,,2020-08-07 23:14:00,2020
323,18,2020-08-07 23:05:56+00:00,437,437,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
324,14,2020-08-07 23:07:21+00:00,440,440,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
325,8,2020-08-07 21:31:59+00:00,441,441,True,True,True,active,0,False,11,0,0,,,2020-08-07 23:14:00,2020
326,5,2020-08-07 23:12:08+00:00,442,442,True,True,True,active,0,False,10,0,0,,,2020-08-07 23:14:00,2020
327,16,2020-08-07 21:46:44+00:00,443,443,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
328,12,2020-08-07 22:56:08+00:00,445,445,True,True,True,active,1,False,6,0,0,,,2020-08-07 23:14:00,2020
329,6,2020-08-07 23:09:01+00:00,446,446,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
330,16,2020-08-07 21:51:55+00:00,447,447,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
331,7,2020-08-07 18:50:43+00:00,448,448,True,True,True,active,0,False,4,0,0,,,2020-08-07 23:14:00,2020
332,0,1970-01-02 00:00:00+00:00,449,449,True,False,True,out_of_service,0,False,0,0,0,,,2020-08-07 23:14:00,1970
333,9,2020-08-07 23:11:55+00:00,450,450,True,True,True,active,0,False,6,0,0,,,2020-08-07 23:14:00,2020
334,12,2020-08-07 22:43:52+00:00,451,451,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
335,10,2020-08-07 23:03:03+00:00,452,452,True,True,True,active,0,False,5,0,0,,,2020-08-07 23:14:00,2020
336,12,2020-08-07 23:13:11+00:00,453,453,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
337,10,2020-08-07 23:12:52+00:00,454,454,True,True,True,active,1,False,4,0,0,,,2020-08-07 23:14:00,2020
338,6,2020-08-07 23:06:59+00:00,455,455,True,True,True,active,1,False,5,0,0,,,2020-08-07 23:14:00,2020
339,16,2020-08-07 22:50:51+00:00,456,456,True,True,True,active,0,False,3,0,0,,,2020-08-07 23:14:00,2020
340,11,2020-08-07 21:50:41+00:00,457,457,True,True,True,active,0,False,0,0,0,,,2020-08-07 23:14:00,2020
341,10,2020-08-07 23:05:28+00:00,458,458,True,True,True,active,0,False,1,0,0,,,2020-08-07 23:14:00,2020
