,num_docks_available,is_renting,is_returning,last_reported,num_ebikes_available,is_installed,num_bikes_disabled,station_id,num_docks_disabled,eightd_has_available_keys,station_status,legacy_id,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
145,14,True,True,2020-08-05 18:31:26+00:00,0,True,0,170,0,True,active,170,0,,,2020-08-06 02:58:30,2020
146,15,True,True,2020-08-05 22:21:58+00:00,0,True,0,171,0,True,active,171,8,,,2020-08-06 02:58:30,2020
147,7,True,True,2020-08-06 01:50:53+00:00,0,True,0,173,0,True,active,173,7,,,2020-08-06 02:58:30,2020
148,11,True,True,2020-08-06 02:08:31+00:00,0,True,2,174,0,False,active,174,2,,,2020-08-06 02:58:30,2020
149,13,True,True,2020-08-06 01:11:34+00:00,0,True,0,175,0,True,active,175,4,,,2020-08-06 02:58:30,2020
150,2,True,True,2020-08-06 02:06:46+00:00,0,True,0,176,0,False,active,176,13,,,2020-08-06 02:58:30,2020
151,13,True,True,2020-08-06 02:49:42+00:00,0,True,0,177,0,False,active,177,6,,,2020-08-06 02:58:30,2020
152,14,True,True,2020-08-06 02:37:57+00:00,0,True,0,178,0,False,active,178,5,,,2020-08-06 02:58:30,2020
153,20,True,True,2020-08-06 02:57:47+00:00,0,True,0,179,0,False,active,179,5,,,2020-08-06 02:58:30,2020
154,8,True,True,2020-08-06 00:44:11+00:00,0,True,0,180,0,False,active,180,11,,,2020-08-06 02:58:30,2020
155,1,True,True,2020-08-06 02:36:54+00:00,0,True,0,181,0,False,active,181,18,,,2020-08-06 02:58:30,2020
156,15,True,True,2020-08-06 00:45:33+00:00,0,True,0,182,0,True,active,182,4,,,2020-08-06 02:58:30,2020
157,12,True,True,2020-08-06 02:51:50+00:00,0,True,0,183,0,False,active,183,7,,,2020-08-06 02:58:30,2020
158,14,True,True,2020-08-06 02:11:26+00:00,0,True,0,184,0,False,active,184,5,,,2020-08-06 02:58:30,2020
159,9,True,True,2020-08-06 02:20:46+00:00,0,True,0,185,0,False,active,185,6,,,2020-08-06 02:58:30,2020
160,11,True,True,2020-08-06 02:57:35+00:00,0,True,0,186,0,True,active,186,4,,,2020-08-06 02:58:30,2020
161,0,True,True,2020-08-06 02:09:13+00:00,0,True,0,187,0,False,active,187,15,,,2020-08-06 02:58:30,2020
162,3,True,True,2020-08-06 02:35:04+00:00,0,True,0,188,0,False,active,188,12,,,2020-08-06 02:58:30,2020
163,22,True,True,2020-08-06 02:41:25+00:00,0,True,1,189,0,True,active,189,0,,,2020-08-06 02:58:30,2020
164,28,True,True,2020-08-06 02:41:17+00:00,0,True,1,190,0,True,active,190,8,,,2020-08-06 02:58:30,2020
165,13,True,True,2020-08-06 01:05:34+00:00,0,True,0,191,0,False,active,191,2,,,2020-08-06 02:58:30,2020
166,16,True,True,2020-08-06 01:48:17+00:00,0,True,0,192,0,False,active,192,3,,,2020-08-06 02:58:30,2020
167,13,True,True,2020-08-06 02:53:15+00:00,0,True,1,193,0,True,active,193,1,,,2020-08-06 02:58:30,2020
168,13,True,True,2020-08-06 02:54:22+00:00,0,True,0,194,0,False,active,194,6,,,2020-08-06 02:58:30,2020
169,9,True,True,2020-08-06 02:54:18+00:00,0,True,1,195,0,False,active,195,13,,,2020-08-06 02:58:30,2020
170,8,True,True,2020-08-06 01:15:01+00:00,0,True,0,196,0,True,active,196,2,,,2020-08-06 02:58:30,2020
171,15,True,True,2020-08-06 00:13:47+00:00,0,True,0,197,0,False,active,197,0,,,2020-08-06 02:58:30,2020
172,10,True,True,2020-08-05 22:16:32+00:00,0,True,0,199,0,False,active,199,5,,,2020-08-06 02:58:30,2020
173,5,True,True,2020-08-06 02:33:47+00:00,0,True,0,200,0,False,active,200,14,,,2020-08-06 02:58:30,2020
174,10,True,True,2020-08-05 16:42:59+00:00,0,True,0,201,0,False,active,201,5,,,2020-08-06 02:58:30,2020
175,7,True,True,2020-08-06 01:49:29+00:00,0,True,0,202,0,False,active,202,8,,,2020-08-06 02:58:30,2020
176,10,True,True,2020-08-05 23:08:39+00:00,0,True,0,203,0,False,active,203,5,,,2020-08-06 02:58:30,2020
