,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
123,12,True,2020-08-04 22:23:54+00:00,138,False,active,2,0,1,True,138,True,0,,,2020-08-04 22:38:55,2020
124,8,True,2020-08-04 22:24:09+00:00,139,False,active,11,0,0,True,139,True,0,,,2020-08-04 22:38:55,2020
125,16,True,2020-08-04 22:28:42+00:00,140,False,active,1,0,0,True,140,True,0,,,2020-08-04 22:38:55,2020
126,7,True,2020-08-04 22:37:30+00:00,141,False,active,7,0,1,True,141,True,0,,,2020-08-04 22:38:55,2020
127,10,True,2020-08-04 20:47:08+00:00,142,False,active,11,0,2,True,142,True,0,,,2020-08-04 22:38:55,2020
128,9,True,2020-08-04 21:43:46+00:00,143,False,active,13,0,1,True,143,True,0,,,2020-08-04 22:38:55,2020
129,1,True,2020-08-04 20:39:57+00:00,144,False,active,18,0,0,True,144,True,0,,,2020-08-04 22:38:55,2020
130,15,True,2020-08-04 22:19:55+00:00,145,False,active,4,0,0,True,145,True,0,,,2020-08-04 22:38:55,2020
131,9,True,2020-08-04 22:26:39+00:00,146,False,active,8,0,2,True,146,True,0,,,2020-08-04 22:38:55,2020
132,7,True,2020-08-04 22:14:31+00:00,149,True,active,11,0,0,True,149,True,0,,,2020-08-04 22:38:55,2020
133,3,True,2020-08-04 20:42:40+00:00,150,False,active,16,0,0,True,150,True,0,,,2020-08-04 22:38:55,2020
134,9,True,2020-08-04 22:36:10+00:00,151,False,active,10,0,0,True,151,True,0,,,2020-08-04 22:38:55,2020
135,12,True,2020-08-04 22:28:34+00:00,152,True,active,3,0,0,True,152,True,0,,,2020-08-04 22:38:55,2020
136,3,True,2020-08-04 22:18:05+00:00,156,False,active,12,0,0,True,156,True,0,,,2020-08-04 22:38:55,2020
137,9,True,2020-08-04 22:36:03+00:00,157,False,active,4,0,2,True,157,True,0,,,2020-08-04 22:38:55,2020
138,3,True,2020-08-04 21:42:20+00:00,159,False,active,11,0,1,True,159,True,0,,,2020-08-04 22:38:55,2020
139,2,True,2020-08-04 22:34:22+00:00,160,True,active,12,0,0,True,160,True,0,,,2020-08-04 22:38:55,2020
140,6,True,2020-08-04 22:34:51+00:00,161,True,active,17,0,0,True,161,True,0,,,2020-08-04 22:38:55,2020
141,4,True,2020-08-04 20:04:45+00:00,162,False,active,10,0,1,True,162,True,0,,,2020-08-04 22:38:55,2020
142,5,True,2020-08-04 20:19:09+00:00,163,True,active,14,0,0,True,163,True,0,,,2020-08-04 22:38:55,2020
143,15,True,2020-08-04 22:23:31+00:00,167,False,active,0,0,0,True,167,True,0,,,2020-08-04 22:38:55,2020
144,16,True,2020-08-04 21:44:42+00:00,169,False,active,3,0,0,True,169,True,0,,,2020-08-04 22:38:55,2020
145,0,True,2020-08-04 19:21:17+00:00,170,True,active,14,0,0,True,170,True,0,,,2020-08-04 22:38:55,2020
146,6,True,2020-08-04 22:20:17+00:00,171,True,active,17,0,0,True,171,True,0,,,2020-08-04 22:38:55,2020
147,11,True,2020-08-04 19:01:26+00:00,173,True,active,3,0,0,True,173,True,0,,,2020-08-04 22:38:55,2020
148,8,True,2020-08-04 22:17:48+00:00,174,False,active,7,0,0,True,174,True,0,,,2020-08-04 22:38:55,2020
149,2,True,2020-08-04 22:10:52+00:00,175,True,active,15,0,0,True,175,True,0,,,2020-08-04 22:38:55,2020
150,3,True,2020-08-04 22:26:31+00:00,176,False,active,12,0,0,True,176,True,0,,,2020-08-04 22:38:55,2020
151,8,True,2020-08-04 22:32:30+00:00,177,False,active,11,0,0,True,177,True,0,,,2020-08-04 22:38:55,2020
152,11,True,2020-08-04 22:38:22+00:00,178,False,active,8,0,0,True,178,True,0,,,2020-08-04 22:38:55,2020
153,8,True,2020-08-04 22:17:45+00:00,179,False,active,17,0,0,True,179,True,0,,,2020-08-04 22:38:55,2020
154,14,True,2020-08-04 22:34:43+00:00,180,False,active,5,0,0,True,180,True,0,,,2020-08-04 22:38:55,2020
155,17,True,2020-08-04 22:25:47+00:00,181,False,active,1,0,1,True,181,True,0,,,2020-08-04 22:38:55,2020
156,3,True,2020-08-04 22:37:11+00:00,182,True,active,14,0,2,True,182,True,0,,,2020-08-04 22:38:55,2020
157,11,True,2020-08-04 20:11:48+00:00,183,False,active,8,0,0,True,183,True,0,,,2020-08-04 22:38:55,2020
158,5,True,2020-08-04 22:11:35+00:00,184,False,active,12,0,2,True,184,True,0,,,2020-08-04 22:38:55,2020
159,4,True,2020-08-04 22:35:00+00:00,185,False,active,10,0,1,True,185,True,0,,,2020-08-04 22:38:55,2020
160,6,True,2020-08-04 22:13:49+00:00,186,True,active,9,0,0,True,186,True,0,,,2020-08-04 22:38:55,2020
161,14,True,2020-08-04 15:40:14+00:00,187,False,active,1,0,0,True,187,True,0,,,2020-08-04 22:38:55,2020
162,2,True,2020-08-04 18:46:44+00:00,188,False,active,13,0,0,True,188,True,0,,,2020-08-04 22:38:55,2020
163,8,True,2020-08-04 22:37:16+00:00,189,False,active,15,0,0,True,189,True,0,,,2020-08-04 22:38:55,2020
164,15,True,2020-08-04 22:29:14+00:00,190,True,active,21,0,1,True,190,True,0,,,2020-08-04 22:38:55,2020
165,2,True,2020-08-04 21:18:37+00:00,191,False,active,13,0,0,True,191,True,0,,,2020-08-04 22:38:55,2020
166,4,True,2020-08-04 22:33:11+00:00,192,False,active,15,0,0,True,192,True,0,,,2020-08-04 22:38:55,2020
167,10,True,2020-08-04 20:58:20+00:00,193,True,active,4,0,1,True,193,True,0,,,2020-08-04 22:38:55,2020
168,7,True,2020-08-04 22:04:31+00:00,194,False,active,12,0,0,True,194,True,0,,,2020-08-04 22:38:55,2020
169,14,True,2020-08-04 21:45:43+00:00,195,False,active,9,0,0,True,195,True,0,,,2020-08-04 22:38:55,2020
170,2,True,2020-08-04 22:12:24+00:00,196,True,active,8,0,0,True,196,True,0,,,2020-08-04 22:38:55,2020
171,1,True,2020-08-04 21:58:50+00:00,197,False,active,14,0,0,True,197,True,0,,,2020-08-04 22:38:55,2020
172,13,True,2020-08-04 19:45:54+00:00,199,False,active,2,0,0,True,199,True,0,,,2020-08-04 22:38:55,2020
173,15,True,2020-08-04 22:02:46+00:00,200,False,active,3,0,1,True,200,True,0,,,2020-08-04 22:38:55,2020
