,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,timestamp_of_data_read_request,year_station_last_reported
135,True,True,True,True,152,0,0,2020-08-11 00:37:13+00:00,active,1,0,14,152,2020-08-11 06:38:15,2020
136,True,True,True,False,156,0,0,2020-08-11 03:18:15+00:00,active,12,0,3,156,2020-08-11 06:38:15,2020
137,True,True,True,False,157,0,0,2020-08-11 05:28:08+00:00,active,5,2,8,157,2020-08-11 06:38:15,2020
138,True,True,True,False,159,0,0,2020-08-11 05:44:59+00:00,active,6,1,8,159,2020-08-11 06:38:15,2020
139,True,True,True,True,160,0,0,2020-08-11 05:33:22+00:00,active,6,0,8,160,2020-08-11 06:38:15,2020
140,True,True,True,True,161,0,0,2020-08-11 02:28:31+00:00,active,8,2,13,161,2020-08-11 06:38:15,2020
141,True,True,True,False,162,0,0,2020-08-11 00:33:12+00:00,active,9,0,6,162,2020-08-11 06:38:15,2020
142,True,True,True,True,163,0,0,2020-08-11 02:14:44+00:00,active,9,0,10,163,2020-08-11 06:38:15,2020
143,True,True,True,False,167,0,0,2020-08-11 02:54:06+00:00,active,9,0,6,167,2020-08-11 06:38:15,2020
144,True,True,True,False,169,0,0,2020-08-11 00:20:45+00:00,active,4,0,15,169,2020-08-11 06:38:15,2020
145,True,True,True,True,170,0,0,2020-08-11 00:26:00+00:00,active,11,0,3,170,2020-08-11 06:38:15,2020
146,True,True,True,True,171,0,0,2020-08-11 01:27:24+00:00,active,18,0,5,171,2020-08-11 06:38:15,2020
147,True,True,True,True,173,0,0,2020-08-11 04:26:17+00:00,active,3,0,11,173,2020-08-11 06:38:15,2020
148,True,True,True,False,174,0,0,2020-08-11 02:37:46+00:00,active,9,0,6,174,2020-08-11 06:38:15,2020
149,True,True,True,True,175,0,0,2020-08-11 01:38:46+00:00,active,16,0,1,175,2020-08-11 06:38:15,2020
150,True,True,True,False,176,0,0,2020-08-11 03:37:46+00:00,active,1,0,14,176,2020-08-11 06:38:15,2020
151,True,True,True,False,177,0,0,2020-08-11 03:22:26+00:00,active,19,0,0,177,2020-08-11 06:38:15,2020
152,True,True,True,False,178,0,0,2020-08-11 06:33:57+00:00,active,10,0,9,178,2020-08-11 06:38:15,2020
153,True,True,True,False,179,0,0,2020-08-11 05:36:54+00:00,active,14,0,11,179,2020-08-11 06:38:15,2020
154,True,True,True,False,180,0,0,2020-08-11 00:13:05+00:00,active,4,0,15,180,2020-08-11 06:38:15,2020
155,True,True,True,False,181,0,0,2020-08-11 00:24:18+00:00,active,4,0,15,181,2020-08-11 06:38:15,2020
156,True,True,True,True,182,0,0,2020-08-11 00:42:30+00:00,active,13,0,6,182,2020-08-11 06:38:15,2020
157,True,True,True,False,183,0,0,2020-08-11 03:49:58+00:00,active,17,0,2,183,2020-08-11 06:38:15,2020
158,True,True,True,False,184,0,0,2020-08-11 05:49:43+00:00,active,8,0,11,184,2020-08-11 06:38:15,2020
159,True,True,True,False,185,0,0,2020-08-11 06:14:59+00:00,active,6,0,9,185,2020-08-11 06:38:15,2020
160,True,True,True,True,186,0,0,2020-08-11 02:26:12+00:00,active,0,2,13,186,2020-08-11 06:38:15,2020
161,True,True,True,False,187,0,0,2020-08-11 00:24:38+00:00,active,2,0,13,187,2020-08-11 06:38:15,2020
162,True,True,True,False,188,0,0,2020-08-11 02:14:30+00:00,active,5,0,10,188,2020-08-11 06:38:15,2020
163,True,True,True,True,189,0,0,2020-08-11 04:02:54+00:00,active,14,1,8,189,2020-08-11 06:38:15,2020
164,True,True,True,True,190,0,0,2020-08-11 05:49:30+00:00,active,10,1,26,190,2020-08-11 06:38:15,2020
165,True,True,True,False,191,0,0,2020-08-11 05:36:28+00:00,active,12,0,3,191,2020-08-11 06:38:15,2020
166,True,True,True,False,192,0,0,2020-08-11 02:21:50+00:00,active,11,0,8,192,2020-08-11 06:38:15,2020
167,True,True,True,True,193,0,0,2020-08-11 01:49:48+00:00,active,9,0,6,193,2020-08-11 06:38:15,2020
168,True,True,True,False,194,0,0,2020-08-11 04:55:53+00:00,active,15,0,4,194,2020-08-11 06:38:15,2020
169,True,True,True,False,195,0,0,2020-08-11 04:48:33+00:00,active,7,1,15,195,2020-08-11 06:38:15,2020
170,True,True,True,True,196,0,0,2020-08-11 00:01:56+00:00,active,8,0,2,196,2020-08-11 06:38:15,2020
171,True,True,True,False,197,0,0,2020-08-11 00:47:31+00:00,active,14,0,1,197,2020-08-11 06:38:15,2020
172,True,True,True,False,199,0,0,2020-08-11 01:55:51+00:00,active,13,0,2,199,2020-08-11 06:38:15,2020
173,True,True,True,False,200,0,0,2020-08-11 06:30:40+00:00,active,5,2,12,200,2020-08-11 06:38:15,2020
174,True,True,True,False,201,0,0,2020-08-10 18:33:21+00:00,active,13,0,2,201,2020-08-11 06:38:15,2020
175,True,True,True,False,202,0,0,2020-08-11 02:12:05+00:00,active,11,0,4,202,2020-08-11 06:38:15,2020
176,True,True,True,False,203,0,0,2020-08-11 01:16:49+00:00,active,11,1,3,203,2020-08-11 06:38:15,2020
177,True,True,True,False,204,0,0,2020-08-11 01:31:16+00:00,active,12,0,3,204,2020-08-11 06:38:15,2020
178,True,True,True,False,205,0,0,2020-08-11 05:13:39+00:00,active,10,0,5,205,2020-08-11 06:38:15,2020
179,True,True,True,True,206,0,0,2020-08-11 03:51:29+00:00,active,22,0,1,206,2020-08-11 06:38:15,2020
180,True,True,True,True,208,0,0,2020-08-11 01:06:25+00:00,active,11,0,4,208,2020-08-11 06:38:15,2020
181,True,True,True,False,209,0,0,2020-08-10 22:38:44+00:00,active,7,0,8,209,2020-08-11 06:38:15,2020
182,True,True,True,False,210,0,0,2020-08-11 04:33:27+00:00,active,10,0,5,210,2020-08-11 06:38:15,2020
