,station_status,num_bikes_disabled,last_reported,legacy_id,is_installed,num_docks_available,eightd_has_available_keys,is_renting,station_id,num_ebikes_available,num_bikes_available,is_returning,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
189,active,1,2020-08-22 00:23:42+00:00,217,True,12,False,True,217,0,6,True,0,2020-08-22 03:05:25,2020
190,active,0,2020-08-22 02:52:26+00:00,218,True,10,False,True,218,0,5,True,0,2020-08-22 03:05:25,2020
191,active,0,2020-08-22 01:44:25+00:00,219,True,8,False,True,219,0,7,True,0,2020-08-22 03:05:25,2020
192,active,0,2020-08-22 02:09:55+00:00,221,True,17,False,True,221,0,2,True,0,2020-08-22 03:05:25,2020
193,active,1,2020-08-22 03:04:39+00:00,222,True,6,True,True,222,0,7,True,0,2020-08-22 03:05:25,2020
194,active,1,2020-08-22 00:44:29+00:00,224,True,10,False,True,224,0,6,True,0,2020-08-22 03:05:25,2020
195,active,1,2020-08-22 02:07:23+00:00,225,True,3,False,True,225,0,15,True,0,2020-08-22 03:05:25,2020
196,active,1,2020-08-22 02:54:11+00:00,226,True,3,False,True,226,0,11,True,0,2020-08-22 03:05:25,2020
197,active,2,2020-08-22 02:55:38+00:00,227,True,9,False,True,227,0,8,True,0,2020-08-22 03:05:25,2020
198,active,0,2020-08-22 01:45:34+00:00,228,True,9,False,True,228,0,10,True,0,2020-08-22 03:05:25,2020
199,active,0,2020-08-21 21:57:05+00:00,232,True,10,False,True,232,0,1,True,0,2020-08-22 03:05:25,2020
200,active,0,2020-08-22 02:47:24+00:00,233,True,13,False,True,233,0,2,True,0,2020-08-22 03:05:25,2020
201,active,0,2020-08-22 02:07:58+00:00,234,True,13,False,True,234,0,2,True,0,2020-08-22 03:05:25,2020
202,active,0,2020-08-22 01:06:27+00:00,235,True,7,False,True,235,0,8,True,0,2020-08-22 03:05:25,2020
203,active,0,2020-08-22 02:28:12+00:00,236,True,0,False,True,236,0,15,True,0,2020-08-22 03:05:25,2020
204,active,0,2020-08-22 02:30:49+00:00,239,True,10,False,True,239,0,5,True,0,2020-08-22 03:05:25,2020
205,active,0,2020-08-21 18:57:17+00:00,255,True,10,False,True,255,0,5,True,0,2020-08-22 03:05:25,2020
206,active,0,2020-08-22 00:58:28+00:00,258,True,1,False,True,258,0,14,True,0,2020-08-22 03:05:25,2020
207,active,0,2020-08-22 02:22:18+00:00,259,True,8,False,True,259,0,7,True,0,2020-08-22 03:05:25,2020
208,active,0,2020-08-22 02:39:51+00:00,260,True,11,False,True,260,0,4,True,0,2020-08-22 03:05:25,2020
209,active,0,2020-08-22 02:57:23+00:00,271,True,11,False,True,271,0,4,True,0,2020-08-22 03:05:25,2020
210,active,0,2020-08-22 01:57:37+00:00,272,True,13,False,True,272,0,6,True,0,2020-08-22 03:05:25,2020
211,active,0,2020-08-22 02:37:46+00:00,273,True,16,False,True,273,0,24,True,0,2020-08-22 03:05:25,2020
212,active,0,2020-08-22 02:55:13+00:00,279,True,3,False,True,279,0,16,True,0,2020-08-22 03:05:25,2020
213,active,0,2020-08-21 23:18:55+00:00,280,True,5,False,True,280,0,14,True,0,2020-08-22 03:05:25,2020
214,active,1,2020-08-22 02:14:47+00:00,282,True,0,False,True,282,0,14,True,0,2020-08-22 03:05:25,2020
215,active,1,2020-08-22 02:54:54+00:00,296,True,19,False,True,296,0,3,True,0,2020-08-22 03:05:25,2020
216,active,0,2020-08-22 02:55:12+00:00,318,True,17,False,True,318,0,2,True,0,2020-08-22 03:05:25,2020
217,active,0,2020-08-22 01:45:53+00:00,319,True,24,False,True,319,0,1,True,0,2020-08-22 03:05:25,2020
218,active,1,2020-08-22 01:04:44+00:00,327,True,11,False,True,327,0,3,True,0,2020-08-22 03:05:25,2020
219,active,0,2020-08-22 02:36:00+00:00,328,True,5,False,True,328,0,10,True,0,2020-08-22 03:05:25,2020
220,active,0,2020-08-22 02:36:18+00:00,329,True,6,False,True,329,0,9,True,0,2020-08-22 03:05:25,2020
221,active,0,2020-08-22 02:56:15+00:00,330,True,13,False,True,330,0,2,True,0,2020-08-22 03:05:25,2020
222,active,0,2020-08-22 03:05:06+00:00,331,True,4,False,True,331,0,11,True,0,2020-08-22 03:05:25,2020
223,active,0,2020-08-22 02:58:59+00:00,332,True,5,False,True,332,0,10,True,0,2020-08-22 03:05:25,2020
224,active,0,2020-08-22 01:50:05+00:00,333,True,2,False,True,333,0,23,True,0,2020-08-22 03:05:25,2020
225,active,0,2020-08-22 02:56:36+00:00,334,True,3,False,True,334,0,16,True,0,2020-08-22 03:05:25,2020
226,active,0,2020-08-22 02:56:47+00:00,335,True,15,False,True,335,0,4,True,0,2020-08-22 03:05:25,2020
227,active,0,2020-08-21 21:26:12+00:00,336,True,11,False,True,336,0,4,True,0,2020-08-22 03:05:25,2020
228,active,0,2020-08-22 00:22:27+00:00,337,True,0,False,True,337,0,15,True,0,2020-08-22 03:05:25,2020
229,active,0,2020-08-22 01:11:26+00:00,338,True,8,False,True,338,0,7,True,0,2020-08-22 03:05:25,2020
230,active,0,2020-08-21 23:28:46+00:00,339,True,0,False,True,339,0,15,True,0,2020-08-22 03:05:25,2020
231,active,0,2020-08-21 08:56:34+00:00,340,True,4,False,True,340,0,15,True,0,2020-08-22 03:05:25,2020
232,active,0,2020-08-22 01:31:25+00:00,341,True,1,True,True,341,0,14,True,0,2020-08-22 03:05:25,2020
233,active,1,2020-08-22 03:03:47+00:00,342,True,4,False,True,342,0,10,True,0,2020-08-22 03:05:25,2020
234,active,0,2020-08-21 08:51:37+00:00,343,True,12,False,True,343,0,3,True,0,2020-08-22 03:05:25,2020
235,active,0,2020-08-22 03:01:03+00:00,344,True,17,False,True,344,0,2,True,0,2020-08-22 03:05:25,2020
236,active,1,2020-08-22 02:52:31+00:00,345,True,8,False,True,345,0,10,True,0,2020-08-22 03:05:25,2020
237,active,0,2020-08-22 02:10:55+00:00,346,True,15,False,True,346,0,0,True,0,2020-08-22 03:05:25,2020
238,active,0,2020-08-21 18:50:00+00:00,347,True,1,False,True,347,0,14,True,0,2020-08-22 03:05:25,2020
239,active,0,2020-08-22 02:01:45+00:00,348,True,8,False,True,348,0,7,True,0,2020-08-22 03:05:25,2020
240,active,0,2020-08-22 00:40:33+00:00,349,True,12,False,True,349,0,5,True,0,2020-08-22 03:05:25,2020
241,active,0,2020-08-22 00:24:03+00:00,350,True,5,False,True,350,0,12,True,0,2020-08-22 03:05:25,2020
242,active,0,2020-08-22 02:17:39+00:00,351,True,1,False,True,351,0,14,True,0,2020-08-22 03:05:25,2020
243,active,0,2020-08-22 01:57:30+00:00,352,True,2,False,True,352,0,13,True,0,2020-08-22 03:05:25,2020
