,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,valet,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
255,True,active,True,False,0,6,,364,True,12,364,0,2020-08-03 02:16:40+00:00,1,,2020-08-03 02:17:40,2020
256,True,active,True,False,0,0,,365,True,18,365,0,2020-08-03 01:37:14+00:00,1,,2020-08-03 02:17:40,2020
257,True,active,True,False,0,7,,366,True,8,366,0,2020-08-03 02:13:15+00:00,0,,2020-08-03 02:17:40,2020
258,True,active,True,False,0,14,,367,True,5,367,0,2020-08-03 00:57:33+00:00,0,,2020-08-03 02:17:40,2020
259,True,active,True,False,0,1,,368,True,13,368,0,2020-08-02 21:15:25+00:00,1,,2020-08-03 02:17:40,2020
260,True,active,True,False,0,12,,369,True,3,369,0,2020-08-03 02:10:33+00:00,0,,2020-08-03 02:17:40,2020
261,True,active,True,False,0,10,,370,True,9,370,0,2020-08-03 01:43:50+00:00,0,,2020-08-03 02:17:40,2020
262,True,active,True,False,0,8,,371,True,11,371,0,2020-08-02 20:04:40+00:00,0,,2020-08-03 02:17:40,2020
263,True,active,True,False,0,7,,372,True,12,372,0,2020-08-03 02:03:23+00:00,0,,2020-08-03 02:17:40,2020
264,True,active,True,False,0,12,,373,True,3,373,0,2020-08-02 17:34:03+00:00,0,,2020-08-03 02:17:40,2020
265,True,active,True,False,0,2,,374,True,17,374,0,2020-08-03 01:34:18+00:00,0,,2020-08-03 02:17:40,2020
266,True,active,True,False,0,11,,376,True,4,376,0,2020-08-03 01:49:09+00:00,0,,2020-08-03 02:17:40,2020
267,True,active,True,False,0,8,,377,True,11,377,0,2020-08-02 22:51:31+00:00,0,,2020-08-03 02:17:40,2020
268,True,active,True,False,0,16,,378,True,3,378,0,2020-08-03 02:15:50+00:00,0,,2020-08-03 02:17:40,2020
269,True,active,True,False,0,4,,379,True,11,379,0,2020-08-03 00:56:08+00:00,0,,2020-08-03 02:17:40,2020
270,True,active,True,False,0,0,,380,True,18,380,0,2020-08-03 01:51:29+00:00,0,,2020-08-03 02:17:40,2020
271,True,active,True,False,0,11,,381,True,8,381,0,2020-08-03 01:23:30+00:00,0,,2020-08-03 02:17:40,2020
272,True,active,True,True,0,1,,384,True,18,384,0,2020-08-03 01:49:01+00:00,0,,2020-08-03 02:17:40,2020
273,True,active,True,False,0,3,,385,True,11,385,1,2020-08-03 01:24:29+00:00,0,,2020-08-03 02:17:40,2020
274,True,active,True,False,0,5,,386,True,13,386,0,2020-08-03 01:01:51+00:00,1,,2020-08-03 02:17:40,2020
275,True,active,True,False,0,8,,387,True,7,387,0,2020-08-02 20:25:45+00:00,0,,2020-08-03 02:17:40,2020
276,True,active,True,False,0,9,,388,True,2,388,0,2020-08-02 18:06:47+00:00,0,,2020-08-03 02:17:40,2020
277,True,active,True,False,0,14,,389,True,0,389,0,2020-08-02 14:02:55+00:00,0,,2020-08-03 02:17:40,2020
278,True,active,True,False,0,10,,390,True,5,390,0,2020-08-02 21:00:29+00:00,0,,2020-08-03 02:17:40,2020
279,True,active,True,False,0,13,,391,True,1,391,0,2020-08-03 01:02:47+00:00,1,,2020-08-03 02:17:40,2020
280,True,active,True,False,0,11,,392,True,4,392,0,2020-08-02 19:03:26+00:00,0,,2020-08-03 02:17:40,2020
281,True,active,True,False,0,6,,393,True,7,393,0,2020-08-02 22:10:08+00:00,2,,2020-08-03 02:17:40,2020
282,True,active,True,False,0,0,,394,True,14,394,0,2020-08-02 08:58:28+00:00,0,,2020-08-03 02:17:40,2020
283,True,active,True,False,0,11,,395,True,4,395,0,2020-08-03 00:10:03+00:00,0,,2020-08-03 02:17:40,2020
