,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
121,13,0,6,0,True,False,136,True,active,2020-07-30 22:10:06+00:00,0,136,True,,,2020-07-30 23:33:20,2020
122,13,0,2,0,True,False,137,True,active,2020-07-30 23:16:12+00:00,0,137,True,,,2020-07-30 23:33:20,2020
123,6,0,9,0,True,False,138,True,active,2020-07-30 21:46:32+00:00,0,138,True,,,2020-07-30 23:33:20,2020
124,13,0,6,0,True,False,139,True,active,2020-07-30 23:30:23+00:00,0,139,True,,,2020-07-30 23:33:20,2020
125,12,0,5,0,True,False,140,True,active,2020-07-30 23:32:38+00:00,0,140,True,,,2020-07-30 23:33:20,2020
126,8,0,6,0,True,False,141,True,active,2020-07-30 23:30:43+00:00,1,141,True,,,2020-07-30 23:33:20,2020
127,16,0,6,0,True,False,142,True,active,2020-07-30 23:21:32+00:00,1,142,True,,,2020-07-30 23:33:20,2020
128,5,0,18,0,True,False,143,True,active,2020-07-30 23:25:05+00:00,0,143,True,,,2020-07-30 23:33:20,2020
129,5,0,14,0,True,False,144,True,active,2020-07-30 23:01:48+00:00,0,144,True,,,2020-07-30 23:33:20,2020
130,8,0,11,0,True,False,145,True,active,2020-07-30 23:00:50+00:00,0,145,True,,,2020-07-30 23:33:20,2020
131,8,0,11,0,True,False,146,True,active,2020-07-30 23:30:11+00:00,0,146,True,,,2020-07-30 23:33:20,2020
132,11,0,7,0,True,True,149,True,active,2020-07-30 23:30:01+00:00,0,149,True,,,2020-07-30 23:33:20,2020
133,10,0,8,0,True,False,150,True,active,2020-07-30 22:37:38+00:00,1,150,True,,,2020-07-30 23:33:20,2020
134,0,0,18,0,True,False,151,True,active,2020-07-30 23:19:31+00:00,1,151,True,,,2020-07-30 23:33:20,2020
135,15,0,0,0,True,True,152,True,active,2020-07-30 23:10:05+00:00,0,152,True,,,2020-07-30 23:33:20,2020
136,3,0,12,0,True,False,156,True,active,2020-07-30 22:51:40+00:00,0,156,True,,,2020-07-30 23:33:20,2020
137,14,0,0,0,True,False,157,True,active,2020-07-30 23:30:05+00:00,1,157,True,,,2020-07-30 23:33:20,2020
138,5,0,9,0,True,False,159,True,active,2020-07-30 23:13:56+00:00,1,159,True,,,2020-07-30 23:33:20,2020
139,0,0,14,0,True,True,160,True,active,2020-07-30 23:30:17+00:00,0,160,True,,,2020-07-30 23:33:20,2020
140,19,0,4,0,True,True,161,True,active,2020-07-30 23:28:54+00:00,0,161,True,,,2020-07-30 23:33:20,2020
141,5,0,10,0,True,False,162,True,active,2020-07-30 23:04:55+00:00,0,162,True,,,2020-07-30 23:33:20,2020
142,1,0,18,0,True,True,163,True,active,2020-07-30 23:16:01+00:00,0,163,True,,,2020-07-30 23:33:20,2020
143,10,0,4,0,True,False,167,True,active,2020-07-30 23:05:05+00:00,1,167,True,,,2020-07-30 23:33:20,2020
144,6,0,13,0,True,False,169,True,active,2020-07-30 23:21:48+00:00,0,169,True,,,2020-07-30 23:33:20,2020
145,2,0,12,0,True,True,170,True,active,2020-07-30 22:50:09+00:00,0,170,True,,,2020-07-30 23:33:20,2020
146,7,0,15,0,True,True,171,True,active,2020-07-30 22:34:09+00:00,1,171,True,,,2020-07-30 23:33:20,2020
147,2,0,10,0,True,True,173,True,active,2020-07-30 22:47:46+00:00,2,173,True,,,2020-07-30 23:33:20,2020
148,11,0,4,0,True,False,174,True,active,2020-07-30 23:17:33+00:00,0,174,True,,,2020-07-30 23:33:20,2020
149,8,0,9,0,True,True,175,True,active,2020-07-30 23:18:20+00:00,0,175,True,,,2020-07-30 23:33:20,2020
150,8,0,7,0,True,False,176,True,active,2020-07-30 21:55:52+00:00,0,176,True,,,2020-07-30 23:33:20,2020
151,9,0,10,0,True,False,177,True,active,2020-07-30 23:33:02+00:00,0,177,True,,,2020-07-30 23:33:20,2020
152,13,0,6,0,True,False,178,True,active,2020-07-30 23:31:20+00:00,0,178,True,,,2020-07-30 23:33:20,2020
153,12,0,13,0,True,False,179,True,active,2020-07-30 23:25:23+00:00,0,179,True,,,2020-07-30 23:33:20,2020
154,11,0,8,0,True,False,180,True,active,2020-07-30 23:14:27+00:00,0,180,True,,,2020-07-30 23:33:20,2020
155,0,0,18,0,True,False,181,True,active,2020-07-30 22:10:52+00:00,1,181,True,,,2020-07-30 23:33:20,2020
156,10,0,8,0,True,True,182,True,active,2020-07-30 22:15:54+00:00,1,182,True,,,2020-07-30 23:33:20,2020
157,5,0,14,0,True,False,183,True,active,2020-07-30 23:23:14+00:00,0,183,True,,,2020-07-30 23:33:20,2020
158,11,0,8,0,True,False,184,True,active,2020-07-30 23:26:30+00:00,0,184,True,,,2020-07-30 23:33:20,2020
159,2,0,13,0,True,False,185,True,active,2020-07-30 23:31:32+00:00,0,185,True,,,2020-07-30 23:33:20,2020
160,9,0,6,0,True,True,186,True,active,2020-07-30 23:29:47+00:00,0,186,True,,,2020-07-30 23:33:20,2020
161,8,0,7,0,True,False,187,True,active,2020-07-30 23:28:53+00:00,0,187,True,,,2020-07-30 23:33:20,2020
162,10,0,4,0,True,False,188,True,active,2020-07-30 22:44:20+00:00,1,188,True,,,2020-07-30 23:33:20,2020
163,3,0,20,0,True,True,189,True,active,2020-07-30 23:28:55+00:00,0,189,True,,,2020-07-30 23:33:20,2020
164,17,0,18,0,True,True,190,True,active,2020-07-30 23:28:54+00:00,2,190,True,,,2020-07-30 23:33:20,2020
165,2,0,13,0,True,False,191,True,active,2020-07-30 23:22:30+00:00,0,191,True,,,2020-07-30 23:33:20,2020
166,3,0,15,0,True,False,192,True,active,2020-07-30 23:23:07+00:00,1,192,True,,,2020-07-30 23:33:20,2020
167,15,0,0,0,True,True,193,True,active,2020-07-30 23:24:18+00:00,0,193,True,,,2020-07-30 23:33:20,2020
168,14,0,5,0,True,False,194,True,active,2020-07-30 19:52:22+00:00,0,194,True,,,2020-07-30 23:33:20,2020
169,22,0,1,0,True,False,195,True,active,2020-07-30 23:22:57+00:00,0,195,True,,,2020-07-30 23:33:20,2020
170,0,0,9,0,True,True,196,True,active,2020-07-30 23:21:33+00:00,1,196,True,,,2020-07-30 23:33:20,2020
171,2,0,13,0,True,False,197,True,active,2020-07-30 22:08:38+00:00,0,197,True,,,2020-07-30 23:33:20,2020
172,8,0,7,0,True,False,199,True,active,2020-07-30 23:14:05+00:00,0,199,True,,,2020-07-30 23:33:20,2020
173,7,0,12,0,True,False,200,True,active,2020-07-30 23:21:27+00:00,0,200,True,,,2020-07-30 23:33:20,2020
174,0,0,15,0,True,False,201,True,active,2020-07-30 20:54:16+00:00,0,201,True,,,2020-07-30 23:33:20,2020
