,is_installed,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,is_returning,station_status,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
199,True,232,232,0,False,True,active,0,10,0,2020-08-05 08:41:18+00:00,1,True,,,2020-08-05 22:50:50,2020
200,True,233,233,0,False,True,active,0,12,0,2020-08-05 22:26:55+00:00,3,True,,,2020-08-05 22:50:50,2020
201,True,234,234,0,False,True,active,0,12,0,2020-08-05 22:41:40+00:00,3,True,,,2020-08-05 22:50:50,2020
202,True,235,235,1,False,True,active,0,12,0,2020-08-05 22:24:48+00:00,2,True,,,2020-08-05 22:50:50,2020
203,True,236,236,0,False,True,active,0,1,0,2020-08-05 22:31:49+00:00,14,True,,,2020-08-05 22:50:50,2020
204,True,239,239,0,False,True,active,0,1,0,2020-08-05 22:49:25+00:00,14,True,,,2020-08-05 22:50:50,2020
205,True,255,255,0,False,True,active,0,3,0,2020-08-05 21:50:23+00:00,12,True,,,2020-08-05 22:50:50,2020
206,True,258,258,0,False,True,active,0,7,0,2020-08-05 22:06:52+00:00,8,True,,,2020-08-05 22:50:50,2020
207,True,259,259,0,False,True,active,0,15,0,2020-08-04 09:01:37+00:00,0,True,,,2020-08-05 22:50:50,2020
208,True,260,260,0,False,True,active,0,9,0,2020-08-05 22:23:59+00:00,6,True,,,2020-08-05 22:50:50,2020
209,True,271,271,0,False,True,active,0,7,0,2020-08-05 22:06:06+00:00,8,True,,,2020-08-05 22:50:50,2020
210,True,272,272,0,False,True,active,0,13,0,2020-08-05 19:11:19+00:00,6,True,,,2020-08-05 22:50:50,2020
211,True,273,273,1,False,True,active,0,21,0,2020-08-05 22:38:54+00:00,18,True,,,2020-08-05 22:50:50,2020
212,True,279,279,0,False,True,active,0,13,0,2020-08-05 22:48:34+00:00,6,True,,,2020-08-05 22:50:50,2020
213,True,280,280,0,False,True,active,0,18,0,2020-08-05 22:44:39+00:00,1,True,,,2020-08-05 22:50:50,2020
214,True,282,282,1,False,True,active,0,1,0,2020-08-05 22:35:08+00:00,13,True,,,2020-08-05 22:50:50,2020
215,True,296,296,1,False,True,active,0,16,0,2020-08-05 22:45:55+00:00,6,True,,,2020-08-05 22:50:50,2020
216,True,318,318,0,False,True,active,0,11,0,2020-08-05 22:28:47+00:00,8,True,,,2020-08-05 22:50:50,2020
