,is_renting,is_returning,num_docks_disabled,is_installed,num_bikes_available,last_reported,station_status,num_ebikes_available,legacy_id,num_bikes_disabled,eightd_has_available_keys,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
266,True,True,0,True,1,2020-08-07 23:06:30+00:00,active,0,376,1,False,13,376,,,2020-08-08 00:25:35,2020
267,True,True,0,True,15,2020-08-08 00:09:18+00:00,active,0,377,0,False,4,377,,,2020-08-08 00:25:35,2020
268,True,True,0,True,4,2020-08-08 00:17:14+00:00,active,0,378,0,False,15,378,,,2020-08-08 00:25:35,2020
269,True,True,0,True,12,2020-08-08 00:19:28+00:00,active,0,379,0,False,3,379,,,2020-08-08 00:25:35,2020
270,True,True,0,True,2,2020-08-08 00:15:50+00:00,active,0,380,0,False,16,380,,,2020-08-08 00:25:35,2020
271,True,True,0,True,8,2020-08-08 00:18:08+00:00,active,0,381,1,False,10,381,,,2020-08-08 00:25:35,2020
272,True,True,0,True,10,2020-08-07 23:44:56+00:00,active,0,384,1,True,8,384,,,2020-08-08 00:25:35,2020
273,True,True,1,True,3,2020-08-08 00:12:22+00:00,active,0,385,0,False,11,385,,,2020-08-08 00:25:35,2020
274,True,True,0,True,2,2020-08-08 00:22:46+00:00,active,0,386,0,False,17,386,,,2020-08-08 00:25:35,2020
275,True,True,0,True,9,2020-08-08 00:15:03+00:00,active,0,387,0,False,6,387,,,2020-08-08 00:25:35,2020
276,True,True,0,True,10,2020-08-07 23:29:39+00:00,active,0,388,0,False,1,388,,,2020-08-08 00:25:35,2020
277,True,True,0,True,12,2020-08-07 13:20:40+00:00,active,0,389,1,False,1,389,,,2020-08-08 00:25:35,2020
278,True,True,0,True,15,2020-08-07 20:34:48+00:00,active,0,390,0,False,0,390,,,2020-08-08 00:25:35,2020
279,True,True,0,True,12,2020-08-07 23:54:18+00:00,active,0,391,0,False,3,391,,,2020-08-08 00:25:35,2020
280,True,True,0,True,8,2020-08-07 19:49:26+00:00,active,0,392,0,False,7,392,,,2020-08-08 00:25:35,2020
281,True,True,0,True,5,2020-08-07 16:15:11+00:00,active,0,393,0,False,10,393,,,2020-08-08 00:25:35,2020
282,True,True,0,True,1,2020-08-07 08:58:01+00:00,active,0,394,0,False,13,394,,,2020-08-08 00:25:35,2020
283,True,True,0,True,9,2020-08-07 23:44:21+00:00,active,0,395,0,False,6,395,,,2020-08-08 00:25:35,2020
284,True,True,0,True,14,2020-08-07 08:58:33+00:00,active,0,396,0,False,1,396,,,2020-08-08 00:25:35,2020
285,True,True,0,True,13,2020-08-07 23:29:39+00:00,active,0,397,0,False,2,397,,,2020-08-08 00:25:35,2020
286,True,True,0,True,8,2020-08-08 00:18:59+00:00,active,0,398,0,False,11,398,,,2020-08-08 00:25:35,2020
287,True,True,0,True,4,2020-08-07 23:35:57+00:00,active,0,399,0,False,11,399,,,2020-08-08 00:25:35,2020
288,True,True,0,True,13,2020-08-08 00:11:38+00:00,active,0,400,0,False,14,400,,,2020-08-08 00:25:35,2020
289,True,True,0,True,12,2020-08-07 23:57:53+00:00,active,0,401,0,False,3,401,,,2020-08-08 00:25:35,2020
290,True,True,0,True,0,2020-08-07 23:18:07+00:00,active,0,402,0,False,15,402,,,2020-08-08 00:25:35,2020
291,True,True,0,True,6,2020-08-08 00:18:05+00:00,active,0,403,1,False,8,403,,,2020-08-08 00:25:35,2020
292,True,True,0,True,5,2020-08-08 00:03:57+00:00,active,0,404,0,False,11,404,,,2020-08-08 00:25:35,2020
293,True,True,0,True,13,2020-08-07 23:32:35+00:00,active,0,405,1,False,5,405,,,2020-08-08 00:25:35,2020
294,True,True,0,True,12,2020-08-07 23:58:05+00:00,active,0,406,0,False,7,406,,,2020-08-08 00:25:35,2020
295,True,True,0,True,8,2020-08-07 22:24:35+00:00,active,0,407,0,False,11,407,,,2020-08-08 00:25:35,2020
296,True,True,0,True,8,2020-08-07 23:36:26+00:00,active,0,408,0,False,7,408,,,2020-08-08 00:25:35,2020
297,True,True,0,True,2,2020-08-08 00:15:39+00:00,active,0,409,0,False,17,409,,,2020-08-08 00:25:35,2020
298,True,True,0,True,12,2020-08-08 00:00:49+00:00,active,0,410,0,False,7,410,,,2020-08-08 00:25:35,2020
299,True,True,0,True,6,2020-08-07 16:41:16+00:00,active,0,411,0,False,9,411,,,2020-08-08 00:25:35,2020
300,True,True,0,True,18,2020-08-08 00:19:55+00:00,active,0,412,1,False,0,412,,,2020-08-08 00:25:35,2020
301,True,True,0,True,15,2020-08-08 00:16:37+00:00,active,0,413,0,False,4,413,,,2020-08-08 00:25:35,2020
302,True,True,0,True,3,2020-08-07 23:53:14+00:00,active,0,414,0,False,20,414,,,2020-08-08 00:25:35,2020
303,True,True,0,True,6,2020-08-08 00:15:49+00:00,active,0,415,0,False,13,415,,,2020-08-08 00:25:35,2020
304,True,True,0,True,2,2020-08-08 00:20:54+00:00,active,0,416,1,False,12,416,,,2020-08-08 00:25:35,2020
305,True,True,0,True,3,2020-08-08 00:14:02+00:00,active,0,417,0,False,16,417,,,2020-08-08 00:25:35,2020
306,True,True,0,True,5,2020-08-07 22:21:49+00:00,active,0,419,0,False,10,419,,,2020-08-08 00:25:35,2020
307,False,False,0,False,0,1970-01-02 00:00:00+00:00,out_of_service,0,420,0,False,0,420,,,2020-08-08 00:25:35,1970
308,True,True,0,True,15,2020-08-07 20:19:27+00:00,active,0,421,0,False,4,421,,,2020-08-08 00:25:35,2020
309,True,True,0,True,8,2020-08-07 08:58:43+00:00,active,0,422,0,False,7,422,,,2020-08-08 00:25:35,2020
310,True,True,0,True,5,2020-08-07 21:48:36+00:00,active,0,423,0,False,14,423,,,2020-08-08 00:25:35,2020
311,True,True,0,True,5,2020-08-07 23:41:09+00:00,active,0,424,0,False,14,424,,,2020-08-08 00:25:35,2020
312,True,True,0,True,12,2020-08-07 17:40:10+00:00,active,0,425,0,False,4,425,,,2020-08-08 00:25:35,2020
313,True,True,0,True,10,2020-08-08 00:25:23+00:00,active,0,426,1,False,16,426,,,2020-08-08 00:25:35,2020
314,True,True,0,True,1,2020-08-08 00:10:33+00:00,active,0,427,0,False,18,427,,,2020-08-08 00:25:35,2020
315,True,True,0,True,4,2020-08-08 00:19:16+00:00,active,0,428,0,False,15,428,,,2020-08-08 00:25:35,2020
316,True,True,0,True,15,2020-08-07 17:50:01+00:00,active,0,430,0,False,4,430,,,2020-08-08 00:25:35,2020
317,True,True,0,True,3,2020-08-07 22:09:44+00:00,active,0,431,0,False,12,431,,,2020-08-08 00:25:35,2020
318,True,True,0,True,10,2020-08-07 22:18:47+00:00,active,0,432,0,False,9,432,,,2020-08-08 00:25:35,2020
319,True,True,0,True,3,2020-08-07 23:41:02+00:00,active,0,433,0,False,16,433,,,2020-08-08 00:25:35,2020
320,True,True,0,True,0,2020-08-07 16:24:16+00:00,active,0,434,0,False,19,434,,,2020-08-08 00:25:35,2020
321,True,True,0,True,9,2020-08-07 23:31:05+00:00,active,0,435,0,False,6,435,,,2020-08-08 00:25:35,2020
322,True,True,0,True,3,2020-08-08 00:03:10+00:00,active,0,436,0,False,12,436,,,2020-08-08 00:25:35,2020
323,True,True,0,True,13,2020-08-08 00:14:39+00:00,active,0,437,0,False,6,437,,,2020-08-08 00:25:35,2020
324,True,True,0,True,6,2020-08-08 00:22:21+00:00,active,0,440,0,False,11,440,,,2020-08-08 00:25:35,2020
