,num_bikes_available,eightd_has_available_keys,is_installed,is_returning,station_id,legacy_id,num_bikes_disabled,station_status,last_reported,is_renting,num_docks_available,num_docks_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
166,0,False,True,True,192,192,0,active,2020-08-18 23:56:26+00:00,True,19,0,0,2020-08-19 01:52:50,2020
167,1,True,True,True,193,193,0,active,2020-08-19 01:39:06+00:00,True,14,0,0,2020-08-19 01:52:50,2020
168,1,False,True,True,194,194,3,active,2020-08-19 00:17:32+00:00,True,15,0,0,2020-08-19 01:52:50,2020
169,10,False,True,True,195,195,1,active,2020-08-19 00:56:22+00:00,True,12,0,0,2020-08-19 01:52:50,2020
170,0,False,True,True,196,196,0,active,2020-08-19 01:13:46+00:00,True,10,0,0,2020-08-19 01:52:50,2020
171,7,False,True,True,197,197,1,active,2020-08-19 01:03:45+00:00,True,7,0,0,2020-08-19 01:52:50,2020
172,11,False,True,True,199,199,0,active,2020-08-19 01:27:28+00:00,True,4,0,0,2020-08-19 01:52:50,2020
173,18,False,True,True,200,200,0,active,2020-08-19 01:38:18+00:00,True,1,0,0,2020-08-19 01:52:50,2020
174,2,False,True,True,201,201,0,active,2020-08-19 00:54:48+00:00,True,13,0,0,2020-08-19 01:52:50,2020
175,2,False,True,True,202,202,0,active,2020-08-18 23:32:32+00:00,True,13,0,0,2020-08-19 01:52:50,2020
176,6,False,True,True,203,203,1,active,2020-08-18 22:44:51+00:00,True,8,0,0,2020-08-19 01:52:50,2020
177,1,False,True,True,204,204,0,active,2020-08-19 00:14:31+00:00,True,14,0,0,2020-08-19 01:52:50,2020
178,4,False,True,True,205,205,0,active,2020-08-18 23:29:38+00:00,True,11,0,0,2020-08-19 01:52:50,2020
179,4,True,True,True,206,206,1,active,2020-08-19 01:32:46+00:00,True,18,0,0,2020-08-19 01:52:50,2020
180,11,True,True,True,208,208,0,active,2020-08-19 01:51:54+00:00,True,4,0,0,2020-08-19 01:52:50,2020
181,12,False,True,True,209,209,1,active,2020-08-19 00:47:19+00:00,True,2,0,0,2020-08-19 01:52:50,2020
182,5,False,True,True,210,210,1,active,2020-08-19 00:52:30+00:00,True,9,0,0,2020-08-19 01:52:50,2020
183,4,False,True,True,211,211,0,active,2020-08-19 01:25:35+00:00,True,15,0,0,2020-08-19 01:52:50,2020
184,6,False,True,True,212,212,0,active,2020-08-19 01:42:41+00:00,True,27,0,0,2020-08-19 01:52:50,2020
185,0,True,True,True,213,213,0,active,2020-08-18 21:21:10+00:00,True,16,0,0,2020-08-19 01:52:50,2020
186,8,False,True,True,214,214,0,active,2020-08-19 00:46:32+00:00,True,7,0,0,2020-08-19 01:52:50,2020
187,11,False,True,True,215,215,2,active,2020-08-19 01:41:20+00:00,True,2,0,0,2020-08-19 01:52:50,2020
188,19,False,True,True,216,216,0,active,2020-08-18 23:12:50+00:00,True,0,0,0,2020-08-19 01:52:50,2020
189,7,False,True,True,217,217,1,active,2020-08-19 00:31:37+00:00,True,11,0,0,2020-08-19 01:52:50,2020
190,7,False,True,True,218,218,3,active,2020-08-19 01:45:28+00:00,True,5,0,0,2020-08-19 01:52:50,2020
191,2,False,True,True,219,219,0,active,2020-08-18 21:48:43+00:00,True,13,0,0,2020-08-19 01:52:50,2020
192,12,False,True,True,221,221,1,active,2020-08-19 00:53:43+00:00,True,6,0,0,2020-08-19 01:52:50,2020
193,2,True,True,True,222,222,0,active,2020-08-19 01:07:04+00:00,True,12,0,0,2020-08-19 01:52:50,2020
194,12,False,True,True,224,224,1,active,2020-08-18 23:06:42+00:00,True,4,0,0,2020-08-19 01:52:50,2020
195,10,False,True,True,225,225,1,active,2020-08-19 01:46:53+00:00,True,8,0,0,2020-08-19 01:52:50,2020
196,3,False,True,True,226,226,1,active,2020-08-19 01:51:25+00:00,True,11,0,0,2020-08-19 01:52:50,2020
197,6,False,True,True,227,227,0,active,2020-08-19 01:52:03+00:00,True,13,0,0,2020-08-19 01:52:50,2020
198,3,False,True,True,228,228,0,active,2020-08-19 00:26:03+00:00,True,16,0,0,2020-08-19 01:52:50,2020
199,2,False,True,True,232,232,0,active,2020-08-18 23:08:38+00:00,True,9,0,0,2020-08-19 01:52:50,2020
200,2,False,True,True,233,233,0,active,2020-08-19 01:42:17+00:00,True,13,0,0,2020-08-19 01:52:50,2020
201,6,False,True,True,234,234,0,active,2020-08-19 01:25:14+00:00,True,9,0,0,2020-08-19 01:52:50,2020
202,2,False,True,True,235,235,0,active,2020-08-19 00:23:46+00:00,True,13,0,0,2020-08-19 01:52:50,2020
203,9,False,True,True,236,236,0,active,2020-08-19 01:37:06+00:00,True,6,0,0,2020-08-19 01:52:50,2020
204,9,False,True,True,239,239,0,active,2020-08-19 01:21:05+00:00,True,6,0,0,2020-08-19 01:52:50,2020
205,7,False,True,True,255,255,1,active,2020-08-19 01:04:24+00:00,True,7,0,0,2020-08-19 01:52:50,2020
206,8,False,True,True,258,258,0,active,2020-08-19 00:03:23+00:00,True,7,0,0,2020-08-19 01:52:50,2020
207,10,False,True,True,259,259,0,active,2020-08-18 17:28:18+00:00,True,5,0,0,2020-08-19 01:52:50,2020
208,3,False,True,True,260,260,0,active,2020-08-19 01:32:08+00:00,True,12,0,0,2020-08-19 01:52:50,2020
209,14,False,True,True,271,271,0,active,2020-08-19 01:32:58+00:00,True,1,0,0,2020-08-19 01:52:50,2020
210,12,False,True,True,272,272,0,active,2020-08-18 21:45:45+00:00,True,7,0,0,2020-08-19 01:52:50,2020
211,27,False,True,True,273,273,0,active,2020-08-19 01:17:57+00:00,True,13,0,0,2020-08-19 01:52:50,2020
212,16,False,True,True,279,279,0,active,2020-08-19 01:47:51+00:00,True,3,0,0,2020-08-19 01:52:50,2020
213,14,False,True,True,280,280,0,active,2020-08-18 22:54:33+00:00,True,5,0,0,2020-08-19 01:52:50,2020
214,15,False,True,True,282,282,0,active,2020-08-19 01:12:51+00:00,True,0,0,0,2020-08-19 01:52:50,2020
215,22,False,True,True,296,296,1,active,2020-08-19 01:07:04+00:00,True,0,0,0,2020-08-19 01:52:50,2020
216,1,False,True,True,318,318,0,active,2020-08-19 01:42:14+00:00,True,18,0,0,2020-08-19 01:52:50,2020
217,9,False,True,True,319,319,0,active,2020-08-19 00:36:44+00:00,True,16,0,0,2020-08-19 01:52:50,2020
218,1,False,True,True,327,327,0,active,2020-08-18 23:52:25+00:00,True,14,0,0,2020-08-19 01:52:50,2020
219,5,False,True,True,328,328,0,active,2020-08-19 01:27:04+00:00,True,10,0,0,2020-08-19 01:52:50,2020
220,8,False,True,True,329,329,1,active,2020-08-19 01:37:07+00:00,True,6,0,0,2020-08-19 01:52:50,2020
221,1,False,True,True,330,330,0,active,2020-08-18 23:25:25+00:00,True,14,0,0,2020-08-19 01:52:50,2020
222,9,False,True,True,331,331,0,active,2020-08-19 01:48:07+00:00,True,6,0,0,2020-08-19 01:52:50,2020
223,10,False,True,True,332,332,1,active,2020-08-19 01:41:10+00:00,True,4,0,0,2020-08-19 01:52:50,2020
224,24,False,True,True,333,333,0,active,2020-08-19 00:49:02+00:00,True,1,0,0,2020-08-19 01:52:50,2020
225,17,False,True,True,334,334,0,active,2020-08-19 00:22:58+00:00,True,2,0,0,2020-08-19 01:52:50,2020
226,1,False,True,True,335,335,0,active,2020-08-19 01:44:13+00:00,True,18,0,0,2020-08-19 01:52:50,2020
