,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
207,0,True,True,15,259,0,True,active,0,2020-07-31 08:31:40+00:00,0,259,False,,,2020-07-31 09:25:10,2020
208,0,True,True,11,260,0,True,active,4,2020-07-31 08:36:20+00:00,0,260,False,,,2020-07-31 09:25:10,2020
209,0,True,True,14,271,0,True,active,1,2020-07-31 08:51:06+00:00,0,271,False,,,2020-07-31 09:25:10,2020
210,2,True,True,11,272,0,True,active,6,2020-07-31 08:51:34+00:00,0,272,False,,,2020-07-31 09:25:10,2020
211,0,True,True,12,273,0,True,active,28,2020-07-31 08:56:14+00:00,0,273,False,,,2020-07-31 09:25:10,2020
212,0,True,True,12,279,0,True,active,7,2020-07-31 08:42:26+00:00,0,279,False,,,2020-07-31 09:25:10,2020
213,1,True,True,6,280,0,True,active,12,2020-07-31 08:41:41+00:00,0,280,False,,,2020-07-31 09:25:10,2020
214,2,True,True,1,282,0,True,active,12,2020-07-31 09:16:31+00:00,0,282,False,,,2020-07-31 09:25:10,2020
215,1,True,True,5,296,0,True,active,17,2020-07-31 09:20:18+00:00,0,296,False,,,2020-07-31 09:25:10,2020
216,0,True,True,18,318,0,True,active,1,2020-07-31 08:41:48+00:00,0,318,False,,,2020-07-31 09:25:10,2020
