,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
126,True,0,active,False,5,141,2020-08-18 22:48:35+00:00,141,10,True,True,0,0,2020-08-18 22:49:10,2020
127,True,0,active,False,5,142,2020-08-18 22:23:24+00:00,142,18,True,True,0,0,2020-08-18 22:49:10,2020
128,True,0,active,False,16,143,2020-08-18 22:47:26+00:00,143,6,True,True,0,1,2020-08-18 22:49:10,2020
129,True,0,active,False,2,144,2020-08-18 21:26:41+00:00,144,17,True,True,0,0,2020-08-18 22:49:10,2020
130,True,0,active,False,6,145,2020-08-18 22:03:50+00:00,145,12,True,True,0,1,2020-08-18 22:49:10,2020
131,True,0,active,False,9,146,2020-08-18 22:46:58+00:00,146,8,True,True,0,2,2020-08-18 22:49:10,2020
132,True,0,active,True,1,149,2020-08-18 22:40:45+00:00,149,16,True,True,0,1,2020-08-18 22:49:10,2020
133,True,0,active,False,8,150,2020-08-18 22:40:52+00:00,150,10,True,True,0,1,2020-08-18 22:49:10,2020
134,True,0,active,False,1,151,2020-08-18 22:27:12+00:00,151,18,True,True,0,0,2020-08-18 22:49:10,2020
135,True,0,active,True,3,152,2020-08-18 22:41:24+00:00,152,12,True,True,0,0,2020-08-18 22:49:10,2020
136,True,0,active,False,10,156,2020-08-18 22:07:02+00:00,156,4,True,True,0,1,2020-08-18 22:49:10,2020
137,True,0,active,False,6,157,2020-08-18 22:46:31+00:00,157,7,True,True,0,2,2020-08-18 22:49:10,2020
138,True,0,active,False,14,159,2020-08-18 22:33:44+00:00,159,1,True,True,0,0,2020-08-18 22:49:10,2020
139,True,0,active,True,8,160,2020-08-18 22:28:40+00:00,160,6,True,True,0,0,2020-08-18 22:49:10,2020
140,True,0,active,True,9,161,2020-08-18 22:37:48+00:00,161,13,True,True,0,1,2020-08-18 22:49:10,2020
141,True,0,active,False,8,162,2020-08-18 22:47:09+00:00,162,7,True,True,0,0,2020-08-18 22:49:10,2020
142,True,0,active,True,18,163,2020-08-18 22:22:44+00:00,163,1,True,True,0,0,2020-08-18 22:49:10,2020
143,True,0,active,False,11,167,2020-08-18 22:20:13+00:00,167,4,True,True,0,0,2020-08-18 22:49:10,2020
144,True,0,active,False,19,169,2020-08-18 22:44:19+00:00,169,0,True,True,0,0,2020-08-18 22:49:10,2020
145,True,0,active,True,14,170,2020-08-18 22:24:55+00:00,170,0,True,True,0,0,2020-08-18 22:49:10,2020
146,True,0,active,True,20,171,2020-08-18 21:29:39+00:00,171,3,True,True,0,0,2020-08-18 22:49:10,2020
147,True,0,active,True,4,173,2020-08-18 22:44:41+00:00,173,10,True,True,0,0,2020-08-18 22:49:10,2020
148,True,0,active,False,12,174,2020-08-18 22:15:17+00:00,174,3,True,True,0,0,2020-08-18 22:49:10,2020
149,True,0,active,True,14,175,2020-08-18 22:44:57+00:00,175,3,True,True,0,0,2020-08-18 22:49:10,2020
