,station_id,num_bikes_available,is_renting,station_status,num_bikes_disabled,num_ebikes_available,num_docks_available,is_installed,is_returning,legacy_id,num_docks_disabled,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
173,200,13,True,active,1,0,5,True,True,200,0,2020-08-12 23:49:42+00:00,False,2020-08-12 23:50:55,2020
174,201,0,True,active,0,0,15,True,True,201,0,2020-08-12 12:04:48+00:00,False,2020-08-12 23:50:55,2020
175,202,5,True,active,0,0,10,True,True,202,0,2020-08-12 23:37:00+00:00,False,2020-08-12 23:50:55,2020
176,203,1,True,active,0,0,14,True,True,203,0,2020-08-12 22:21:20+00:00,False,2020-08-12 23:50:55,2020
177,204,1,True,active,1,0,13,True,True,204,0,2020-08-12 23:45:02+00:00,False,2020-08-12 23:50:55,2020
178,205,4,True,active,0,0,11,True,True,205,0,2020-08-12 23:26:28+00:00,False,2020-08-12 23:50:55,2020
179,206,3,True,active,1,0,19,True,True,206,0,2020-08-12 23:43:14+00:00,True,2020-08-12 23:50:55,2020
180,208,2,True,active,1,0,12,True,True,208,0,2020-08-12 23:38:27+00:00,True,2020-08-12 23:50:55,2020
181,209,4,True,active,0,0,11,True,True,209,0,2020-08-12 19:30:28+00:00,False,2020-08-12 23:50:55,2020
182,210,1,True,active,0,0,14,True,True,210,0,2020-08-12 21:31:14+00:00,False,2020-08-12 23:50:55,2020
183,211,5,True,active,0,0,14,True,True,211,0,2020-08-12 23:45:35+00:00,False,2020-08-12 23:50:55,2020
184,212,28,True,active,0,0,5,True,True,212,0,2020-08-12 22:45:08+00:00,False,2020-08-12 23:50:55,2020
185,213,5,True,active,0,0,11,True,True,213,0,2020-08-12 23:34:49+00:00,True,2020-08-12 23:50:55,2020
186,214,1,True,active,0,0,14,True,True,214,0,2020-08-12 22:22:55+00:00,False,2020-08-12 23:50:55,2020
187,215,8,True,active,1,0,6,True,True,215,0,2020-08-12 23:24:33+00:00,False,2020-08-12 23:50:55,2020
188,216,18,True,active,1,0,0,True,True,216,0,2020-08-12 21:12:33+00:00,False,2020-08-12 23:50:55,2020
189,217,12,True,active,0,0,7,True,True,217,0,2020-08-12 23:25:57+00:00,False,2020-08-12 23:50:55,2020
190,218,10,True,active,0,0,5,True,True,218,0,2020-08-12 23:40:30+00:00,False,2020-08-12 23:50:55,2020
191,219,6,True,active,1,0,8,True,True,219,0,2020-08-12 22:24:22+00:00,False,2020-08-12 23:50:55,2020
192,221,11,True,active,0,0,8,True,True,221,0,2020-08-12 23:47:09+00:00,False,2020-08-12 23:50:55,2020
193,222,2,True,active,0,0,12,True,True,222,0,2020-08-12 23:33:44+00:00,True,2020-08-12 23:50:55,2020
194,224,9,True,active,2,0,6,True,True,224,0,2020-08-12 23:50:03+00:00,False,2020-08-12 23:50:55,2020
195,225,5,True,active,0,0,14,True,True,225,0,2020-08-12 23:13:34+00:00,False,2020-08-12 23:50:55,2020
196,226,1,True,active,0,0,14,True,True,226,0,2020-08-12 23:41:30+00:00,False,2020-08-12 23:50:55,2020
197,227,5,True,active,3,0,11,True,True,227,0,2020-08-12 23:49:50+00:00,False,2020-08-12 23:50:55,2020
198,228,1,True,active,1,0,17,True,True,228,0,2020-08-12 23:31:20+00:00,False,2020-08-12 23:50:55,2020
199,232,9,True,active,0,0,2,True,True,232,0,2020-08-12 23:16:57+00:00,False,2020-08-12 23:50:55,2020
200,233,6,False,active,0,0,9,True,False,233,0,2020-08-12 18:16:55+00:00,False,2020-08-12 23:50:55,2020
201,234,1,True,active,0,0,14,True,True,234,0,2020-08-12 22:27:28+00:00,False,2020-08-12 23:50:55,2020
202,235,5,True,active,0,0,10,True,True,235,0,2020-08-12 22:29:13+00:00,False,2020-08-12 23:50:55,2020
203,236,12,True,active,0,0,3,True,True,236,0,2020-08-12 23:23:57+00:00,False,2020-08-12 23:50:55,2020
204,239,8,True,active,0,0,7,True,True,239,0,2020-08-12 23:44:07+00:00,False,2020-08-12 23:50:55,2020
205,255,9,True,active,0,0,6,True,True,255,0,2020-08-12 21:50:25+00:00,False,2020-08-12 23:50:55,2020
206,258,9,True,active,0,0,6,True,True,258,0,2020-08-12 23:37:43+00:00,False,2020-08-12 23:50:55,2020
207,259,15,True,active,0,0,0,True,True,259,0,2020-08-12 08:53:25+00:00,False,2020-08-12 23:50:55,2020
208,260,12,False,active,0,0,3,True,False,260,0,2020-08-12 20:35:39+00:00,False,2020-08-12 23:50:55,2020
209,271,4,True,active,0,0,11,True,True,271,0,2020-08-12 22:03:53+00:00,False,2020-08-12 23:50:55,2020
210,272,5,True,active,1,0,13,True,True,272,0,2020-08-12 23:45:57+00:00,False,2020-08-12 23:50:55,2020
211,273,15,True,active,0,0,25,True,True,273,0,2020-08-12 23:41:55+00:00,False,2020-08-12 23:50:55,2020
212,279,18,True,active,0,0,1,True,True,279,0,2020-08-12 23:43:57+00:00,False,2020-08-12 23:50:55,2020
213,280,6,True,active,0,0,13,True,True,280,0,2020-08-12 23:49:15+00:00,False,2020-08-12 23:50:55,2020
214,282,6,True,active,1,0,8,True,True,282,0,2020-08-12 23:38:55+00:00,False,2020-08-12 23:50:55,2020
215,296,7,True,active,0,0,16,True,True,296,0,2020-08-12 23:48:29+00:00,False,2020-08-12 23:50:55,2020
216,318,1,True,active,0,0,18,True,True,318,0,2020-08-12 23:44:38+00:00,False,2020-08-12 23:50:55,2020
217,319,0,True,active,0,0,25,True,True,319,0,2020-08-12 23:49:52+00:00,False,2020-08-12 23:50:55,2020
218,327,5,True,active,0,0,10,True,True,327,0,2020-08-12 23:49:06+00:00,False,2020-08-12 23:50:55,2020
219,328,11,True,active,1,0,3,True,True,328,0,2020-08-12 23:35:16+00:00,False,2020-08-12 23:50:55,2020
220,329,6,True,active,0,0,9,True,True,329,0,2020-08-12 23:29:10+00:00,False,2020-08-12 23:50:55,2020
221,330,10,True,active,0,0,5,True,True,330,0,2020-08-12 23:38:48+00:00,False,2020-08-12 23:50:55,2020
