,station_id,is_installed,num_docks_available,is_renting,is_returning,last_reported,num_bikes_available,num_docks_disabled,legacy_id,num_bikes_disabled,eightd_has_available_keys,station_status,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
199,232,True,9,True,True,2020-08-18 23:08:38+00:00,2,0,232,0,False,active,0,2020-08-19 01:01:45,2020
200,233,True,12,True,True,2020-08-19 01:01:30+00:00,3,0,233,0,False,active,0,2020-08-19 01:01:45,2020
201,234,True,11,True,True,2020-08-19 00:20:00+00:00,4,0,234,0,False,active,0,2020-08-19 01:01:45,2020
202,235,True,13,True,True,2020-08-19 00:23:46+00:00,2,0,235,0,False,active,0,2020-08-19 01:01:45,2020
203,236,True,5,True,True,2020-08-19 00:00:19+00:00,10,0,236,0,False,active,0,2020-08-19 01:01:45,2020
204,239,True,5,True,True,2020-08-19 00:54:08+00:00,9,0,239,1,False,active,0,2020-08-19 01:01:45,2020
205,255,True,11,True,True,2020-08-19 00:40:48+00:00,3,0,255,1,False,active,0,2020-08-19 01:01:45,2020
206,258,True,7,True,True,2020-08-19 00:03:23+00:00,8,0,258,0,False,active,0,2020-08-19 01:01:45,2020
207,259,True,5,True,True,2020-08-18 17:28:18+00:00,10,0,259,0,False,active,0,2020-08-19 01:01:45,2020
208,260,True,10,True,True,2020-08-18 21:49:05+00:00,5,0,260,0,False,active,0,2020-08-19 01:01:45,2020
209,271,True,3,True,True,2020-08-18 23:11:53+00:00,12,0,271,0,False,active,0,2020-08-19 01:01:45,2020
210,272,True,7,True,True,2020-08-18 21:45:45+00:00,12,0,272,0,False,active,0,2020-08-19 01:01:45,2020
211,273,True,12,True,True,2020-08-19 00:16:57+00:00,28,0,273,0,False,active,0,2020-08-19 01:01:45,2020
212,279,True,2,True,True,2020-08-19 00:27:19+00:00,17,0,279,0,False,active,0,2020-08-19 01:01:45,2020
213,280,True,5,True,True,2020-08-18 22:54:33+00:00,14,0,280,0,False,active,0,2020-08-19 01:01:45,2020
214,282,True,1,True,True,2020-08-19 00:41:52+00:00,14,0,282,0,False,active,0,2020-08-19 01:01:45,2020
215,296,True,1,True,True,2020-08-19 00:54:09+00:00,21,0,296,1,False,active,0,2020-08-19 01:01:45,2020
216,318,True,19,True,True,2020-08-19 00:15:08+00:00,0,0,318,0,False,active,0,2020-08-19 01:01:45,2020
217,319,True,16,True,True,2020-08-19 00:36:44+00:00,9,0,319,0,False,active,0,2020-08-19 01:01:45,2020
218,327,True,14,True,True,2020-08-18 23:52:25+00:00,1,0,327,0,False,active,0,2020-08-19 01:01:45,2020
219,328,True,9,True,True,2020-08-19 00:53:23+00:00,6,0,328,0,False,active,0,2020-08-19 01:01:45,2020
220,329,True,3,True,True,2020-08-19 01:00:55+00:00,11,0,329,1,False,active,0,2020-08-19 01:01:45,2020
221,330,True,14,True,True,2020-08-18 23:25:25+00:00,1,0,330,0,False,active,0,2020-08-19 01:01:45,2020
222,331,True,12,True,True,2020-08-19 00:58:54+00:00,3,0,331,0,False,active,0,2020-08-19 01:01:45,2020
223,332,True,5,True,True,2020-08-19 00:45:28+00:00,9,0,332,1,False,active,0,2020-08-19 01:01:45,2020
224,333,True,1,True,True,2020-08-19 00:49:02+00:00,24,0,333,0,False,active,0,2020-08-19 01:01:45,2020
225,334,True,2,True,True,2020-08-19 00:22:58+00:00,17,0,334,0,False,active,0,2020-08-19 01:01:45,2020
226,335,True,18,True,True,2020-08-19 01:01:29+00:00,1,0,335,0,False,active,0,2020-08-19 01:01:45,2020
