,station_status,legacy_id,num_ebikes_available,is_renting,num_bikes_disabled,station_id,num_bikes_available,num_docks_available,is_returning,is_installed,eightd_has_available_keys,num_docks_disabled,last_reported,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
116,active,129,0,True,0,129,12,7,True,True,False,0,2020-07-31 00:28:33+00:00,,,2020-07-31 07:53:25,2020
117,active,130,0,True,0,130,13,2,True,True,False,0,2020-07-31 01:55:49+00:00,,,2020-07-31 07:53:25,2020
118,active,131,0,True,3,131,15,0,True,True,False,0,2020-07-31 00:57:27+00:00,,,2020-07-31 07:53:25,2020
119,active,133,0,True,0,133,19,4,True,True,False,0,2020-07-31 05:48:50+00:00,,,2020-07-31 07:53:25,2020
120,active,135,0,True,0,135,3,14,True,True,False,0,2020-07-31 01:15:03+00:00,,,2020-07-31 07:53:25,2020
121,active,136,0,True,0,136,12,7,True,True,False,0,2020-07-31 00:33:50+00:00,,,2020-07-31 07:53:25,2020
122,active,137,0,True,0,137,12,3,True,True,False,0,2020-07-31 03:30:45+00:00,,,2020-07-31 07:53:25,2020
123,active,138,0,True,0,138,11,4,True,True,False,0,2020-07-31 04:21:55+00:00,,,2020-07-31 07:53:25,2020
124,active,139,0,True,0,139,18,1,True,True,False,0,2020-07-31 05:13:45+00:00,,,2020-07-31 07:53:25,2020
125,active,140,0,True,0,140,6,11,True,True,False,0,2020-07-31 07:45:54+00:00,,,2020-07-31 07:53:25,2020
126,active,141,0,True,1,141,6,8,True,True,False,0,2020-07-31 04:18:05+00:00,,,2020-07-31 07:53:25,2020
127,active,142,0,True,1,142,17,5,True,True,False,0,2020-07-30 23:41:03+00:00,,,2020-07-31 07:53:25,2020
128,active,143,0,True,1,143,20,2,True,True,False,0,2020-07-31 06:06:18+00:00,,,2020-07-31 07:53:25,2020
129,active,144,0,True,0,144,5,14,True,True,False,0,2020-07-31 01:18:15+00:00,,,2020-07-31 07:53:25,2020
130,active,145,0,True,0,145,10,9,True,True,False,0,2020-07-31 07:20:35+00:00,,,2020-07-31 07:53:25,2020
131,active,146,0,True,1,146,16,2,True,True,False,0,2020-07-31 07:05:06+00:00,,,2020-07-31 07:53:25,2020
132,active,149,0,True,0,149,2,16,True,True,True,0,2020-07-31 07:46:44+00:00,,,2020-07-31 07:53:25,2020
133,active,150,0,True,1,150,14,4,True,True,False,0,2020-07-31 05:13:00+00:00,,,2020-07-31 07:53:25,2020
134,active,151,0,True,1,151,4,14,True,True,False,0,2020-07-31 02:51:13+00:00,,,2020-07-31 07:53:25,2020
135,active,152,0,True,0,152,10,5,True,True,True,0,2020-07-31 03:10:47+00:00,,,2020-07-31 07:53:25,2020
136,active,156,0,True,0,156,6,9,True,True,False,0,2020-07-31 01:59:03+00:00,,,2020-07-31 07:53:25,2020
137,active,157,0,True,1,157,0,14,True,True,False,0,2020-07-31 06:37:47+00:00,,,2020-07-31 07:53:25,2020
138,active,159,0,True,1,159,9,5,True,True,False,0,2020-07-31 03:49:12+00:00,,,2020-07-31 07:53:25,2020
139,active,160,0,True,0,160,7,7,True,True,True,0,2020-07-31 05:04:09+00:00,,,2020-07-31 07:53:25,2020
140,active,161,0,True,0,161,18,5,True,True,True,0,2020-07-31 05:06:09+00:00,,,2020-07-31 07:53:25,2020
141,active,162,0,True,0,162,4,11,True,True,False,0,2020-07-31 00:43:18+00:00,,,2020-07-31 07:53:25,2020
142,active,163,0,True,1,163,6,12,True,True,True,0,2020-07-31 07:44:07+00:00,,,2020-07-31 07:53:25,2020
143,active,167,0,True,1,167,14,0,True,True,False,0,2020-07-31 03:43:37+00:00,,,2020-07-31 07:53:25,2020
144,active,169,0,True,0,169,9,10,True,True,False,0,2020-07-31 03:07:28+00:00,,,2020-07-31 07:53:25,2020
145,active,170,0,True,0,170,1,13,True,True,True,0,2020-07-31 02:40:13+00:00,,,2020-07-31 07:53:25,2020
146,active,171,0,True,0,171,6,17,True,True,True,0,2020-07-31 07:36:47+00:00,,,2020-07-31 07:53:25,2020
147,active,173,0,True,3,173,6,5,True,True,True,0,2020-07-31 04:30:31+00:00,,,2020-07-31 07:53:25,2020
148,active,174,0,True,0,174,13,2,True,True,False,0,2020-07-31 03:42:34+00:00,,,2020-07-31 07:53:25,2020
149,active,175,0,True,0,175,9,8,True,True,True,0,2020-07-31 05:03:20+00:00,,,2020-07-31 07:53:25,2020
150,active,176,0,True,0,176,13,2,True,True,False,0,2020-07-31 04:20:08+00:00,,,2020-07-31 07:53:25,2020
151,active,177,0,True,0,177,4,15,True,True,False,0,2020-07-31 04:06:14+00:00,,,2020-07-31 07:53:25,2020
152,active,178,0,True,0,178,13,6,True,True,False,0,2020-07-31 07:37:57+00:00,,,2020-07-31 07:53:25,2020
