,is_installed,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_disabled,is_returning,num_docks_disabled,num_docks_available,num_bikes_available,eightd_has_available_keys,station_id,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
294,True,active,2020-08-13 11:07:27+00:00,406,0,0,True,0,4,15,False,406,True,,,2020-08-13 13:27:55,2020
295,True,active,2020-08-13 12:01:03+00:00,407,0,1,True,0,13,5,False,407,True,,,2020-08-13 13:27:55,2020
296,True,active,2020-08-13 12:03:28+00:00,408,0,0,True,0,8,7,False,408,True,,,2020-08-13 13:27:55,2020
297,True,active,2020-08-13 13:26:04+00:00,409,0,0,True,0,8,11,False,409,True,,,2020-08-13 13:27:55,2020
298,True,active,2020-08-13 12:24:09+00:00,410,0,0,True,0,8,11,False,410,True,,,2020-08-13 13:27:55,2020
299,True,active,2020-08-13 04:31:32+00:00,411,0,0,True,0,10,5,False,411,True,,,2020-08-13 13:27:55,2020
300,True,active,2020-08-13 13:10:30+00:00,412,0,0,True,0,3,16,False,412,True,,,2020-08-13 13:27:55,2020
301,True,active,2020-08-13 13:27:10+00:00,413,0,0,True,0,8,11,False,413,True,,,2020-08-13 13:27:55,2020
302,True,active,2020-08-13 13:20:00+00:00,414,0,0,True,0,23,0,False,414,True,,,2020-08-13 13:27:55,2020
303,True,active,2020-08-13 13:20:43+00:00,415,0,0,True,0,16,3,False,415,True,,,2020-08-13 13:27:55,2020
304,True,active,2020-08-13 13:10:33+00:00,416,0,0,True,0,1,14,False,416,True,,,2020-08-13 13:27:55,2020
305,True,active,2020-08-13 13:27:33+00:00,417,0,0,True,0,13,6,False,417,True,,,2020-08-13 13:27:55,2020
306,True,active,2020-08-13 13:25:08+00:00,419,0,0,True,0,4,11,False,419,True,,,2020-08-13 13:27:55,2020
