,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
129,True,0,0,0,19,2020-08-19 00:08:04+00:00,144,0,True,active,True,144,False,2020-08-19 00:41:25,2020
130,True,3,0,1,15,2020-08-19 00:35:16+00:00,145,0,True,active,True,145,False,2020-08-19 00:41:25,2020
131,True,2,0,1,16,2020-08-19 00:38:39+00:00,146,0,True,active,True,146,False,2020-08-19 00:41:25,2020
132,True,3,0,1,14,2020-08-19 00:31:18+00:00,149,0,True,active,True,149,True,2020-08-19 00:41:25,2020
133,True,5,0,1,13,2020-08-19 00:17:10+00:00,150,0,True,active,True,150,False,2020-08-19 00:41:25,2020
134,True,1,0,0,18,2020-08-18 23:26:49+00:00,151,0,True,active,True,151,False,2020-08-19 00:41:25,2020
135,True,5,0,0,10,2020-08-19 00:31:18+00:00,152,0,True,active,True,152,True,2020-08-19 00:41:25,2020
136,True,10,0,1,4,2020-08-19 00:08:30+00:00,156,0,True,active,True,156,False,2020-08-19 00:41:25,2020
137,True,3,0,2,10,2020-08-19 00:32:14+00:00,157,0,True,active,True,157,False,2020-08-19 00:41:25,2020
138,True,14,0,0,1,2020-08-18 23:45:32+00:00,159,0,True,active,True,159,False,2020-08-19 00:41:25,2020
139,True,14,0,0,0,2020-08-18 23:42:01+00:00,160,0,True,active,True,160,True,2020-08-19 00:41:25,2020
140,True,7,0,1,15,2020-08-19 00:41:16+00:00,161,0,True,active,True,161,True,2020-08-19 00:41:25,2020
141,True,8,0,0,7,2020-08-19 00:12:49+00:00,162,0,True,active,True,162,False,2020-08-19 00:41:25,2020
142,True,17,0,0,2,2020-08-19 00:24:06+00:00,163,0,True,active,True,163,True,2020-08-19 00:41:25,2020
143,True,10,0,0,5,2020-08-19 00:03:18+00:00,167,0,True,active,True,167,False,2020-08-19 00:41:25,2020
144,True,12,0,0,7,2020-08-19 00:33:05+00:00,169,0,True,active,True,169,False,2020-08-19 00:41:25,2020
145,True,14,0,0,0,2020-08-18 22:24:55+00:00,170,0,True,active,True,170,True,2020-08-19 00:41:25,2020
146,True,20,0,0,3,2020-08-19 00:23:19+00:00,171,0,True,active,True,171,True,2020-08-19 00:41:25,2020
147,True,5,0,0,9,2020-08-19 00:39:23+00:00,173,0,True,active,True,173,True,2020-08-19 00:41:25,2020
148,True,12,0,0,3,2020-08-19 00:18:38+00:00,174,0,True,active,True,174,False,2020-08-19 00:41:25,2020
149,True,10,0,1,6,2020-08-19 00:41:13+00:00,175,0,True,active,True,175,True,2020-08-19 00:41:25,2020
150,True,3,0,0,12,2020-08-19 00:20:54+00:00,176,0,True,active,True,176,False,2020-08-19 00:41:25,2020
151,True,3,0,0,16,2020-08-19 00:39:34+00:00,177,0,True,active,True,177,False,2020-08-19 00:41:25,2020
152,True,12,0,0,7,2020-08-19 00:35:04+00:00,178,0,True,active,True,178,False,2020-08-19 00:41:25,2020
153,True,8,0,0,17,2020-08-19 00:30:18+00:00,179,0,True,active,True,179,False,2020-08-19 00:41:25,2020
154,True,11,0,0,8,2020-08-19 00:34:05+00:00,180,0,True,active,True,180,False,2020-08-19 00:41:25,2020
155,True,9,0,0,10,2020-08-18 23:58:26+00:00,181,0,True,active,True,181,False,2020-08-19 00:41:25,2020
156,True,15,0,0,4,2020-08-18 23:55:10+00:00,182,0,True,active,True,182,True,2020-08-19 00:41:25,2020
157,True,11,0,0,8,2020-08-19 00:06:14+00:00,183,0,True,active,True,183,False,2020-08-19 00:41:25,2020
158,True,11,0,0,8,2020-08-19 00:19:31+00:00,184,0,True,active,True,184,False,2020-08-19 00:41:25,2020
159,True,11,0,1,3,2020-08-18 23:57:19+00:00,185,0,True,active,True,185,False,2020-08-19 00:41:25,2020
160,True,14,0,0,1,2020-08-19 00:39:06+00:00,186,0,True,active,True,186,True,2020-08-19 00:41:25,2020
161,True,6,0,0,9,2020-08-18 23:50:19+00:00,187,0,True,active,True,187,False,2020-08-19 00:41:25,2020
162,True,2,0,0,13,2020-08-19 00:29:38+00:00,188,0,True,active,True,188,False,2020-08-19 00:41:25,2020
163,True,10,0,0,13,2020-08-19 00:21:10+00:00,189,0,True,active,True,189,True,2020-08-19 00:41:25,2020
164,True,12,0,2,23,2020-08-19 00:38:27+00:00,190,0,True,active,True,190,True,2020-08-19 00:41:25,2020
165,True,12,0,0,3,2020-08-18 23:41:27+00:00,191,0,True,active,True,191,False,2020-08-19 00:41:25,2020
166,True,19,0,0,0,2020-08-18 23:56:26+00:00,192,0,True,active,True,192,False,2020-08-19 00:41:25,2020
167,True,14,0,0,1,2020-08-18 23:44:24+00:00,193,0,True,active,True,193,True,2020-08-19 00:41:25,2020
168,True,15,0,3,1,2020-08-19 00:17:32+00:00,194,0,True,active,True,194,False,2020-08-19 00:41:25,2020
169,True,13,0,1,9,2020-08-19 00:08:28+00:00,195,0,True,active,True,195,False,2020-08-19 00:41:25,2020
170,True,10,0,0,0,2020-08-18 21:20:25+00:00,196,0,True,active,True,196,False,2020-08-19 00:41:25,2020
171,True,6,0,1,8,2020-08-19 00:16:49+00:00,197,0,True,active,True,197,False,2020-08-19 00:41:25,2020
172,True,5,0,0,10,2020-08-18 23:59:53+00:00,199,0,True,active,True,199,False,2020-08-19 00:41:25,2020
173,True,2,0,0,17,2020-08-19 00:07:45+00:00,200,0,True,active,True,200,False,2020-08-19 00:41:25,2020
174,True,11,0,0,4,2020-08-18 22:29:02+00:00,201,0,True,active,True,201,False,2020-08-19 00:41:25,2020
175,True,13,0,0,2,2020-08-18 23:32:32+00:00,202,0,True,active,True,202,False,2020-08-19 00:41:25,2020
176,True,8,0,1,6,2020-08-18 22:44:51+00:00,203,0,True,active,True,203,False,2020-08-19 00:41:25,2020
177,True,14,0,0,1,2020-08-19 00:14:31+00:00,204,0,True,active,True,204,False,2020-08-19 00:41:25,2020
178,True,11,0,0,4,2020-08-18 23:29:38+00:00,205,0,True,active,True,205,False,2020-08-19 00:41:25,2020
179,True,17,0,1,5,2020-08-19 00:25:10+00:00,206,0,True,active,True,206,True,2020-08-19 00:41:25,2020
