,valet,is_installed,num_bikes_disabled,num_docks_available,is_renting,eightd_active_station_services,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
248,,True,1,3,True,,0,11,357,True,2020-08-01 22:08:16+00:00,active,357,0,False,2020-08-01 23:12:35,2020
249,,True,0,13,True,,0,6,358,True,2020-08-01 23:04:48+00:00,active,358,0,False,2020-08-01 23:12:35,2020
250,,True,0,14,True,,0,1,359,True,2020-08-01 23:00:57+00:00,active,359,0,False,2020-08-01 23:12:35,2020
251,,True,0,10,True,,0,5,360,True,2020-08-01 23:10:15+00:00,active,360,0,False,2020-08-01 23:12:35,2020
252,,True,0,18,True,,0,1,361,True,2020-08-01 23:07:15+00:00,active,361,0,False,2020-08-01 23:12:35,2020
253,,True,0,9,True,,0,10,362,True,2020-08-01 23:11:59+00:00,active,362,0,False,2020-08-01 23:12:35,2020
254,,True,0,18,True,,0,1,363,True,2020-08-01 23:11:11+00:00,active,363,0,False,2020-08-01 23:12:35,2020
255,,True,1,18,True,,0,0,364,True,2020-08-01 22:36:27+00:00,active,364,0,False,2020-08-01 23:12:35,2020
256,,True,0,19,True,,0,0,365,True,2020-08-01 23:05:06+00:00,active,365,0,False,2020-08-01 23:12:35,2020
257,,True,0,10,True,,0,5,366,True,2020-08-01 22:52:48+00:00,active,366,0,False,2020-08-01 23:12:35,2020
258,,True,0,6,True,,0,13,367,True,2020-08-01 19:33:20+00:00,active,367,0,False,2020-08-01 23:12:35,2020
259,,True,2,12,True,,0,1,368,True,2020-08-01 21:50:27+00:00,active,368,0,False,2020-08-01 23:12:35,2020
260,,True,1,7,True,,0,7,369,True,2020-08-01 23:09:33+00:00,active,369,0,False,2020-08-01 23:12:35,2020
261,,True,0,9,True,,0,10,370,True,2020-08-01 22:58:54+00:00,active,370,0,False,2020-08-01 23:12:35,2020
262,,True,1,7,True,,0,11,371,True,2020-08-01 23:07:21+00:00,active,371,0,False,2020-08-01 23:12:35,2020
263,,True,0,17,True,,0,2,372,True,2020-08-01 23:10:13+00:00,active,372,0,False,2020-08-01 23:12:35,2020
264,,True,0,7,True,,0,8,373,True,2020-08-01 16:12:35+00:00,active,373,0,False,2020-08-01 23:12:35,2020
265,,True,1,5,True,,0,13,374,True,2020-08-01 23:10:40+00:00,active,374,0,False,2020-08-01 23:12:35,2020
266,,True,0,3,True,,0,12,376,True,2020-08-01 22:59:21+00:00,active,376,0,False,2020-08-01 23:12:35,2020
267,,True,0,7,True,,0,12,377,True,2020-08-01 22:50:17+00:00,active,377,0,False,2020-08-01 23:12:35,2020
268,,True,0,11,True,,0,8,378,True,2020-08-01 22:38:33+00:00,active,378,0,False,2020-08-01 23:12:35,2020
269,,True,0,15,True,,0,0,379,True,2020-08-01 23:11:16+00:00,active,379,0,False,2020-08-01 23:12:35,2020
270,,True,0,17,True,,0,1,380,True,2020-08-01 23:05:18+00:00,active,380,0,False,2020-08-01 23:12:35,2020
271,,True,0,1,True,,0,18,381,True,2020-08-01 22:56:24+00:00,active,381,0,False,2020-08-01 23:12:35,2020
272,,True,0,12,True,,0,7,384,True,2020-08-01 23:05:45+00:00,active,384,0,True,2020-08-01 23:12:35,2020
273,,True,0,14,True,,0,0,385,True,2020-08-01 21:46:48+00:00,active,385,1,False,2020-08-01 23:12:35,2020
274,,True,0,16,True,,0,3,386,True,2020-08-01 23:06:38+00:00,active,386,0,False,2020-08-01 23:12:35,2020
275,,True,0,10,True,,0,5,387,True,2020-08-01 23:10:58+00:00,active,387,0,False,2020-08-01 23:12:35,2020
276,,True,0,6,True,,0,5,388,True,2020-08-01 20:58:14+00:00,active,388,0,False,2020-08-01 23:12:35,2020
277,,True,0,2,True,,0,12,389,True,2020-08-01 20:43:35+00:00,active,389,0,False,2020-08-01 23:12:35,2020
278,,True,0,1,True,,0,14,390,True,2020-08-01 21:54:19+00:00,active,390,0,False,2020-08-01 23:12:35,2020
279,,True,0,0,True,,0,15,391,True,2020-08-01 21:51:03+00:00,active,391,0,False,2020-08-01 23:12:35,2020
280,,True,0,9,True,,0,6,392,True,2020-08-01 22:35:38+00:00,active,392,0,False,2020-08-01 23:12:35,2020
281,,True,2,6,True,,0,7,393,True,2020-08-01 15:44:06+00:00,active,393,0,False,2020-08-01 23:12:35,2020
282,,True,0,14,True,,0,0,394,True,2020-07-31 08:57:02+00:00,active,394,0,False,2020-08-01 23:12:35,2020
283,,True,0,7,True,,0,8,395,True,2020-08-01 22:57:35+00:00,active,395,0,False,2020-08-01 23:12:35,2020
284,,True,0,5,True,,0,10,396,True,2020-08-01 18:55:04+00:00,active,396,0,False,2020-08-01 23:12:35,2020
285,,True,0,6,True,,0,9,397,True,2020-08-01 20:52:39+00:00,active,397,0,False,2020-08-01 23:12:35,2020
286,,True,0,4,True,,0,15,398,True,2020-08-01 23:06:02+00:00,active,398,0,False,2020-08-01 23:12:35,2020
287,,True,1,10,True,,0,4,399,True,2020-08-01 22:04:07+00:00,active,399,0,False,2020-08-01 23:12:35,2020
288,,True,0,21,True,,0,6,400,True,2020-08-01 23:04:40+00:00,active,400,0,False,2020-08-01 23:12:35,2020
289,,True,1,2,True,,0,12,401,True,2020-08-01 22:55:49+00:00,active,401,0,False,2020-08-01 23:12:35,2020
290,,True,0,13,True,,0,2,402,True,2020-08-01 22:40:07+00:00,active,402,0,False,2020-08-01 23:12:35,2020
291,,True,1,13,True,,0,1,403,True,2020-08-01 22:27:27+00:00,active,403,0,False,2020-08-01 23:12:35,2020
292,,True,0,14,True,,0,2,404,True,2020-08-01 22:58:17+00:00,active,404,0,False,2020-08-01 23:12:35,2020
293,,True,1,2,True,,0,16,405,True,2020-08-01 22:52:52+00:00,active,405,0,False,2020-08-01 23:12:35,2020
294,,True,1,4,True,,0,10,406,True,2020-08-01 22:39:54+00:00,active,406,0,False,2020-08-01 23:12:35,2020
295,,True,0,9,True,,0,10,407,True,2020-08-01 23:02:14+00:00,active,407,0,False,2020-08-01 23:12:35,2020
296,,True,0,10,True,,0,5,408,True,2020-08-01 20:35:14+00:00,active,408,0,False,2020-08-01 23:12:35,2020
297,,True,0,16,True,,0,3,409,True,2020-08-01 23:08:17+00:00,active,409,0,False,2020-08-01 23:12:35,2020
298,,True,0,2,True,,0,17,410,True,2020-08-01 18:07:43+00:00,active,410,0,False,2020-08-01 23:12:35,2020
299,,True,0,1,True,,0,14,411,True,2020-08-01 16:55:17+00:00,active,411,0,False,2020-08-01 23:12:35,2020
300,,True,0,18,True,,0,1,412,True,2020-08-01 22:47:37+00:00,active,412,0,False,2020-08-01 23:12:35,2020
301,,True,0,13,True,,0,6,413,True,2020-08-01 23:09:35+00:00,active,413,0,False,2020-08-01 23:12:35,2020
302,,True,0,20,True,,0,3,414,True,2020-08-01 23:02:03+00:00,active,414,0,False,2020-08-01 23:12:35,2020
303,,True,0,9,True,,0,10,415,True,2020-08-01 22:58:17+00:00,active,415,0,False,2020-08-01 23:12:35,2020
304,,True,0,11,True,,0,4,416,True,2020-08-01 23:08:20+00:00,active,416,0,False,2020-08-01 23:12:35,2020
305,,True,0,18,True,,0,1,417,True,2020-08-01 23:11:39+00:00,active,417,0,False,2020-08-01 23:12:35,2020
306,,True,0,8,True,,0,7,419,True,2020-08-01 23:08:19+00:00,active,419,0,False,2020-08-01 23:12:35,2020
307,,False,0,0,False,,0,0,420,False,1970-01-02 00:00:00+00:00,out_of_service,420,0,False,2020-08-01 23:12:35,1970
308,,True,0,10,True,,0,9,421,True,2020-08-01 22:27:58+00:00,active,421,0,False,2020-08-01 23:12:35,2020
309,,True,0,1,True,,0,14,422,True,2020-08-01 20:40:43+00:00,active,422,0,False,2020-08-01 23:12:35,2020
310,,True,0,7,True,,0,12,423,True,2020-08-01 21:30:15+00:00,active,423,0,False,2020-08-01 23:12:35,2020
