,num_bikes_available,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
139,6,2020-08-01 04:46:05+00:00,True,160,0,active,0,0,160,True,True,True,8,,,2020-08-01 05:09:55,2020
140,22,2020-08-01 05:04:42+00:00,True,161,0,active,0,0,161,True,True,True,1,,,2020-08-01 05:09:55,2020
141,5,2020-08-01 00:50:29+00:00,True,162,0,active,0,0,162,True,True,False,10,,,2020-08-01 05:09:55,2020
142,17,2020-08-01 04:44:27+00:00,True,163,0,active,0,0,163,True,True,True,2,,,2020-08-01 05:09:55,2020
143,7,2020-08-01 03:53:09+00:00,True,167,1,active,0,0,167,True,True,False,7,,,2020-08-01 05:09:55,2020
144,6,2020-08-01 04:51:18+00:00,True,169,0,active,0,0,169,True,True,False,13,,,2020-08-01 05:09:55,2020
145,2,2020-08-01 02:30:11+00:00,True,170,0,active,0,0,170,True,True,True,12,,,2020-08-01 05:09:55,2020
146,7,2020-08-01 00:37:20+00:00,True,171,0,active,0,0,171,True,True,True,16,,,2020-08-01 05:09:55,2020
147,8,2020-08-01 02:51:54+00:00,True,173,2,active,0,0,173,True,True,True,4,,,2020-08-01 05:09:55,2020
148,11,2020-08-01 03:35:45+00:00,True,174,0,active,0,0,174,True,True,False,4,,,2020-08-01 05:09:55,2020
149,7,2020-08-01 03:04:02+00:00,True,175,1,active,0,0,175,True,True,True,9,,,2020-08-01 05:09:55,2020
150,10,2020-08-01 05:00:49+00:00,True,176,0,active,0,0,176,True,True,False,5,,,2020-08-01 05:09:55,2020
151,11,2020-08-01 05:09:26+00:00,True,177,0,active,0,0,177,True,True,False,8,,,2020-08-01 05:09:55,2020
152,5,2020-08-01 05:06:08+00:00,True,178,0,active,0,0,178,True,True,False,14,,,2020-08-01 05:09:55,2020
153,17,2020-08-01 05:03:31+00:00,True,179,2,active,0,0,179,True,True,False,6,,,2020-08-01 05:09:55,2020
154,8,2020-08-01 03:49:49+00:00,True,180,0,active,0,0,180,True,True,False,11,,,2020-08-01 05:09:55,2020
155,7,2020-08-01 03:38:10+00:00,True,181,1,active,0,0,181,True,True,False,11,,,2020-08-01 05:09:55,2020
156,1,2020-08-01 04:31:03+00:00,True,182,2,active,0,0,182,True,True,True,16,,,2020-08-01 05:09:55,2020
157,12,2020-08-01 04:55:56+00:00,True,183,0,active,0,0,183,True,True,False,7,,,2020-08-01 05:09:55,2020
158,5,2020-08-01 04:59:53+00:00,True,184,0,active,0,0,184,True,True,False,14,,,2020-08-01 05:09:55,2020
159,14,2020-08-01 05:02:18+00:00,True,185,0,active,0,0,185,True,True,False,1,,,2020-08-01 05:09:55,2020
160,7,2020-08-01 04:44:50+00:00,True,186,0,active,0,0,186,True,True,True,8,,,2020-08-01 05:09:55,2020
161,15,2020-08-01 03:33:57+00:00,True,187,0,active,0,0,187,True,True,False,0,,,2020-08-01 05:09:55,2020
162,6,2020-08-01 04:52:14+00:00,True,188,0,active,0,0,188,True,True,False,9,,,2020-08-01 05:09:55,2020
163,1,2020-08-01 04:43:01+00:00,True,189,0,active,0,0,189,True,True,True,22,,,2020-08-01 05:09:55,2020
164,29,2020-08-01 05:09:34+00:00,True,190,2,active,0,0,190,True,True,True,6,,,2020-08-01 05:09:55,2020
165,3,2020-08-01 05:00:48+00:00,True,191,0,active,0,0,191,True,True,False,12,,,2020-08-01 05:09:55,2020
166,7,2020-08-01 04:17:27+00:00,True,192,2,active,0,0,192,True,True,False,10,,,2020-08-01 05:09:55,2020
167,4,2020-08-01 03:06:45+00:00,True,193,0,active,0,0,193,True,True,True,11,,,2020-08-01 05:09:55,2020
