,legacy_id,num_docks_available,is_installed,last_reported,station_id,num_bikes_disabled,num_docks_disabled,is_renting,is_returning,eightd_has_available_keys,num_bikes_available,station_status,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
73,82,8,True,2020-08-06 04:16:12+00:00,82,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
74,84,8,True,2020-08-06 04:16:18+00:00,84,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
75,85,18,True,2020-08-06 00:01:50+00:00,85,0,0,True,True,False,1,active,0,,,2020-08-06 05:31:55,2020
76,86,8,True,2020-08-06 03:50:22+00:00,86,1,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
77,87,1,True,2020-08-06 04:25:02+00:00,87,0,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
78,89,4,True,2020-08-06 04:32:22+00:00,89,0,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
79,90,8,True,2020-08-06 05:31:08+00:00,90,0,0,True,True,False,11,active,0,,,2020-08-06 05:31:55,2020
80,91,16,True,2020-08-06 03:31:29+00:00,91,0,0,True,True,False,3,active,0,,,2020-08-06 05:31:55,2020
81,92,8,True,2020-08-06 00:04:06+00:00,92,1,0,True,True,False,10,active,0,,,2020-08-06 05:31:55,2020
82,93,6,True,2020-08-06 04:49:52+00:00,93,1,0,True,True,False,8,active,0,,,2020-08-06 05:31:55,2020
83,94,5,True,2020-08-06 03:28:29+00:00,94,1,0,True,True,False,5,active,0,,,2020-08-06 05:31:55,2020
84,95,0,True,2020-08-06 04:26:28+00:00,95,1,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
85,96,5,True,2020-08-06 03:38:17+00:00,96,0,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
86,97,11,True,2020-08-06 04:11:23+00:00,97,1,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
87,98,7,True,2020-08-06 02:18:08+00:00,98,2,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
88,99,2,True,2020-08-06 03:07:36+00:00,99,0,0,True,True,False,13,active,0,,,2020-08-06 05:31:55,2020
89,100,5,True,2020-08-06 04:37:29+00:00,100,1,0,True,True,True,19,active,0,,,2020-08-06 05:31:55,2020
90,101,0,True,2020-08-06 01:01:36+00:00,101,0,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
91,102,3,True,2020-08-06 04:42:18+00:00,102,0,0,True,True,False,12,active,0,,,2020-08-06 05:31:55,2020
92,103,8,True,2020-08-06 02:25:24+00:00,103,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
93,104,13,True,2020-08-06 03:40:25+00:00,104,0,0,True,True,False,6,active,0,,,2020-08-06 05:31:55,2020
94,105,4,True,2020-08-06 04:08:51+00:00,105,1,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
95,106,9,True,2020-08-06 01:52:42+00:00,106,0,0,True,True,False,6,active,0,,,2020-08-06 05:31:55,2020
96,107,19,True,2020-08-06 04:52:47+00:00,107,0,0,True,True,False,0,active,0,,,2020-08-06 05:31:55,2020
97,108,15,True,2020-08-06 04:36:32+00:00,108,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
98,109,26,True,2020-08-06 01:37:39+00:00,109,0,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
99,110,8,True,2020-08-06 02:58:43+00:00,110,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
100,111,14,True,2020-08-06 00:34:33+00:00,111,0,0,True,True,False,1,active,0,,,2020-08-06 05:31:55,2020
101,112,8,True,2020-08-05 23:52:28+00:00,112,0,0,True,True,False,7,active,0,,,2020-08-06 05:31:55,2020
102,113,0,True,2020-08-06 04:53:05+00:00,113,1,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
103,114,2,True,2020-08-06 02:26:55+00:00,114,1,0,True,True,False,12,active,0,,,2020-08-06 05:31:55,2020
104,115,3,True,2020-08-06 04:24:12+00:00,115,1,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
105,116,5,True,2020-08-06 04:45:12+00:00,116,0,0,True,True,False,18,active,0,,,2020-08-06 05:31:55,2020
106,117,5,True,2020-08-06 03:09:46+00:00,117,1,0,True,True,False,13,active,0,,,2020-08-06 05:31:55,2020
107,118,3,True,2020-08-06 03:21:07+00:00,118,1,0,True,True,False,15,active,0,,,2020-08-06 05:31:55,2020
108,119,2,True,2020-08-06 03:14:46+00:00,119,0,0,True,True,False,13,active,0,,,2020-08-06 05:31:55,2020
109,120,0,True,2020-08-06 04:01:58+00:00,120,2,0,True,True,False,13,active,0,,,2020-08-06 05:31:55,2020
110,121,0,True,2020-08-06 03:28:45+00:00,121,0,0,True,True,False,17,active,0,,,2020-08-06 05:31:55,2020
111,122,13,True,2020-08-06 05:11:59+00:00,122,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
112,124,9,True,2020-08-06 00:27:27+00:00,124,0,0,True,True,False,6,active,0,,,2020-08-06 05:31:55,2020
113,125,2,True,2020-08-06 02:39:45+00:00,125,1,0,True,True,False,12,active,0,,,2020-08-06 05:31:55,2020
114,126,13,True,2020-08-05 23:52:34+00:00,126,0,0,True,True,False,2,active,0,,,2020-08-06 05:31:55,2020
115,128,5,True,2020-08-06 02:33:18+00:00,128,0,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
116,129,0,True,2020-08-06 01:57:13+00:00,129,0,0,True,True,False,19,active,0,,,2020-08-06 05:31:55,2020
117,130,1,True,2020-08-06 04:40:14+00:00,130,0,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
118,131,0,True,2020-08-06 01:34:45+00:00,131,1,0,True,True,False,17,active,0,,,2020-08-06 05:31:55,2020
119,133,8,True,2020-08-06 03:56:59+00:00,133,1,0,True,True,False,14,active,0,,,2020-08-06 05:31:55,2020
120,135,8,True,2020-08-06 00:12:05+00:00,135,0,0,True,True,False,9,active,0,,,2020-08-06 05:31:55,2020
121,136,18,True,2020-08-06 01:39:53+00:00,136,0,0,True,True,False,1,active,0,,,2020-08-06 05:31:55,2020
