,station_id,legacy_id,station_status,last_reported,num_docks_available,is_returning,num_bikes_disabled,num_bikes_available,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,is_renting,is_installed,timestamp_of_data_read_request,year_station_last_reported
157,183,183,active,2020-08-18 23:23:18+00:00,15,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
158,184,184,active,2020-08-18 23:39:22+00:00,12,True,0,7,0,False,0,True,True,2020-08-18 23:50:20,2020
159,185,185,active,2020-08-18 23:34:00+00:00,10,True,1,4,0,False,0,True,True,2020-08-18 23:50:20,2020
160,186,186,active,2020-08-18 23:46:20+00:00,15,True,0,0,0,True,0,True,True,2020-08-18 23:50:20,2020
161,187,187,active,2020-08-18 23:48:57+00:00,5,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
162,188,188,active,2020-08-18 23:34:12+00:00,3,True,0,12,0,False,0,True,True,2020-08-18 23:50:20,2020
163,189,189,active,2020-08-18 23:43:58+00:00,9,True,0,14,0,True,0,True,True,2020-08-18 23:50:20,2020
164,190,190,active,2020-08-18 23:42:41+00:00,15,True,2,20,0,True,0,True,True,2020-08-18 23:50:20,2020
165,191,191,active,2020-08-18 23:41:27+00:00,12,True,0,3,0,False,0,True,True,2020-08-18 23:50:20,2020
166,192,192,active,2020-08-18 23:23:52+00:00,18,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
167,193,193,active,2020-08-18 23:44:24+00:00,14,True,0,1,0,True,0,True,True,2020-08-18 23:50:20,2020
168,194,194,active,2020-08-18 21:44:37+00:00,14,True,3,2,0,False,0,True,True,2020-08-18 23:50:20,2020
169,195,195,active,2020-08-18 23:30:04+00:00,14,True,1,8,0,False,0,True,True,2020-08-18 23:50:20,2020
170,196,196,active,2020-08-18 21:20:25+00:00,10,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
171,197,197,active,2020-08-18 22:30:39+00:00,7,True,0,8,0,False,0,True,True,2020-08-18 23:50:20,2020
172,199,199,active,2020-08-18 21:21:35+00:00,6,True,0,9,0,False,0,True,True,2020-08-18 23:50:20,2020
173,200,200,active,2020-08-18 23:39:46+00:00,3,True,0,16,0,False,0,True,True,2020-08-18 23:50:20,2020
174,201,201,active,2020-08-18 22:29:02+00:00,11,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
175,202,202,active,2020-08-18 23:32:32+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
176,203,203,active,2020-08-18 22:44:51+00:00,8,True,1,6,0,False,0,True,True,2020-08-18 23:50:20,2020
177,204,204,active,2020-08-18 21:52:14+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
178,205,205,active,2020-08-18 23:29:38+00:00,11,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
179,206,206,active,2020-08-18 23:24:16+00:00,16,True,1,6,0,True,0,True,True,2020-08-18 23:50:20,2020
180,208,208,active,2020-08-18 22:57:27+00:00,4,True,0,11,0,True,0,True,True,2020-08-18 23:50:20,2020
181,209,209,active,2020-08-18 23:44:00+00:00,1,True,1,13,0,False,0,True,True,2020-08-18 23:50:20,2020
182,210,210,active,2020-08-18 23:40:04+00:00,10,True,1,4,0,False,0,True,True,2020-08-18 23:50:20,2020
183,211,211,active,2020-08-18 23:21:42+00:00,14,True,0,5,0,False,0,True,True,2020-08-18 23:50:20,2020
184,212,212,active,2020-08-18 23:31:47+00:00,29,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
185,213,213,active,2020-08-18 21:21:10+00:00,16,True,0,0,0,True,0,True,True,2020-08-18 23:50:20,2020
186,214,214,active,2020-08-18 23:50:03+00:00,11,True,0,4,0,False,0,True,True,2020-08-18 23:50:20,2020
187,215,215,active,2020-08-18 23:25:57+00:00,2,True,2,11,0,False,0,True,True,2020-08-18 23:50:20,2020
188,216,216,active,2020-08-18 23:12:50+00:00,0,True,0,19,0,False,0,True,True,2020-08-18 23:50:20,2020
189,217,217,active,2020-08-18 23:28:48+00:00,8,True,1,10,0,False,0,True,True,2020-08-18 23:50:20,2020
190,218,218,active,2020-08-18 23:35:28+00:00,0,True,3,12,0,False,0,True,True,2020-08-18 23:50:20,2020
191,219,219,active,2020-08-18 21:48:43+00:00,13,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
192,221,221,active,2020-08-18 23:31:48+00:00,11,True,1,7,0,False,0,True,True,2020-08-18 23:50:20,2020
193,222,222,active,2020-08-18 23:39:03+00:00,10,True,0,4,0,True,0,True,True,2020-08-18 23:50:20,2020
194,224,224,active,2020-08-18 23:06:42+00:00,4,True,1,12,0,False,0,True,True,2020-08-18 23:50:20,2020
195,225,225,active,2020-08-18 23:38:27+00:00,10,True,1,8,0,False,0,True,True,2020-08-18 23:50:20,2020
196,226,226,active,2020-08-18 23:44:46+00:00,12,True,1,2,0,False,0,True,True,2020-08-18 23:50:20,2020
197,227,227,active,2020-08-18 23:34:16+00:00,17,True,1,1,0,False,0,True,True,2020-08-18 23:50:20,2020
198,228,228,active,2020-08-18 23:30:52+00:00,14,True,0,5,0,False,0,True,True,2020-08-18 23:50:20,2020
199,232,232,active,2020-08-18 23:08:38+00:00,9,True,0,2,0,False,0,True,True,2020-08-18 23:50:20,2020
200,233,233,active,2020-08-18 23:44:29+00:00,14,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
201,234,234,active,2020-08-18 22:32:42+00:00,14,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
202,235,235,active,2020-08-18 22:57:39+00:00,12,True,0,3,0,False,0,True,True,2020-08-18 23:50:20,2020
203,236,236,active,2020-08-18 23:39:04+00:00,4,True,0,11,0,False,0,True,True,2020-08-18 23:50:20,2020
204,239,239,active,2020-08-18 23:46:57+00:00,4,True,1,10,0,False,0,True,True,2020-08-18 23:50:20,2020
205,255,255,active,2020-08-18 22:20:19+00:00,8,True,1,6,0,False,0,True,True,2020-08-18 23:50:20,2020
206,258,258,active,2020-08-18 23:42:56+00:00,6,True,0,9,0,False,0,True,True,2020-08-18 23:50:20,2020
207,259,259,active,2020-08-18 17:28:18+00:00,5,True,0,10,0,False,0,True,True,2020-08-18 23:50:20,2020
208,260,260,active,2020-08-18 21:49:05+00:00,10,True,0,5,0,False,0,True,True,2020-08-18 23:50:20,2020
209,271,271,active,2020-08-18 23:11:53+00:00,3,True,0,12,0,False,0,True,True,2020-08-18 23:50:20,2020
210,272,272,active,2020-08-18 21:45:45+00:00,7,True,0,12,0,False,0,True,True,2020-08-18 23:50:20,2020
211,273,273,active,2020-08-18 23:45:35+00:00,14,True,0,26,0,False,0,True,True,2020-08-18 23:50:20,2020
212,279,279,active,2020-08-18 23:37:55+00:00,2,True,0,17,0,False,0,True,True,2020-08-18 23:50:20,2020
213,280,280,active,2020-08-18 22:54:33+00:00,5,True,0,14,0,False,0,True,True,2020-08-18 23:50:20,2020
214,282,282,active,2020-08-18 23:45:53+00:00,2,True,0,13,0,False,0,True,True,2020-08-18 23:50:20,2020
215,296,296,active,2020-08-18 23:49:27+00:00,2,True,1,20,0,False,0,True,True,2020-08-18 23:50:20,2020
216,318,318,active,2020-08-18 23:47:05+00:00,16,True,0,3,0,False,0,True,True,2020-08-18 23:50:20,2020
217,319,319,active,2020-08-18 23:34:29+00:00,16,True,0,9,0,False,0,True,True,2020-08-18 23:50:20,2020
218,327,327,active,2020-08-18 23:47:33+00:00,15,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
219,328,328,active,2020-08-18 23:33:44+00:00,10,True,0,5,0,False,0,True,True,2020-08-18 23:50:20,2020
220,329,329,active,2020-08-18 21:14:17+00:00,1,True,1,13,0,False,0,True,True,2020-08-18 23:50:20,2020
221,330,330,active,2020-08-18 23:25:25+00:00,14,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
222,331,331,active,2020-08-18 23:49:23+00:00,15,True,0,0,0,False,0,True,True,2020-08-18 23:50:20,2020
223,332,332,active,2020-08-18 23:19:19+00:00,9,True,1,5,0,False,0,True,True,2020-08-18 23:50:20,2020
224,333,333,active,2020-08-18 23:28:08+00:00,3,True,0,22,0,False,0,True,True,2020-08-18 23:50:20,2020
225,334,334,active,2020-08-18 23:22:45+00:00,2,True,0,17,0,False,0,True,True,2020-08-18 23:50:20,2020
226,335,335,active,2020-08-18 23:50:08+00:00,18,True,0,1,0,False,0,True,True,2020-08-18 23:50:20,2020
