,num_docks_available,num_docks_disabled,last_reported,num_ebikes_available,station_id,station_status,is_renting,num_bikes_disabled,is_installed,legacy_id,num_bikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
236,19,0,2020-07-29 23:20:08+00:00,0,345,active,True,0,True,345,0,True,False,,,2020-07-29 23:21:10,2020
237,13,0,2020-07-29 23:03:36+00:00,0,346,active,True,0,True,346,2,True,False,,,2020-07-29 23:21:10,2020
238,10,0,2020-07-29 17:43:34+00:00,0,347,active,True,0,True,347,5,True,False,,,2020-07-29 23:21:10,2020
239,4,0,2020-07-29 22:57:19+00:00,0,348,active,True,2,True,348,9,True,False,,,2020-07-29 23:21:10,2020
240,8,0,2020-07-29 23:15:19+00:00,0,349,active,True,0,True,349,9,True,True,,,2020-07-29 23:21:10,2020
241,15,0,2020-07-29 22:43:19+00:00,0,350,active,True,0,True,350,2,True,False,,,2020-07-29 23:21:10,2020
242,11,0,2020-07-29 22:32:35+00:00,0,351,active,True,0,True,351,4,True,False,,,2020-07-29 23:21:10,2020
243,12,0,2020-07-29 23:18:15+00:00,0,352,active,True,0,True,352,3,True,False,,,2020-07-29 23:21:10,2020
244,4,0,2020-07-29 22:53:25+00:00,0,353,active,True,0,True,353,11,True,True,,,2020-07-29 23:21:10,2020
245,15,0,2020-07-29 22:16:52+00:00,0,354,active,True,0,True,354,0,True,False,,,2020-07-29 23:21:10,2020
246,6,0,2020-07-29 23:07:04+00:00,0,355,active,True,0,True,355,11,True,False,,,2020-07-29 23:21:10,2020
247,15,0,2020-07-29 23:17:57+00:00,0,356,active,True,0,True,356,8,True,False,,,2020-07-29 23:21:10,2020
248,0,0,2020-07-29 22:32:00+00:00,0,357,active,True,1,True,357,14,True,False,,,2020-07-29 23:21:10,2020
249,13,0,2020-07-29 22:18:33+00:00,0,358,active,True,0,True,358,6,True,False,,,2020-07-29 23:21:10,2020
250,15,0,2020-07-29 23:19:08+00:00,0,359,active,True,0,True,359,0,True,False,,,2020-07-29 23:21:10,2020
251,11,0,2020-07-29 23:06:55+00:00,0,360,active,True,0,True,360,4,True,False,,,2020-07-29 23:21:10,2020
252,10,0,2020-07-29 23:13:01+00:00,0,361,active,True,0,True,361,9,True,False,,,2020-07-29 23:21:10,2020
253,9,0,2020-07-29 23:18:17+00:00,0,362,active,True,0,True,362,10,True,False,,,2020-07-29 23:21:10,2020
254,3,0,2020-07-29 23:06:14+00:00,0,363,active,True,0,True,363,16,True,False,,,2020-07-29 23:21:10,2020
255,13,0,2020-07-29 23:14:38+00:00,0,364,active,True,2,True,364,4,True,False,,,2020-07-29 23:21:10,2020
256,13,0,2020-07-29 23:11:51+00:00,0,365,active,True,0,True,365,6,True,False,,,2020-07-29 23:21:10,2020
257,8,0,2020-07-29 23:17:32+00:00,0,366,active,True,0,True,366,7,True,False,,,2020-07-29 23:21:10,2020
258,2,0,2020-07-29 23:14:24+00:00,0,367,active,True,0,True,367,17,True,False,,,2020-07-29 23:21:10,2020
259,13,0,2020-07-29 21:55:18+00:00,0,368,active,True,0,True,368,2,True,False,,,2020-07-29 23:21:10,2020
260,7,0,2020-07-29 23:20:50+00:00,0,369,active,True,0,True,369,8,True,False,,,2020-07-29 23:21:10,2020
261,6,0,2020-07-29 23:15:20+00:00,0,370,active,True,2,True,370,11,True,False,,,2020-07-29 23:21:10,2020
262,11,0,2020-07-29 23:20:39+00:00,0,371,active,True,0,True,371,8,True,False,,,2020-07-29 23:21:10,2020
263,3,0,2020-07-29 23:20:52+00:00,0,372,active,True,0,True,372,16,True,False,,,2020-07-29 23:21:10,2020
264,8,0,2020-07-29 21:54:14+00:00,0,373,active,True,0,True,373,7,True,False,,,2020-07-29 23:21:10,2020
265,12,0,2020-07-29 23:16:30+00:00,0,374,active,True,0,True,374,7,True,False,,,2020-07-29 23:21:10,2020
266,2,0,2020-07-29 23:14:34+00:00,0,376,active,True,0,True,376,13,True,False,,,2020-07-29 23:21:10,2020
267,2,0,2020-07-29 23:14:34+00:00,0,377,active,True,0,True,377,17,True,False,,,2020-07-29 23:21:10,2020
268,10,0,2020-07-29 23:20:34+00:00,0,378,active,True,0,True,378,9,True,False,,,2020-07-29 23:21:10,2020
269,1,0,2020-07-29 23:11:22+00:00,0,379,active,True,0,True,379,14,True,False,,,2020-07-29 23:21:10,2020
270,14,0,2020-07-29 23:11:24+00:00,0,380,active,True,1,True,380,3,True,False,,,2020-07-29 23:21:10,2020
271,5,0,2020-07-29 23:20:45+00:00,0,381,active,True,1,True,381,13,True,False,,,2020-07-29 23:21:10,2020
272,10,0,2020-07-29 22:53:42+00:00,0,384,active,True,1,True,384,8,True,True,,,2020-07-29 23:21:10,2020
273,12,1,2020-07-29 22:48:11+00:00,0,385,active,True,0,True,385,2,True,False,,,2020-07-29 23:21:10,2020
274,11,0,2020-07-29 23:13:41+00:00,0,386,active,True,0,True,386,8,True,False,,,2020-07-29 23:21:10,2020
275,6,0,2020-07-29 23:19:38+00:00,0,387,active,True,0,True,387,9,True,False,,,2020-07-29 23:21:10,2020
276,8,0,2020-07-29 08:59:07+00:00,0,388,active,True,0,True,388,3,True,False,,,2020-07-29 23:21:10,2020
277,5,0,2020-07-29 17:16:59+00:00,0,389,active,True,0,True,389,9,True,False,,,2020-07-29 23:21:10,2020
278,0,0,2020-07-29 10:46:04+00:00,0,390,active,True,0,True,390,15,True,False,,,2020-07-29 23:21:10,2020
279,3,0,2020-07-29 21:59:13+00:00,0,391,active,True,0,True,391,12,True,False,,,2020-07-29 23:21:10,2020
280,10,0,2020-07-29 23:14:30+00:00,0,392,active,True,0,True,392,5,True,False,,,2020-07-29 23:21:10,2020
281,9,0,2020-07-28 16:21:03+00:00,0,393,active,True,0,True,393,6,True,False,,,2020-07-29 23:21:10,2020
282,12,0,2020-07-29 23:15:42+00:00,0,394,active,True,0,True,394,2,True,False,,,2020-07-29 23:21:10,2020
283,9,0,2020-07-29 14:45:26+00:00,0,395,active,True,0,True,395,6,True,False,,,2020-07-29 23:21:10,2020
284,6,0,2020-07-29 17:56:52+00:00,0,396,active,True,0,True,396,9,True,False,,,2020-07-29 23:21:10,2020
285,6,0,2020-07-29 16:43:59+00:00,0,397,active,True,0,True,397,9,True,False,,,2020-07-29 23:21:10,2020
286,13,0,2020-07-29 23:05:52+00:00,0,398,active,True,0,True,398,6,True,False,,,2020-07-29 23:21:10,2020
287,15,0,2020-07-29 23:09:17+00:00,0,399,active,True,0,True,399,0,True,False,,,2020-07-29 23:21:10,2020
288,16,0,2020-07-29 21:20:00+00:00,0,400,active,True,0,True,400,11,True,False,,,2020-07-29 23:21:10,2020
289,1,0,2020-07-29 20:53:44+00:00,0,401,active,True,0,True,401,14,True,False,,,2020-07-29 23:21:10,2020
290,13,0,2020-07-29 23:19:21+00:00,0,402,active,True,0,True,402,2,True,False,,,2020-07-29 23:21:10,2020
291,12,0,2020-07-29 23:16:42+00:00,0,403,active,True,0,True,403,3,True,False,,,2020-07-29 23:21:10,2020
292,10,0,2020-07-29 23:02:04+00:00,0,404,active,True,0,True,404,6,True,False,,,2020-07-29 23:21:10,2020
293,7,0,2020-07-29 22:25:16+00:00,0,405,active,True,1,True,405,11,True,False,,,2020-07-29 23:21:10,2020
294,12,0,2020-07-29 21:52:23+00:00,0,406,active,True,1,True,406,2,True,False,,,2020-07-29 23:21:10,2020
295,18,0,2020-07-29 22:53:25+00:00,0,407,active,True,0,True,407,1,True,False,,,2020-07-29 23:21:10,2020
296,7,0,2020-07-29 21:50:28+00:00,0,408,active,True,0,True,408,8,True,False,,,2020-07-29 23:21:10,2020
297,13,0,2020-07-29 23:14:39+00:00,0,409,active,True,0,True,409,6,True,False,,,2020-07-29 23:21:10,2020
298,3,0,2020-07-29 23:10:40+00:00,0,410,active,True,2,True,410,14,True,False,,,2020-07-29 23:21:10,2020
299,0,0,2020-07-29 21:56:06+00:00,0,411,active,True,2,True,411,13,True,False,,,2020-07-29 23:21:10,2020
300,9,0,2020-07-29 22:24:23+00:00,0,412,active,True,0,True,412,10,True,False,,,2020-07-29 23:21:10,2020
301,4,0,2020-07-29 23:16:04+00:00,0,413,active,True,0,True,413,15,True,False,,,2020-07-29 23:21:10,2020
302,18,0,2020-07-29 23:06:21+00:00,0,414,active,True,0,True,414,5,True,False,,,2020-07-29 23:21:10,2020
303,18,0,2020-07-29 22:06:03+00:00,0,415,active,True,1,True,415,0,True,False,,,2020-07-29 23:21:10,2020
304,3,0,2020-07-29 23:12:03+00:00,0,416,active,True,0,True,416,12,True,False,,,2020-07-29 23:21:10,2020
305,10,0,2020-07-29 23:16:51+00:00,0,417,active,True,1,True,417,8,True,False,,,2020-07-29 23:21:10,2020
306,4,0,2020-07-29 23:15:32+00:00,0,419,active,True,0,True,419,11,True,False,,,2020-07-29 23:21:10,2020
