,last_reported,legacy_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,num_ebikes_available,station_status,station_id,is_renting,is_returning,num_bikes_available,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
219,2020-08-21 16:12:14+00:00,328,0,0,3,False,0,active,328,True,True,12,True,,,2020-08-21 17:23:25,2020
220,2020-08-21 16:00:26+00:00,329,0,0,10,False,0,active,329,True,True,5,True,,,2020-08-21 17:23:25,2020
221,2020-08-21 17:14:36+00:00,330,0,0,3,False,0,active,330,True,True,12,True,,,2020-08-21 17:23:25,2020
222,2020-08-21 17:15:18+00:00,331,0,0,1,False,0,active,331,True,True,14,True,,,2020-08-21 17:23:25,2020
223,2020-08-21 16:58:28+00:00,332,0,0,15,False,0,active,332,True,True,0,True,,,2020-08-21 17:23:25,2020
224,2020-08-21 16:30:32+00:00,333,0,0,6,False,0,active,333,True,True,19,True,,,2020-08-21 17:23:25,2020
225,2020-08-21 17:21:23+00:00,334,0,0,2,False,0,active,334,True,True,17,True,,,2020-08-21 17:23:25,2020
226,2020-08-21 17:10:32+00:00,335,0,0,17,False,0,active,335,True,True,2,True,,,2020-08-21 17:23:25,2020
227,2020-08-21 16:38:59+00:00,336,0,0,14,False,0,active,336,True,True,1,True,,,2020-08-21 17:23:25,2020
228,2020-08-21 15:48:41+00:00,337,0,0,2,False,0,active,337,True,True,13,True,,,2020-08-21 17:23:25,2020
229,2020-08-21 17:01:11+00:00,338,0,0,12,False,0,active,338,True,True,3,True,,,2020-08-21 17:23:25,2020
230,2020-08-21 11:39:52+00:00,339,0,0,0,False,0,active,339,True,True,15,True,,,2020-08-21 17:23:25,2020
231,2020-08-21 08:56:34+00:00,340,0,0,4,False,0,active,340,True,True,15,True,,,2020-08-21 17:23:25,2020
232,2020-08-21 16:22:12+00:00,341,0,0,3,True,0,active,341,True,True,12,True,,,2020-08-21 17:23:25,2020
233,2020-08-21 17:16:50+00:00,342,0,1,13,False,0,active,342,True,True,1,True,,,2020-08-21 17:23:25,2020
234,2020-08-21 08:51:37+00:00,343,0,0,12,False,0,active,343,True,True,3,True,,,2020-08-21 17:23:25,2020
235,2020-08-21 16:53:26+00:00,344,0,0,17,False,0,active,344,True,True,2,True,,,2020-08-21 17:23:25,2020
236,2020-08-21 17:20:21+00:00,345,0,1,14,False,0,active,345,True,True,4,True,,,2020-08-21 17:23:25,2020
237,2020-08-21 16:12:26+00:00,346,0,0,14,False,0,active,346,True,True,1,True,,,2020-08-21 17:23:25,2020
238,2020-08-21 16:00:41+00:00,347,0,0,3,False,0,active,347,True,True,12,True,,,2020-08-21 17:23:25,2020
239,2020-08-21 16:34:36+00:00,348,0,0,11,False,0,active,348,True,True,4,True,,,2020-08-21 17:23:25,2020
240,2020-08-21 14:38:37+00:00,349,0,0,12,False,0,active,349,True,True,5,True,,,2020-08-21 17:23:25,2020
241,2020-08-21 10:09:18+00:00,350,0,0,4,False,0,active,350,True,True,13,True,,,2020-08-21 17:23:25,2020
242,2020-08-21 16:43:18+00:00,351,0,0,3,False,0,active,351,True,True,12,True,,,2020-08-21 17:23:25,2020
243,2020-08-21 17:16:13+00:00,352,0,0,14,False,0,active,352,True,True,1,True,,,2020-08-21 17:23:25,2020
244,2020-08-21 13:30:07+00:00,353,0,0,7,True,0,active,353,True,True,8,True,,,2020-08-21 17:23:25,2020
245,2020-08-21 14:25:49+00:00,354,0,0,15,False,0,active,354,True,True,0,True,,,2020-08-21 17:23:25,2020
246,2020-08-21 16:55:28+00:00,355,0,0,1,False,0,active,355,True,True,16,True,,,2020-08-21 17:23:25,2020
247,2020-08-21 17:16:00+00:00,356,0,0,13,False,0,active,356,True,True,10,True,,,2020-08-21 17:23:25,2020
248,2020-08-21 15:13:28+00:00,357,0,0,0,False,0,active,357,True,True,15,True,,,2020-08-21 17:23:25,2020
249,2020-08-21 15:22:27+00:00,358,0,0,4,False,0,active,358,True,True,15,True,,,2020-08-21 17:23:25,2020
250,2020-08-21 17:23:11+00:00,359,0,0,0,False,0,active,359,True,True,15,True,,,2020-08-21 17:23:25,2020
251,2020-08-21 15:08:27+00:00,360,0,0,15,False,0,active,360,True,True,0,True,,,2020-08-21 17:23:25,2020
252,2020-08-21 16:59:04+00:00,361,0,1,4,False,0,active,361,True,True,14,True,,,2020-08-21 17:23:25,2020
253,2020-08-21 17:00:04+00:00,362,0,0,2,False,0,active,362,True,True,17,True,,,2020-08-21 17:23:25,2020
254,2020-08-21 17:13:57+00:00,363,0,0,17,False,0,active,363,True,True,2,True,,,2020-08-21 17:23:25,2020
255,2020-08-21 16:40:29+00:00,364,0,1,10,False,0,active,364,True,True,8,True,,,2020-08-21 17:23:25,2020
256,2020-08-21 17:05:16+00:00,365,0,0,0,False,0,active,365,True,True,19,True,,,2020-08-21 17:23:25,2020
257,1970-01-02 00:00:00+00:00,366,0,0,0,False,0,out_of_service,366,True,True,0,False,,,2020-08-21 17:23:25,1970
258,2020-08-21 16:29:35+00:00,367,0,0,4,False,0,active,367,True,True,15,True,,,2020-08-21 17:23:25,2020
259,2020-08-21 14:48:31+00:00,368,0,0,12,False,0,active,368,True,True,3,True,,,2020-08-21 17:23:25,2020
260,2020-08-21 17:12:51+00:00,369,0,0,5,False,0,active,369,True,True,10,True,,,2020-08-21 17:23:25,2020
261,2020-08-21 17:15:40+00:00,370,0,0,3,False,0,active,370,True,True,16,True,,,2020-08-21 17:23:25,2020
262,2020-08-21 14:48:27+00:00,371,0,0,18,False,0,active,371,True,True,1,True,,,2020-08-21 17:23:25,2020
263,2020-08-21 17:06:47+00:00,372,0,0,10,False,0,active,372,True,True,9,True,,,2020-08-21 17:23:25,2020
264,2020-08-21 15:23:46+00:00,373,0,0,5,False,0,active,373,True,True,10,True,,,2020-08-21 17:23:25,2020
