,is_returning,num_ebikes_available,is_renting,num_docks_available,station_id,station_status,is_installed,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,num_docks_disabled,last_reported,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
171,True,0,True,13,197,active,True,2,False,0,0,2020-07-27 15:37:27+00:00,197,,,2020-07-27 16:42:50,2020
172,True,0,True,14,199,active,True,1,False,0,0,2020-07-27 09:36:27+00:00,199,,,2020-07-27 16:42:50,2020
173,True,0,True,0,200,active,True,19,False,0,0,2020-07-27 14:59:00+00:00,200,,,2020-07-27 16:42:50,2020
174,True,0,True,13,201,active,True,2,False,0,0,2020-07-27 12:13:56+00:00,201,,,2020-07-27 16:42:50,2020
175,True,0,True,12,202,active,True,3,False,0,0,2020-07-27 14:56:17+00:00,202,,,2020-07-27 16:42:50,2020
176,True,0,True,13,203,active,True,2,False,0,0,2020-07-27 08:53:48+00:00,203,,,2020-07-27 16:42:50,2020
177,True,0,True,12,204,active,True,3,False,0,0,2020-07-27 13:22:26+00:00,204,,,2020-07-27 16:42:50,2020
178,True,0,True,10,205,active,True,3,False,2,0,2020-07-27 12:18:18+00:00,205,,,2020-07-27 16:42:50,2020
179,False,0,False,17,206,active,True,6,True,0,0,2020-07-27 13:40:05+00:00,206,,,2020-07-27 16:42:50,2020
180,True,0,True,10,208,active,True,5,True,0,0,2020-07-27 15:35:44+00:00,208,,,2020-07-27 16:42:50,2020
181,True,0,True,3,209,active,True,11,False,1,0,2020-07-27 01:24:16+00:00,209,,,2020-07-27 16:42:50,2020
182,True,0,True,12,210,active,True,2,False,1,0,2020-07-27 13:25:19+00:00,210,,,2020-07-27 16:42:50,2020
183,False,0,False,1,211,active,True,16,False,2,0,2020-07-27 14:02:09+00:00,211,,,2020-07-27 16:42:50,2020
184,True,0,True,27,212,active,True,4,False,2,0,2020-07-27 16:35:13+00:00,212,,,2020-07-27 16:42:50,2020
185,True,0,True,9,213,active,True,7,True,0,0,2020-07-27 14:24:20+00:00,213,,,2020-07-27 16:42:50,2020
186,True,0,True,8,214,active,True,7,False,0,0,2020-07-27 16:40:01+00:00,214,,,2020-07-27 16:42:50,2020
187,True,0,True,3,215,active,True,11,False,1,0,2020-07-27 16:19:47+00:00,215,,,2020-07-27 16:42:50,2020
188,True,0,True,3,216,active,True,16,False,0,0,2020-07-27 14:57:14+00:00,216,,,2020-07-27 16:42:50,2020
189,True,0,True,13,217,active,True,6,False,0,0,2020-07-27 15:38:23+00:00,217,,,2020-07-27 16:42:50,2020
190,True,0,True,14,218,active,True,1,False,0,0,2020-07-27 16:24:30+00:00,218,,,2020-07-27 16:42:50,2020
191,True,0,True,0,219,active,True,15,False,0,0,2020-07-26 23:42:58+00:00,219,,,2020-07-27 16:42:50,2020
192,True,0,True,8,221,active,True,11,False,0,0,2020-07-27 16:08:15+00:00,221,,,2020-07-27 16:42:50,2020
193,False,0,False,14,222,active,True,0,True,0,0,2020-07-27 16:04:39+00:00,222,,,2020-07-27 16:42:50,2020
194,True,0,True,10,224,active,True,7,False,0,0,2020-07-27 14:22:40+00:00,224,,,2020-07-27 16:42:50,2020
195,True,0,True,6,225,active,True,12,False,0,1,2020-07-27 16:22:32+00:00,225,,,2020-07-27 16:42:50,2020
196,True,0,True,14,226,active,True,1,False,0,0,2020-07-27 16:04:56+00:00,226,,,2020-07-27 16:42:50,2020
197,True,0,True,7,227,active,True,10,False,2,0,2020-07-27 16:35:31+00:00,227,,,2020-07-27 16:42:50,2020
198,True,0,True,7,228,active,True,10,False,2,0,2020-07-27 15:55:58+00:00,228,,,2020-07-27 16:42:50,2020
199,True,0,True,2,232,active,True,9,False,0,0,2020-07-27 08:07:56+00:00,232,,,2020-07-27 16:42:50,2020
200,True,0,True,5,233,active,True,10,False,0,0,2020-07-27 16:03:11+00:00,233,,,2020-07-27 16:42:50,2020
201,True,0,True,11,234,active,True,4,False,0,0,2020-07-27 13:44:24+00:00,234,,,2020-07-27 16:42:50,2020
202,True,0,True,1,235,active,True,14,False,0,0,2020-07-27 13:24:53+00:00,235,,,2020-07-27 16:42:50,2020
203,True,0,True,11,236,active,True,3,False,1,0,2020-07-27 14:53:25+00:00,236,,,2020-07-27 16:42:50,2020
204,True,0,True,10,239,active,True,5,False,0,0,2020-07-27 16:16:29+00:00,239,,,2020-07-27 16:42:50,2020
205,True,0,True,9,255,active,True,6,False,0,0,2020-07-27 08:59:05+00:00,255,,,2020-07-27 16:42:50,2020
206,True,0,True,8,258,active,True,7,False,0,0,2020-07-27 13:51:08+00:00,258,,,2020-07-27 16:42:50,2020
207,True,0,True,13,259,active,True,2,False,0,0,2020-07-27 08:48:03+00:00,259,,,2020-07-27 16:42:50,2020
208,True,0,True,1,260,active,True,14,False,0,0,2020-07-27 13:57:03+00:00,260,,,2020-07-27 16:42:50,2020
209,True,0,True,3,271,active,True,12,False,0,0,2020-07-27 13:27:06+00:00,271,,,2020-07-27 16:42:50,2020
210,True,0,True,15,272,active,True,4,False,0,0,2020-07-27 14:35:29+00:00,272,,,2020-07-27 16:42:50,2020
211,True,0,True,26,273,active,True,14,False,0,0,2020-07-27 16:23:20+00:00,273,,,2020-07-27 16:42:50,2020
212,True,0,True,11,279,active,True,8,False,0,0,2020-07-27 16:26:27+00:00,279,,,2020-07-27 16:42:50,2020
213,True,0,True,12,280,active,True,7,False,0,0,2020-07-27 16:04:47+00:00,280,,,2020-07-27 16:42:50,2020
