,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,data_read_timestamp,year_station_last_reported
153,178,9,0,1,9,0,True,True,True,2020-03-11 20:13:56+00:00,False,,2020-03-11 20:18:33,2020
154,179,12,0,0,13,0,True,True,True,2020-03-11 20:11:05+00:00,False,,2020-03-11 20:18:33,2020
155,180,3,0,3,13,0,True,True,True,2020-03-11 19:57:56+00:00,False,,2020-03-11 20:18:33,2020
156,181,4,0,0,15,0,True,True,True,2020-03-11 19:12:03+00:00,False,,2020-03-11 20:18:33,2020
157,182,4,0,0,15,0,True,True,True,2020-03-11 19:59:38+00:00,True,,2020-03-11 20:18:33,2020
158,183,7,0,0,12,0,True,True,True,2020-03-11 14:11:05+00:00,False,,2020-03-11 20:18:33,2020
159,184,3,0,1,15,0,True,True,True,2020-03-11 20:13:16+00:00,False,,2020-03-11 20:18:33,2020
160,185,3,0,0,12,0,True,True,True,2020-03-11 20:08:11+00:00,False,,2020-03-11 20:18:33,2020
161,186,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,,2020-03-11 20:18:33,1970
162,187,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
163,188,13,0,0,2,0,True,True,True,2020-03-11 17:10:55+00:00,False,,2020-03-11 20:18:33,2020
164,189,7,0,0,16,0,True,True,True,2020-03-11 20:15:19+00:00,True,,2020-03-11 20:18:33,2020
165,190,4,0,0,33,0,True,True,True,2020-03-11 20:18:30+00:00,False,,2020-03-11 20:18:33,2020
166,191,3,0,0,12,0,True,True,True,2020-03-11 20:06:55+00:00,False,,2020-03-11 20:18:33,2020
167,192,14,0,1,4,0,True,True,True,2020-03-11 20:11:45+00:00,False,,2020-03-11 20:18:33,2020
168,193,9,0,0,6,0,True,True,True,2020-03-11 19:47:09+00:00,False,,2020-03-11 20:18:33,2020
169,194,10,0,0,9,0,True,True,True,2020-03-11 20:17:58+00:00,False,,2020-03-11 20:18:33,2020
170,195,1,0,0,22,0,True,True,True,2020-03-11 20:00:11+00:00,False,,2020-03-11 20:18:33,2020
171,196,3,0,0,7,0,True,True,True,2020-03-11 18:36:04+00:00,True,,2020-03-11 20:18:33,2020
172,197,0,0,0,15,0,True,True,True,2020-03-11 12:31:48+00:00,False,,2020-03-11 20:18:33,2020
173,199,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
174,200,16,0,0,3,0,True,True,True,2020-03-11 19:25:26+00:00,False,,2020-03-11 20:18:33,2020
175,201,2,0,0,13,0,True,True,True,2020-03-11 08:04:03+00:00,False,,2020-03-11 20:18:33,2020
176,202,1,0,0,14,0,True,True,True,2020-03-11 08:39:40+00:00,False,,2020-03-11 20:18:33,2020
177,203,0,0,0,15,0,True,True,True,2020-03-11 12:11:59+00:00,False,,2020-03-11 20:18:33,2020
178,204,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
179,205,2,0,1,12,0,True,True,True,2020-03-11 19:16:22+00:00,False,,2020-03-11 20:18:33,2020
180,206,16,0,0,7,0,True,True,True,2020-03-11 20:11:37+00:00,True,,2020-03-11 20:18:33,2020
181,208,4,0,0,11,0,True,True,True,2020-03-11 18:18:15+00:00,True,,2020-03-11 20:18:33,2020
