,num_bikes_available,station_id,num_ebikes_available,is_renting,num_docks_available,eightd_has_available_keys,legacy_id,is_installed,station_status,num_docks_disabled,is_returning,num_bikes_disabled,last_reported,timestamp_of_data_read_request,year_station_last_reported
187,10,215,0,True,2,False,215,True,active,0,True,3,2020-08-21 01:39:31+00:00,2020-08-21 01:59:05,2020
188,9,216,0,True,10,False,216,True,active,0,True,0,2020-08-21 01:06:11+00:00,2020-08-21 01:59:05,2020
189,0,217,0,True,18,False,217,True,active,0,True,1,2020-08-21 01:43:22+00:00,2020-08-21 01:59:05,2020
190,9,218,0,True,6,False,218,True,active,0,True,0,2020-08-21 01:51:43+00:00,2020-08-21 01:59:05,2020
191,5,219,0,True,10,False,219,True,active,0,True,0,2020-08-21 01:42:50+00:00,2020-08-21 01:59:05,2020
192,8,221,0,True,10,False,221,True,active,0,True,1,2020-08-21 01:56:33+00:00,2020-08-21 01:59:05,2020
193,3,222,0,True,11,True,222,True,active,0,True,0,2020-08-21 01:16:00+00:00,2020-08-21 01:59:05,2020
194,10,224,0,True,5,False,224,True,active,0,True,2,2020-08-20 23:45:00+00:00,2020-08-21 01:59:05,2020
195,13,225,0,True,6,False,225,True,active,0,True,0,2020-08-21 00:53:29+00:00,2020-08-21 01:59:05,2020
196,14,226,0,True,1,False,226,True,active,0,True,0,2020-08-21 01:39:37+00:00,2020-08-21 01:59:05,2020
197,12,227,0,True,7,False,227,True,active,0,True,0,2020-08-21 01:57:13+00:00,2020-08-21 01:59:05,2020
198,7,228,0,True,12,False,228,True,active,0,True,0,2020-08-21 01:23:34+00:00,2020-08-21 01:59:05,2020
199,1,232,0,True,10,False,232,True,active,0,True,0,2020-08-20 22:50:01+00:00,2020-08-21 01:59:05,2020
200,9,233,0,True,6,False,233,True,active,0,True,0,2020-08-21 01:54:00+00:00,2020-08-21 01:59:05,2020
201,5,234,0,True,10,False,234,True,active,0,True,0,2020-08-20 22:55:09+00:00,2020-08-21 01:59:05,2020
202,8,235,0,True,7,False,235,True,active,0,True,0,2020-08-21 01:49:53+00:00,2020-08-21 01:59:05,2020
203,9,236,0,True,6,False,236,True,active,0,True,0,2020-08-21 01:45:03+00:00,2020-08-21 01:59:05,2020
204,8,239,0,True,6,False,239,True,active,0,True,1,2020-08-21 00:43:32+00:00,2020-08-21 01:59:05,2020
205,6,255,0,True,9,False,255,True,active,0,True,0,2020-08-19 14:52:54+00:00,2020-08-21 01:59:05,2020
206,11,258,0,True,4,False,258,True,active,0,True,0,2020-08-21 00:18:57+00:00,2020-08-21 01:59:05,2020
207,9,259,0,True,6,False,259,True,active,0,True,0,2020-08-20 08:49:49+00:00,2020-08-21 01:59:05,2020
208,5,260,0,True,10,False,260,True,active,0,True,0,2020-08-20 21:42:06+00:00,2020-08-21 01:59:05,2020
209,10,271,0,True,5,False,271,True,active,0,True,0,2020-08-20 22:50:38+00:00,2020-08-21 01:59:05,2020
210,9,272,0,True,10,False,272,True,active,0,True,0,2020-08-21 00:26:45+00:00,2020-08-21 01:59:05,2020
211,36,273,0,True,4,False,273,True,active,0,True,0,2020-08-21 01:44:33+00:00,2020-08-21 01:59:05,2020
212,19,279,0,True,0,False,279,True,active,0,True,0,2020-08-20 23:20:52+00:00,2020-08-21 01:59:05,2020
213,17,280,0,True,2,False,280,True,active,0,True,0,2020-08-20 22:45:17+00:00,2020-08-21 01:59:05,2020
214,12,282,0,True,2,False,282,True,active,0,True,1,2020-08-21 01:35:06+00:00,2020-08-21 01:59:05,2020
215,4,296,0,True,18,False,296,True,active,0,True,1,2020-08-21 01:42:06+00:00,2020-08-21 01:59:05,2020
216,0,318,0,True,19,False,318,True,active,0,True,0,2020-08-21 01:40:43+00:00,2020-08-21 01:59:05,2020
217,5,319,0,True,20,False,319,True,active,0,True,0,2020-08-20 23:12:45+00:00,2020-08-21 01:59:05,2020
218,6,327,0,True,9,False,327,True,active,0,True,0,2020-08-21 00:33:40+00:00,2020-08-21 01:59:05,2020
219,14,328,0,True,1,False,328,True,active,0,True,0,2020-08-21 01:31:38+00:00,2020-08-21 01:59:05,2020
220,6,329,0,True,9,False,329,True,active,0,True,0,2020-08-21 01:37:38+00:00,2020-08-21 01:59:05,2020
221,7,330,0,True,8,False,330,True,active,0,True,0,2020-08-21 01:04:46+00:00,2020-08-21 01:59:05,2020
222,9,331,0,True,6,False,331,True,active,0,True,0,2020-08-21 01:26:39+00:00,2020-08-21 01:59:05,2020
223,12,332,0,True,3,False,332,True,active,0,True,0,2020-08-21 01:40:15+00:00,2020-08-21 01:59:05,2020
224,18,333,0,True,7,False,333,True,active,0,True,0,2020-08-20 23:50:39+00:00,2020-08-21 01:59:05,2020
225,19,334,0,True,0,False,334,True,active,0,True,0,2020-08-21 01:17:41+00:00,2020-08-21 01:59:05,2020
226,15,335,0,True,4,False,335,True,active,0,True,0,2020-08-21 01:46:50+00:00,2020-08-21 01:59:05,2020
