,num_docks_disabled,num_ebikes_available,is_renting,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,is_installed,legacy_id,last_reported,num_bikes_disabled,station_status,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
145,0,0,True,True,170,2,12,True,170,2020-08-06 16:10:57+00:00,0,active,True,,,2020-08-06 17:57:35,2020
146,0,0,True,True,171,7,16,True,171,2020-08-06 17:01:20+00:00,0,active,True,,,2020-08-06 17:57:35,2020
147,0,0,True,True,173,5,9,True,173,2020-08-06 16:08:00+00:00,0,active,True,,,2020-08-06 17:57:35,2020
148,0,0,True,False,174,0,14,True,174,2020-08-06 17:51:15+00:00,1,active,True,,,2020-08-06 17:57:35,2020
149,0,0,True,True,175,0,17,True,175,2020-08-06 17:57:06+00:00,0,active,True,,,2020-08-06 17:57:35,2020
150,0,0,True,False,176,3,12,True,176,2020-08-06 17:04:11+00:00,0,active,True,,,2020-08-06 17:57:35,2020
151,0,0,True,False,177,14,5,True,177,2020-08-06 17:19:30+00:00,0,active,True,,,2020-08-06 17:57:35,2020
152,0,0,True,False,178,3,15,True,178,2020-08-06 17:55:25+00:00,1,active,True,,,2020-08-06 17:57:35,2020
153,0,0,True,False,179,4,21,True,179,2020-08-06 17:55:31+00:00,0,active,True,,,2020-08-06 17:57:35,2020
154,0,0,True,False,180,13,6,True,180,2020-08-06 17:23:16+00:00,0,active,True,,,2020-08-06 17:57:35,2020
155,0,0,True,False,181,16,3,True,181,2020-08-06 17:17:26+00:00,0,active,True,,,2020-08-06 17:57:35,2020
156,0,0,True,True,182,9,10,True,182,2020-08-06 17:45:02+00:00,0,active,True,,,2020-08-06 17:57:35,2020
157,0,0,True,False,183,9,10,True,183,2020-08-06 17:55:37+00:00,0,active,True,,,2020-08-06 17:57:35,2020
158,0,0,True,False,184,15,3,True,184,2020-08-06 17:47:01+00:00,1,active,True,,,2020-08-06 17:57:35,2020
159,0,0,True,False,185,2,13,True,185,2020-08-06 17:06:40+00:00,0,active,True,,,2020-08-06 17:57:35,2020
160,0,0,True,True,186,8,7,True,186,2020-08-06 17:50:38+00:00,0,active,True,,,2020-08-06 17:57:35,2020
161,0,0,True,False,187,10,5,True,187,2020-08-06 16:43:14+00:00,0,active,True,,,2020-08-06 17:57:35,2020
162,0,0,True,False,188,11,4,True,188,2020-08-06 17:07:24+00:00,0,active,True,,,2020-08-06 17:57:35,2020
163,0,0,True,True,189,14,7,True,189,2020-08-06 17:53:01+00:00,2,active,True,,,2020-08-06 17:57:35,2020
164,0,0,True,True,190,11,25,True,190,2020-08-06 17:51:43+00:00,1,active,True,,,2020-08-06 17:57:35,2020
165,0,0,True,False,191,0,15,True,191,2020-08-06 12:55:07+00:00,0,active,True,,,2020-08-06 17:57:35,2020
166,0,0,True,False,192,13,6,True,192,2020-08-06 17:00:52+00:00,0,active,True,,,2020-08-06 17:57:35,2020
167,0,0,True,True,193,1,13,True,193,2020-08-06 14:23:10+00:00,1,active,True,,,2020-08-06 17:57:35,2020
168,0,0,True,False,194,5,14,True,194,2020-08-06 15:54:41+00:00,0,active,True,,,2020-08-06 17:57:35,2020
169,0,0,True,False,195,6,15,True,195,2020-08-06 17:51:52+00:00,2,active,True,,,2020-08-06 17:57:35,2020
170,0,0,True,True,196,2,8,True,196,2020-08-06 15:10:51+00:00,0,active,True,,,2020-08-06 17:57:35,2020
171,0,0,True,False,197,1,14,True,197,2020-08-06 17:14:45+00:00,0,active,True,,,2020-08-06 17:57:35,2020
172,0,0,True,False,199,2,13,True,199,2020-08-06 14:48:37+00:00,0,active,True,,,2020-08-06 17:57:35,2020
173,0,0,True,False,200,16,3,True,200,2020-08-06 17:47:44+00:00,0,active,True,,,2020-08-06 17:57:35,2020
174,0,0,True,False,201,4,11,True,201,2020-08-06 12:11:07+00:00,0,active,True,,,2020-08-06 17:57:35,2020
175,0,0,True,False,202,8,7,True,202,2020-08-06 17:15:07+00:00,0,active,True,,,2020-08-06 17:57:35,2020
176,0,0,True,False,203,5,10,True,203,2020-08-06 08:26:46+00:00,0,active,True,,,2020-08-06 17:57:35,2020
177,0,0,True,False,204,7,7,True,204,2020-08-06 15:18:10+00:00,1,active,True,,,2020-08-06 17:57:35,2020
178,0,0,True,False,205,9,6,True,205,2020-08-06 17:14:06+00:00,0,active,True,,,2020-08-06 17:57:35,2020
179,0,0,True,True,206,8,15,True,206,2020-08-06 17:35:06+00:00,0,active,True,,,2020-08-06 17:57:35,2020
180,0,0,True,True,208,10,5,True,208,2020-08-06 17:20:58+00:00,0,active,True,,,2020-08-06 17:57:35,2020
181,0,0,True,False,209,6,9,True,209,2020-08-06 17:16:46+00:00,0,active,True,,,2020-08-06 17:57:35,2020
182,0,0,True,False,210,1,14,True,210,2020-08-06 12:16:05+00:00,0,active,True,,,2020-08-06 17:57:35,2020
183,0,0,True,False,211,9,10,True,211,2020-08-06 17:38:35+00:00,0,active,True,,,2020-08-06 17:57:35,2020
184,0,0,True,False,212,18,14,True,212,2020-08-06 16:59:28+00:00,1,active,True,,,2020-08-06 17:57:35,2020
185,0,0,True,True,213,6,10,True,213,2020-08-06 17:01:55+00:00,0,active,True,,,2020-08-06 17:57:35,2020
186,0,0,True,False,214,13,2,True,214,2020-08-06 17:53:29+00:00,0,active,True,,,2020-08-06 17:57:35,2020
187,0,0,True,False,215,10,5,True,215,2020-08-06 17:20:08+00:00,0,active,True,,,2020-08-06 17:57:35,2020
188,0,0,True,False,216,17,2,True,216,2020-08-06 08:37:47+00:00,0,active,True,,,2020-08-06 17:57:35,2020
189,0,0,True,False,217,18,1,True,217,2020-08-06 17:55:44+00:00,0,active,True,,,2020-08-06 17:57:35,2020
190,0,0,True,False,218,4,11,True,218,2020-08-06 17:54:56+00:00,0,active,True,,,2020-08-06 17:57:35,2020
191,0,0,True,False,219,13,2,True,219,2020-08-06 08:13:18+00:00,0,active,True,,,2020-08-06 17:57:35,2020
192,0,0,True,False,221,4,15,True,221,2020-08-06 17:46:36+00:00,0,active,True,,,2020-08-06 17:57:35,2020
193,0,0,True,True,222,0,14,True,222,2020-08-06 17:41:08+00:00,0,active,True,,,2020-08-06 17:57:35,2020
194,0,0,True,False,224,9,7,True,224,2020-08-06 17:37:18+00:00,1,active,True,,,2020-08-06 17:57:35,2020
195,0,0,True,False,225,3,16,True,225,2020-08-06 17:55:59+00:00,0,active,True,,,2020-08-06 17:57:35,2020
196,0,0,True,False,226,0,15,True,226,2020-08-06 17:46:03+00:00,0,active,True,,,2020-08-06 17:57:35,2020
197,0,0,True,False,227,5,13,True,227,2020-08-06 17:53:05+00:00,1,active,True,,,2020-08-06 17:57:35,2020
198,0,0,True,False,228,2,17,True,228,2020-08-06 16:01:28+00:00,0,active,True,,,2020-08-06 17:57:35,2020
199,0,0,True,False,232,1,10,True,232,2020-08-06 12:04:12+00:00,0,active,True,,,2020-08-06 17:57:35,2020
200,0,0,True,False,233,10,5,True,233,2020-08-06 17:50:23+00:00,0,active,True,,,2020-08-06 17:57:35,2020
201,0,0,True,False,234,7,8,True,234,2020-08-06 14:26:02+00:00,0,active,True,,,2020-08-06 17:57:35,2020
202,0,0,True,False,235,1,13,True,235,2020-08-06 15:30:52+00:00,1,active,True,,,2020-08-06 17:57:35,2020
203,0,0,True,False,236,7,8,True,236,2020-08-06 16:56:03+00:00,0,active,True,,,2020-08-06 17:57:35,2020
204,0,0,True,False,239,9,6,True,239,2020-08-06 17:13:21+00:00,0,active,True,,,2020-08-06 17:57:35,2020
205,0,0,True,False,255,12,3,True,255,2020-08-06 08:38:19+00:00,0,active,True,,,2020-08-06 17:57:35,2020
206,0,0,True,False,258,7,8,True,258,2020-08-06 10:01:26+00:00,0,active,True,,,2020-08-06 17:57:35,2020
207,0,0,True,False,259,2,13,True,259,2020-08-06 12:36:54+00:00,0,active,True,,,2020-08-06 17:57:35,2020
208,0,0,True,False,260,8,7,True,260,2020-08-06 14:27:44+00:00,0,active,True,,,2020-08-06 17:57:35,2020
209,0,0,True,False,271,5,10,True,271,2020-08-06 17:26:07+00:00,0,active,True,,,2020-08-06 17:57:35,2020
210,0,0,True,False,272,5,14,True,272,2020-08-06 17:17:28+00:00,0,active,True,,,2020-08-06 17:57:35,2020
211,0,0,True,False,273,23,17,True,273,2020-08-06 17:16:15+00:00,0,active,True,,,2020-08-06 17:57:35,2020
212,0,0,True,False,279,9,10,True,279,2020-08-06 17:45:20+00:00,0,active,True,,,2020-08-06 17:57:35,2020
213,0,0,True,False,280,7,12,True,280,2020-08-06 17:53:56+00:00,0,active,True,,,2020-08-06 17:57:35,2020
