,eightd_has_available_keys,num_docks_disabled,last_reported,is_installed,legacy_id,station_status,is_renting,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
159,False,0,2020-08-11 06:14:59+00:00,True,185,active,True,9,185,True,0,6,0,2020-08-11 08:20:25,2020
160,True,0,2020-08-11 02:26:12+00:00,True,186,active,True,13,186,True,2,0,0,2020-08-11 08:20:25,2020
161,False,0,2020-08-11 00:24:38+00:00,True,187,active,True,13,187,True,0,2,0,2020-08-11 08:20:25,2020
162,False,0,2020-08-11 02:14:30+00:00,True,188,active,True,10,188,True,0,5,0,2020-08-11 08:20:25,2020
163,True,0,2020-08-11 04:02:54+00:00,True,189,active,True,8,189,True,1,14,0,2020-08-11 08:20:25,2020
164,True,0,2020-08-11 08:16:30+00:00,True,190,active,True,26,190,True,1,10,0,2020-08-11 08:20:25,2020
165,False,0,2020-08-11 05:36:28+00:00,True,191,active,True,3,191,True,0,12,0,2020-08-11 08:20:25,2020
166,False,0,2020-08-11 02:21:50+00:00,True,192,active,True,8,192,True,0,11,0,2020-08-11 08:20:25,2020
167,True,0,2020-08-11 01:49:48+00:00,True,193,active,True,6,193,True,0,9,0,2020-08-11 08:20:25,2020
168,False,0,2020-08-11 08:17:49+00:00,True,194,active,True,4,194,True,0,15,0,2020-08-11 08:20:25,2020
169,False,0,2020-08-11 04:48:33+00:00,True,195,active,True,15,195,True,1,7,0,2020-08-11 08:20:25,2020
170,True,0,2020-08-11 06:53:40+00:00,True,196,active,True,1,196,True,0,9,0,2020-08-11 08:20:25,2020
171,False,0,2020-08-11 08:01:22+00:00,True,197,active,True,1,197,True,0,14,0,2020-08-11 08:20:25,2020
172,False,0,2020-08-11 08:11:36+00:00,True,199,active,True,2,199,True,0,13,0,2020-08-11 08:20:25,2020
173,False,0,2020-08-11 06:30:40+00:00,True,200,active,True,12,200,True,2,5,0,2020-08-11 08:20:25,2020
174,False,0,2020-08-10 18:33:21+00:00,True,201,active,True,2,201,True,0,13,0,2020-08-11 08:20:25,2020
175,False,0,2020-08-11 08:11:59+00:00,True,202,active,True,4,202,True,0,11,0,2020-08-11 08:20:25,2020
176,False,0,2020-08-11 01:16:49+00:00,True,203,active,True,3,203,True,1,11,0,2020-08-11 08:20:25,2020
177,False,0,2020-08-11 01:31:16+00:00,True,204,active,True,3,204,True,0,12,0,2020-08-11 08:20:25,2020
178,False,0,2020-08-11 08:13:04+00:00,True,205,active,True,5,205,True,0,10,0,2020-08-11 08:20:25,2020
179,True,0,2020-08-11 07:54:31+00:00,True,206,active,True,2,206,True,0,21,0,2020-08-11 08:20:25,2020
180,True,0,2020-08-11 01:06:25+00:00,True,208,active,True,4,208,True,0,11,0,2020-08-11 08:20:25,2020
181,False,0,2020-08-10 22:38:44+00:00,True,209,active,True,8,209,True,0,7,0,2020-08-11 08:20:25,2020
182,False,0,2020-08-11 04:33:27+00:00,True,210,active,True,5,210,True,0,10,0,2020-08-11 08:20:25,2020
