,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,0,3,True,1,3,2020-08-08 23:29:04+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
1,True,0,0,4,True,15,4,2020-08-08 23:30:25+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
2,True,0,0,5,True,4,5,2020-08-08 23:34:48+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
3,True,1,0,6,True,3,6,2020-08-08 23:29:33+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
4,True,1,0,7,True,2,7,2020-08-08 23:31:31+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
5,True,0,0,8,True,8,8,2020-08-08 23:33:32+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
6,True,2,0,9,True,0,9,2020-08-08 22:52:10+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
7,True,1,0,10,True,0,10,2020-08-08 23:32:25+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
8,True,1,0,11,True,9,11,2020-08-08 23:36:28+00:00,5,True,active,0,False,,,2020-08-08 23:38:50,2020
9,True,0,0,12,True,1,12,2020-08-08 23:33:14+00:00,17,True,active,0,True,,,2020-08-08 23:38:50,2020
10,True,0,0,13,True,0,13,2020-08-08 23:33:21+00:00,19,True,active,0,False,,,2020-08-08 23:38:50,2020
11,True,1,0,14,True,1,14,2020-08-08 23:37:51+00:00,23,True,active,0,False,,,2020-08-08 23:38:50,2020
12,True,0,0,15,True,10,15,2020-08-08 22:41:53+00:00,5,True,active,0,False,,,2020-08-08 23:38:50,2020
13,True,0,0,16,True,3,16,2020-08-08 23:15:22+00:00,16,True,active,0,True,,,2020-08-08 23:38:50,2020
14,True,1,0,17,True,0,17,2020-08-08 23:33:31+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
15,True,0,0,19,True,4,19,2020-08-08 23:13:20+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
16,True,0,0,20,True,6,20,2020-08-08 23:24:17+00:00,17,True,active,0,True,,,2020-08-08 23:38:50,2020
17,True,0,0,21,True,13,21,2020-08-08 23:07:47+00:00,5,True,active,0,True,,,2020-08-08 23:38:50,2020
18,True,0,0,22,True,19,22,2020-08-08 23:37:44+00:00,28,True,active,0,True,,,2020-08-08 23:38:50,2020
19,True,0,0,23,True,12,23,2020-08-08 23:04:17+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
20,True,0,0,24,True,15,24,2020-08-08 23:37:41+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
21,True,0,0,25,True,8,25,2020-08-08 23:38:39+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
22,True,0,0,26,True,10,26,2020-08-08 23:11:38+00:00,5,True,active,0,False,,,2020-08-08 23:38:50,2020
23,True,0,0,27,True,0,27,2020-08-08 23:34:22+00:00,23,True,active,0,False,,,2020-08-08 23:38:50,2020
24,True,2,0,29,True,1,29,2020-08-08 22:45:03+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
25,True,0,0,30,True,3,30,2020-08-08 23:35:43+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
26,True,0,0,31,True,7,31,2020-08-08 23:30:04+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
27,True,2,0,32,True,0,32,2020-08-08 23:35:25+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
28,True,1,0,33,True,8,33,2020-08-08 23:38:39+00:00,18,True,active,0,False,,,2020-08-08 23:38:50,2020
29,True,1,0,35,True,12,35,2020-08-08 23:33:54+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
