,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
147,6,2020-08-18 21:17:41+00:00,173,0,True,0,8,active,True,True,173,0,True,,,2020-08-18 21:27:20,2020
148,13,2020-08-18 21:25:59+00:00,174,0,True,0,2,active,True,False,174,0,True,,,2020-08-18 21:27:20,2020
149,11,2020-08-18 21:24:50+00:00,175,0,True,0,6,active,True,True,175,0,True,,,2020-08-18 21:27:20,2020
150,8,2020-08-18 19:55:55+00:00,176,0,True,0,7,active,True,False,176,0,True,,,2020-08-18 21:27:20,2020
151,19,2020-08-18 21:07:32+00:00,177,0,True,0,0,active,True,False,177,0,True,,,2020-08-18 21:27:20,2020
152,11,2020-08-18 21:24:24+00:00,178,0,True,0,8,active,True,False,178,0,True,,,2020-08-18 21:27:20,2020
153,10,2020-08-18 21:26:51+00:00,179,0,True,0,15,active,True,False,179,0,True,,,2020-08-18 21:27:20,2020
154,5,2020-08-18 21:25:08+00:00,180,0,True,0,14,active,True,False,180,0,True,,,2020-08-18 21:27:20,2020
155,9,2020-08-18 21:10:26+00:00,181,0,True,0,10,active,True,False,181,0,True,,,2020-08-18 21:27:20,2020
156,14,2020-08-18 21:06:31+00:00,182,0,True,0,5,active,True,True,182,0,True,,,2020-08-18 21:27:20,2020
157,6,2020-08-18 21:22:27+00:00,183,0,True,0,13,active,True,False,183,0,True,,,2020-08-18 21:27:20,2020
158,13,2020-08-18 21:04:51+00:00,184,0,True,0,6,active,True,False,184,0,True,,,2020-08-18 21:27:20,2020
159,13,2020-08-18 21:21:24+00:00,185,0,True,0,1,active,True,False,185,1,True,,,2020-08-18 21:27:20,2020
160,11,2020-08-18 21:11:21+00:00,186,0,True,0,4,active,True,True,186,0,True,,,2020-08-18 21:27:20,2020
161,6,2020-08-18 21:09:42+00:00,187,0,True,0,9,active,True,False,187,0,True,,,2020-08-18 21:27:20,2020
162,3,2020-08-18 21:15:02+00:00,188,0,True,0,12,active,True,False,188,0,True,,,2020-08-18 21:27:20,2020
163,8,2020-08-18 21:24:53+00:00,189,0,True,0,15,active,True,True,189,0,True,,,2020-08-18 21:27:20,2020
164,18,2020-08-18 21:21:51+00:00,190,0,True,0,18,active,True,True,190,1,True,,,2020-08-18 21:27:20,2020
165,12,2020-08-18 21:27:03+00:00,191,0,True,0,2,active,True,False,191,1,True,,,2020-08-18 21:27:20,2020
166,19,2020-08-18 21:17:13+00:00,192,0,True,0,0,active,True,False,192,0,True,,,2020-08-18 21:27:20,2020
167,13,2020-08-18 21:03:58+00:00,193,0,True,0,2,active,True,True,193,0,True,,,2020-08-18 21:27:20,2020
168,16,2020-08-18 20:50:17+00:00,194,0,True,0,0,active,True,False,194,3,True,,,2020-08-18 21:27:20,2020
169,19,2020-08-18 21:15:22+00:00,195,0,True,0,3,active,True,False,195,1,True,,,2020-08-18 21:27:20,2020
170,10,2020-08-18 21:20:25+00:00,196,0,True,0,0,active,True,False,196,0,True,,,2020-08-18 21:27:20,2020
171,6,2020-08-18 21:12:39+00:00,197,0,True,0,9,active,True,False,197,0,True,,,2020-08-18 21:27:20,2020
172,6,2020-08-18 21:21:35+00:00,199,0,True,0,9,active,True,False,199,0,True,,,2020-08-18 21:27:20,2020
173,6,2020-08-18 21:18:28+00:00,200,0,True,0,13,active,True,False,200,0,True,,,2020-08-18 21:27:20,2020
174,10,2020-08-18 21:06:14+00:00,201,0,True,0,5,active,True,False,201,0,True,,,2020-08-18 21:27:20,2020
175,11,2020-08-18 19:28:12+00:00,202,0,True,0,3,active,True,False,202,1,True,,,2020-08-18 21:27:20,2020
176,7,2020-08-18 21:16:29+00:00,203,0,True,0,7,active,True,False,203,1,True,,,2020-08-18 21:27:20,2020
177,12,2020-08-18 19:08:19+00:00,204,0,True,0,3,active,True,False,204,0,True,,,2020-08-18 21:27:20,2020
178,11,2020-08-18 21:26:35+00:00,205,0,True,0,4,active,True,False,205,0,True,,,2020-08-18 21:27:20,2020
179,12,2020-08-18 21:23:06+00:00,206,0,True,0,10,active,True,True,206,1,True,,,2020-08-18 21:27:20,2020
180,7,2020-08-18 20:53:41+00:00,208,0,True,0,8,active,True,True,208,0,True,,,2020-08-18 21:27:20,2020
181,2,2020-08-18 21:20:16+00:00,209,0,True,0,12,active,True,False,209,1,True,,,2020-08-18 21:27:20,2020
182,11,2020-08-18 18:50:30+00:00,210,0,True,0,3,active,True,False,210,1,True,,,2020-08-18 21:27:20,2020
183,18,2020-08-18 21:14:10+00:00,211,0,True,0,1,active,True,False,211,0,True,,,2020-08-18 21:27:20,2020
184,32,2020-08-18 20:34:29+00:00,212,0,True,0,1,active,True,False,212,0,True,,,2020-08-18 21:27:20,2020
