,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
227,True,2020-08-11 13:58:40+00:00,0,1,8,active,True,True,0,336,False,336,6,,,2020-08-11 14:17:45,2020
228,True,2020-08-11 12:46:21+00:00,0,0,14,active,True,True,0,337,False,337,1,,,2020-08-11 14:17:45,2020
229,True,2020-08-11 12:00:14+00:00,0,0,1,active,True,True,0,338,False,338,14,,,2020-08-11 14:17:45,2020
230,True,2020-08-11 11:59:20+00:00,0,0,10,active,True,True,0,339,False,339,5,,,2020-08-11 14:17:45,2020
231,True,2020-08-11 11:04:47+00:00,0,0,18,active,True,True,0,340,False,340,1,,,2020-08-11 14:17:45,2020
232,True,2020-08-11 13:17:14+00:00,0,0,4,active,True,True,0,341,True,341,11,,,2020-08-11 14:17:45,2020
233,True,2020-08-11 14:13:30+00:00,0,0,5,active,True,True,0,342,False,342,10,,,2020-08-11 14:17:45,2020
234,True,2020-08-11 08:47:45+00:00,0,0,5,active,True,True,0,343,False,343,10,,,2020-08-11 14:17:45,2020
235,True,2020-08-11 12:09:59+00:00,0,0,1,active,True,True,0,344,False,344,18,,,2020-08-11 14:17:45,2020
236,True,2020-08-11 12:47:06+00:00,0,2,5,active,True,True,0,345,False,345,12,,,2020-08-11 14:17:45,2020
237,True,2020-08-11 14:16:46+00:00,0,0,3,active,True,True,0,346,False,346,12,,,2020-08-11 14:17:45,2020
238,True,2020-08-11 09:01:53+00:00,0,0,11,active,True,True,0,347,False,347,4,,,2020-08-11 14:17:45,2020
239,True,2020-08-11 11:53:10+00:00,0,1,4,active,True,True,0,348,False,348,10,,,2020-08-11 14:17:45,2020
240,True,2020-08-11 08:47:38+00:00,0,0,5,active,True,True,0,349,True,349,12,,,2020-08-11 14:17:45,2020
241,True,2020-08-11 09:53:47+00:00,0,0,14,active,True,True,0,350,False,350,3,,,2020-08-11 14:17:45,2020
242,True,2020-08-11 13:29:33+00:00,0,0,5,active,True,True,0,351,False,351,10,,,2020-08-11 14:17:45,2020
243,True,2020-08-11 14:02:38+00:00,0,0,8,active,True,True,0,352,False,352,7,,,2020-08-11 14:17:45,2020
244,True,2020-08-11 08:41:37+00:00,0,0,5,active,True,True,0,353,True,353,10,,,2020-08-11 14:17:45,2020
245,True,2020-08-11 12:59:02+00:00,0,1,0,active,True,True,0,354,False,354,14,,,2020-08-11 14:17:45,2020
246,True,2020-08-11 13:45:12+00:00,0,0,15,active,True,True,0,355,False,355,2,,,2020-08-11 14:17:45,2020
247,True,2020-08-11 14:13:07+00:00,0,0,14,active,True,True,0,356,False,356,9,,,2020-08-11 14:17:45,2020
248,True,2020-08-11 13:03:54+00:00,0,0,2,active,True,True,0,357,False,357,13,,,2020-08-11 14:17:45,2020
249,True,2020-08-11 13:20:46+00:00,0,0,12,active,True,True,0,358,False,358,7,,,2020-08-11 14:17:45,2020
250,True,2020-08-11 14:01:28+00:00,0,0,5,active,True,True,0,359,False,359,10,,,2020-08-11 14:17:45,2020
251,True,2020-08-11 13:31:54+00:00,0,0,0,active,True,True,0,360,False,360,15,,,2020-08-11 14:17:45,2020
