,station_id,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_status,num_docks_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
204,239,0,True,True,True,False,2020-07-31 23:17:40+00:00,0,0,1,active,14,239,,,2020-07-31 23:22:10,2020
205,255,0,True,True,True,False,2020-07-31 21:41:07+00:00,12,0,0,active,3,255,,,2020-07-31 23:22:10,2020
206,258,0,True,True,True,False,2020-07-31 23:21:09+00:00,10,0,0,active,5,258,,,2020-07-31 23:22:10,2020
207,259,0,True,True,True,False,2020-07-31 08:31:40+00:00,0,0,0,active,15,259,,,2020-07-31 23:22:10,2020
208,260,0,True,True,True,False,2020-07-31 23:08:11+00:00,8,0,0,active,7,260,,,2020-07-31 23:22:10,2020
209,271,0,True,True,True,False,2020-07-31 21:22:43+00:00,0,0,0,active,15,271,,,2020-07-31 23:22:10,2020
210,272,0,True,True,True,False,2020-07-31 22:36:37+00:00,7,0,2,active,10,272,,,2020-07-31 23:22:10,2020
211,273,0,True,True,True,False,2020-07-31 22:55:40+00:00,28,0,0,active,12,273,,,2020-07-31 23:22:10,2020
212,279,0,True,True,True,False,2020-07-31 22:36:34+00:00,8,0,0,active,11,279,,,2020-07-31 23:22:10,2020
213,280,0,True,True,True,False,2020-07-31 23:05:58+00:00,3,0,1,active,15,280,,,2020-07-31 23:22:10,2020
