,legacy_id,is_returning,eightd_has_available_keys,last_reported,num_bikes_available,station_id,num_ebikes_available,num_docks_disabled,is_renting,num_bikes_disabled,station_status,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
198,228,True,False,2020-08-06 21:08:47+00:00,6,228,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
199,232,True,False,2020-08-06 12:04:12+00:00,1,232,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
200,233,True,False,2020-08-06 21:23:42+00:00,9,233,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
201,234,True,False,2020-08-06 21:23:00+00:00,8,234,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
202,235,True,False,2020-08-06 20:53:01+00:00,1,235,0,0,True,1,active,13,True,,,2020-08-06 21:42:15,2020
203,236,True,False,2020-08-06 21:42:03+00:00,7,236,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
204,239,True,False,2020-08-06 21:27:21+00:00,8,239,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
205,255,True,False,2020-08-06 08:38:19+00:00,12,255,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
206,258,True,False,2020-08-06 21:35:48+00:00,7,258,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
207,259,True,False,2020-08-06 12:36:54+00:00,2,259,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
208,260,False,False,2020-08-06 20:43:38+00:00,9,260,0,0,False,0,active,6,True,,,2020-08-06 21:42:15,2020
209,271,True,False,2020-08-06 21:39:45+00:00,6,271,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
210,272,True,False,2020-08-06 18:07:04+00:00,6,272,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
211,273,True,False,2020-08-06 21:40:36+00:00,25,273,0,0,True,0,active,15,True,,,2020-08-06 21:42:15,2020
212,279,True,False,2020-08-06 21:21:28+00:00,6,279,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
213,280,True,False,2020-08-06 21:03:24+00:00,9,280,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
