,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
232,active,341,3,0,341,0,True,True,12,True,True,2020-08-21 16:22:12+00:00,0,,,2020-08-21 21:18:25,2020
233,active,342,10,0,342,0,True,True,5,True,False,2020-08-21 21:16:45+00:00,0,,,2020-08-21 21:18:25,2020
234,active,343,12,0,343,0,True,True,3,True,False,2020-08-21 08:51:37+00:00,0,,,2020-08-21 21:18:25,2020
235,active,344,18,0,344,0,True,True,1,True,False,2020-08-21 21:04:43+00:00,0,,,2020-08-21 21:18:25,2020
236,active,345,8,1,345,0,True,True,10,True,False,2020-08-21 21:03:49+00:00,0,,,2020-08-21 21:18:25,2020
237,active,346,13,0,346,0,True,True,2,True,False,2020-08-21 20:59:59+00:00,0,,,2020-08-21 21:18:25,2020
238,active,347,1,0,347,0,True,True,14,True,False,2020-08-21 18:50:00+00:00,0,,,2020-08-21 21:18:25,2020
239,active,348,8,0,348,0,True,True,7,True,False,2020-08-21 20:14:18+00:00,0,,,2020-08-21 21:18:25,2020
240,active,349,13,0,349,0,True,True,4,True,False,2020-08-21 18:44:35+00:00,0,,,2020-08-21 21:18:25,2020
241,active,350,5,0,350,0,True,True,12,True,False,2020-08-21 17:54:21+00:00,0,,,2020-08-21 21:18:25,2020
242,active,351,3,0,351,0,True,True,12,True,False,2020-08-21 20:45:46+00:00,0,,,2020-08-21 21:18:25,2020
243,active,352,10,0,352,0,True,True,5,True,False,2020-08-21 20:57:25+00:00,0,,,2020-08-21 21:18:25,2020
244,active,353,7,0,353,0,True,True,8,True,True,2020-08-21 13:30:07+00:00,0,,,2020-08-21 21:18:25,2020
245,active,354,14,0,354,0,True,True,1,True,False,2020-08-21 21:12:50+00:00,0,,,2020-08-21 21:18:25,2020
246,active,355,2,0,355,0,True,True,15,True,False,2020-08-21 20:54:29+00:00,0,,,2020-08-21 21:18:25,2020
247,active,356,9,0,356,0,True,True,14,True,False,2020-08-21 21:17:19+00:00,0,,,2020-08-21 21:18:25,2020
248,active,357,3,0,357,0,True,True,12,True,False,2020-08-21 21:17:04+00:00,0,,,2020-08-21 21:18:25,2020
249,active,358,7,0,358,0,True,True,12,True,False,2020-08-21 21:06:23+00:00,0,,,2020-08-21 21:18:25,2020
250,active,359,12,0,359,0,True,True,3,True,False,2020-08-21 20:59:29+00:00,0,,,2020-08-21 21:18:25,2020
251,active,360,14,0,360,0,True,True,1,True,False,2020-08-21 20:04:36+00:00,0,,,2020-08-21 21:18:25,2020
252,active,361,5,1,361,0,True,True,13,True,False,2020-08-21 21:15:25+00:00,0,,,2020-08-21 21:18:25,2020
253,active,362,2,0,362,0,True,True,17,True,False,2020-08-21 21:15:48+00:00,0,,,2020-08-21 21:18:25,2020
254,active,363,13,0,363,0,True,True,6,True,False,2020-08-21 21:16:48+00:00,0,,,2020-08-21 21:18:25,2020
255,active,364,16,1,364,0,True,True,2,True,False,2020-08-21 21:18:05+00:00,0,,,2020-08-21 21:18:25,2020
256,active,365,12,0,365,0,True,True,7,True,False,2020-08-21 21:00:52+00:00,0,,,2020-08-21 21:18:25,2020
257,out_of_service,366,0,0,366,0,True,True,0,False,False,1970-01-02 00:00:00+00:00,0,,,2020-08-21 21:18:25,1970
258,active,367,4,0,367,0,True,True,15,True,False,2020-08-21 16:29:35+00:00,0,,,2020-08-21 21:18:25,2020
259,active,368,13,0,368,0,True,True,2,True,False,2020-08-21 18:01:46+00:00,0,,,2020-08-21 21:18:25,2020
260,active,369,8,0,369,0,True,True,7,True,False,2020-08-21 21:16:26+00:00,0,,,2020-08-21 21:18:25,2020
261,active,370,5,0,370,0,True,True,14,True,False,2020-08-21 21:07:05+00:00,0,,,2020-08-21 21:18:25,2020
262,active,371,19,0,371,0,True,True,0,True,False,2020-08-21 20:56:29+00:00,0,,,2020-08-21 21:18:25,2020
263,active,372,12,0,372,0,True,True,7,True,False,2020-08-21 21:05:21+00:00,0,,,2020-08-21 21:18:25,2020
264,active,373,5,0,373,0,True,True,10,True,False,2020-08-21 15:23:46+00:00,0,,,2020-08-21 21:18:25,2020
265,active,374,5,0,374,0,True,True,14,True,False,2020-08-21 21:17:26+00:00,0,,,2020-08-21 21:18:25,2020
266,active,376,9,0,376,0,True,True,6,True,True,2020-08-21 21:12:55+00:00,0,,,2020-08-21 21:18:25,2020
267,active,377,17,0,377,0,True,True,2,True,False,2020-08-21 21:14:07+00:00,0,,,2020-08-21 21:18:25,2020
268,active,378,9,0,378,0,True,True,10,True,False,2020-08-21 20:58:01+00:00,0,,,2020-08-21 21:18:25,2020
269,active,379,5,0,379,0,True,True,10,True,False,2020-08-21 21:16:15+00:00,0,,,2020-08-21 21:18:25,2020
270,active,380,16,0,380,0,True,True,2,True,False,2020-08-21 21:15:08+00:00,0,,,2020-08-21 21:18:25,2020
271,active,381,17,0,381,0,True,True,2,True,False,2020-08-21 21:15:27+00:00,0,,,2020-08-21 21:18:25,2020
272,active,384,5,1,384,0,True,True,13,True,True,2020-08-21 21:08:04+00:00,0,,,2020-08-21 21:18:25,2020
273,active,385,10,0,385,1,True,True,4,True,False,2020-08-21 21:16:53+00:00,0,,,2020-08-21 21:18:25,2020
274,active,386,16,0,386,0,True,True,3,True,False,2020-08-21 21:17:21+00:00,0,,,2020-08-21 21:18:25,2020
275,active,387,7,0,387,0,True,True,8,True,False,2020-08-21 19:10:25+00:00,0,,,2020-08-21 21:18:25,2020
276,active,388,3,0,388,0,True,True,8,True,False,2020-08-20 09:01:03+00:00,0,,,2020-08-21 21:18:25,2020
277,active,389,8,0,389,0,True,True,6,True,False,2020-08-21 18:44:35+00:00,0,,,2020-08-21 21:18:25,2020
278,active,390,6,0,390,0,True,True,9,True,False,2020-08-21 17:53:00+00:00,0,,,2020-08-21 21:18:25,2020
279,active,391,3,0,391,0,True,True,12,True,False,2020-08-21 18:52:20+00:00,0,,,2020-08-21 21:18:25,2020
280,active,392,9,0,392,0,True,True,6,True,False,2020-08-21 14:38:17+00:00,0,,,2020-08-21 21:18:25,2020
281,active,393,6,0,393,0,True,True,9,True,False,2020-08-21 18:49:16+00:00,0,,,2020-08-21 21:18:25,2020
282,active,394,14,0,394,0,True,True,0,True,False,2020-08-20 09:00:38+00:00,0,,,2020-08-21 21:18:25,2020
283,active,395,3,0,395,0,True,True,12,True,False,2020-08-21 20:59:17+00:00,0,,,2020-08-21 21:18:25,2020
284,active,396,2,0,396,0,True,True,13,True,False,2020-08-21 16:20:39+00:00,0,,,2020-08-21 21:18:25,2020
285,active,397,5,0,397,0,True,True,10,True,False,2020-08-21 14:41:02+00:00,0,,,2020-08-21 21:18:25,2020
286,active,398,7,0,398,0,True,True,12,True,False,2020-08-21 21:15:08+00:00,0,,,2020-08-21 21:18:25,2020
287,active,399,0,1,399,0,True,True,14,True,False,2020-08-21 20:58:53+00:00,0,,,2020-08-21 21:18:25,2020
