,num_bikes_available,is_installed,is_returning,station_status,legacy_id,last_reported,is_renting,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
275,13,True,True,active,387,2020-08-10 20:55:53+00:00,True,0,387,0,1,1,False,,,2020-08-10 21:26:40,2020
276,5,True,True,active,388,2020-08-10 11:31:51+00:00,True,0,388,0,0,6,False,,,2020-08-10 21:26:40,2020
277,14,True,True,active,389,2020-08-10 21:07:52+00:00,True,0,389,0,0,0,False,,,2020-08-10 21:26:40,2020
278,15,True,True,active,390,2020-08-10 17:18:21+00:00,True,0,390,0,0,0,False,,,2020-08-10 21:26:40,2020
279,13,True,True,active,391,2020-08-10 18:39:43+00:00,True,0,391,0,0,2,False,,,2020-08-10 21:26:40,2020
280,9,True,True,active,392,2020-08-10 19:41:27+00:00,True,0,392,0,0,6,False,,,2020-08-10 21:26:40,2020
281,6,True,True,active,393,2020-08-10 01:22:59+00:00,True,0,393,0,1,8,False,,,2020-08-10 21:26:40,2020
282,1,True,True,active,394,2020-08-10 20:23:12+00:00,True,0,394,0,0,13,False,,,2020-08-10 21:26:40,2020
283,10,True,True,active,395,2020-08-10 16:55:20+00:00,True,0,395,0,0,5,False,,,2020-08-10 21:26:40,2020
284,11,True,True,active,396,2020-08-10 13:36:34+00:00,True,0,396,0,0,4,False,,,2020-08-10 21:26:40,2020
285,10,True,True,active,397,2020-08-10 19:26:42+00:00,True,0,397,0,0,5,False,,,2020-08-10 21:26:40,2020
286,15,True,True,active,398,2020-08-10 21:10:08+00:00,True,0,398,0,0,4,False,,,2020-08-10 21:26:40,2020
287,13,True,True,active,399,2020-08-10 21:21:36+00:00,True,0,399,0,0,2,False,,,2020-08-10 21:26:40,2020
288,9,True,True,active,400,2020-08-10 20:50:16+00:00,True,0,400,0,0,18,False,,,2020-08-10 21:26:40,2020
289,5,True,True,active,401,2020-08-10 20:57:49+00:00,True,0,401,0,0,10,False,,,2020-08-10 21:26:40,2020
290,5,True,True,active,402,2020-08-10 21:07:45+00:00,True,0,402,0,1,9,False,,,2020-08-10 21:26:40,2020
291,4,True,True,active,403,2020-08-10 20:59:51+00:00,True,0,403,0,1,10,False,,,2020-08-10 21:26:40,2020
292,2,True,True,active,404,2020-08-10 21:04:21+00:00,True,0,404,0,1,13,False,,,2020-08-10 21:26:40,2020
293,4,True,True,active,405,2020-08-10 21:20:06+00:00,True,0,405,0,0,15,False,,,2020-08-10 21:26:40,2020
294,15,True,True,active,406,2020-08-10 20:32:06+00:00,True,0,406,0,0,4,False,,,2020-08-10 21:26:40,2020
295,3,True,True,active,407,2020-08-10 21:21:46+00:00,True,0,407,0,0,16,False,,,2020-08-10 21:26:40,2020
296,7,True,True,active,408,2020-08-10 21:01:40+00:00,True,0,408,0,0,8,False,,,2020-08-10 21:26:40,2020
297,13,True,True,active,409,2020-08-10 21:11:49+00:00,True,0,409,0,0,6,False,,,2020-08-10 21:26:40,2020
298,15,True,True,active,410,2020-08-10 14:45:26+00:00,True,0,410,0,0,4,False,,,2020-08-10 21:26:40,2020
299,5,True,True,active,411,2020-08-10 16:41:54+00:00,True,0,411,0,0,10,False,,,2020-08-10 21:26:40,2020
300,18,True,True,active,412,2020-08-10 20:55:08+00:00,True,0,412,0,1,0,False,,,2020-08-10 21:26:40,2020
301,11,True,True,active,413,2020-08-10 21:15:50+00:00,True,0,413,0,0,8,False,,,2020-08-10 21:26:40,2020
302,1,True,True,active,414,2020-08-10 20:50:57+00:00,True,0,414,0,0,22,False,,,2020-08-10 21:26:40,2020
303,13,True,True,active,415,2020-08-10 21:15:47+00:00,True,0,415,0,1,5,False,,,2020-08-10 21:26:40,2020
304,5,True,True,active,416,2020-08-10 21:26:32+00:00,True,0,416,0,0,10,False,,,2020-08-10 21:26:40,2020
305,6,True,True,active,417,2020-08-10 21:24:59+00:00,True,0,417,0,0,13,False,,,2020-08-10 21:26:40,2020
306,12,True,True,active,419,2020-08-10 19:21:54+00:00,True,0,419,0,1,2,False,,,2020-08-10 21:26:40,2020
307,0,False,False,out_of_service,420,1970-01-02 00:00:00+00:00,False,0,420,0,0,0,False,,,2020-08-10 21:26:40,1970
308,15,True,True,active,421,2020-08-10 15:34:47+00:00,True,0,421,0,2,2,False,,,2020-08-10 21:26:40,2020
309,13,True,True,active,422,2020-08-10 14:46:48+00:00,True,0,422,0,2,0,False,,,2020-08-10 21:26:40,2020
310,4,True,True,active,423,2020-08-10 20:54:39+00:00,True,0,423,0,0,15,False,,,2020-08-10 21:26:40,2020
311,8,True,True,active,424,2020-08-10 21:16:14+00:00,True,0,424,0,0,11,False,,,2020-08-10 21:26:40,2020
312,7,True,True,active,425,2020-08-10 20:19:28+00:00,True,0,425,0,0,9,False,,,2020-08-10 21:26:40,2020
313,12,True,True,active,426,2020-08-10 21:22:11+00:00,True,0,426,0,0,15,False,,,2020-08-10 21:26:40,2020
314,2,True,True,active,427,2020-08-10 14:34:54+00:00,True,0,427,0,0,17,False,,,2020-08-10 21:26:40,2020
315,16,True,True,active,428,2020-08-10 21:23:40+00:00,True,0,428,0,0,3,False,,,2020-08-10 21:26:40,2020
316,14,True,True,active,430,2020-08-10 19:45:33+00:00,True,0,430,0,2,3,False,,,2020-08-10 21:26:40,2020
317,1,True,True,active,431,2020-08-10 19:47:28+00:00,True,0,431,0,0,14,False,,,2020-08-10 21:26:40,2020
318,9,True,True,active,432,2020-08-10 08:55:36+00:00,True,0,432,0,0,10,False,,,2020-08-10 21:26:40,2020
319,0,True,True,active,433,2020-08-10 21:19:24+00:00,True,0,433,0,1,18,False,,,2020-08-10 21:26:40,2020
320,0,True,True,active,434,2020-08-10 08:56:28+00:00,True,0,434,0,0,19,False,,,2020-08-10 21:26:40,2020
