,is_returning,num_docks_available,last_reported,num_docks_disabled,legacy_id,num_ebikes_available,is_installed,num_bikes_disabled,num_bikes_available,station_status,station_id,eightd_has_available_keys,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
169,True,18,2020-08-10 22:35:43+00:00,0,195,0,True,0,5,active,195,False,True,,,2020-08-10 22:38:15,2020
170,True,8,2020-08-10 20:49:32+00:00,0,196,0,True,0,2,active,196,True,True,,,2020-08-10 22:38:15,2020
171,True,14,2020-08-10 21:50:27+00:00,0,197,0,True,0,1,active,197,False,True,,,2020-08-10 22:38:15,2020
172,True,14,2020-08-10 20:37:22+00:00,0,199,0,True,0,1,active,199,False,True,,,2020-08-10 22:38:15,2020
173,True,6,2020-08-10 22:16:28+00:00,0,200,0,True,2,11,active,200,False,True,,,2020-08-10 22:38:15,2020
174,True,13,2020-08-10 18:33:21+00:00,0,201,0,True,0,2,active,201,False,True,,,2020-08-10 22:38:15,2020
175,True,10,2020-08-10 14:34:46+00:00,0,202,0,True,0,5,active,202,False,True,,,2020-08-10 22:38:15,2020
176,True,12,2020-08-10 08:40:54+00:00,0,203,0,True,1,2,active,203,False,True,,,2020-08-10 22:38:15,2020
177,True,13,2020-08-10 20:22:41+00:00,0,204,0,True,0,2,active,204,False,True,,,2020-08-10 22:38:15,2020
178,True,13,2020-08-10 21:33:12+00:00,0,205,0,True,0,2,active,205,False,True,,,2020-08-10 22:38:15,2020
179,True,17,2020-08-10 22:27:32+00:00,0,206,0,True,0,6,active,206,True,True,,,2020-08-10 22:38:15,2020
180,True,13,2020-08-10 22:02:17+00:00,0,208,0,True,0,2,active,208,True,True,,,2020-08-10 22:38:15,2020
181,True,6,2020-08-10 22:24:20+00:00,0,209,0,True,0,9,active,209,False,True,,,2020-08-10 22:38:15,2020
182,True,12,2020-08-10 22:12:16+00:00,0,210,0,True,0,3,active,210,False,True,,,2020-08-10 22:38:15,2020
183,True,10,2020-08-10 22:31:13+00:00,0,211,0,True,0,9,active,211,False,True,,,2020-08-10 22:38:15,2020
184,True,5,2020-08-10 22:13:09+00:00,0,212,0,True,1,27,active,212,False,True,,,2020-08-10 22:38:15,2020
185,True,12,2020-08-10 19:26:49+00:00,0,213,0,True,0,4,active,213,True,True,,,2020-08-10 22:38:15,2020
186,True,11,2020-08-10 22:29:14+00:00,0,214,0,True,0,4,active,214,False,True,,,2020-08-10 22:38:15,2020
187,True,7,2020-08-10 08:51:06+00:00,0,215,0,True,0,8,active,215,False,True,,,2020-08-10 22:38:15,2020
188,True,1,2020-08-10 22:33:08+00:00,0,216,0,True,1,17,active,216,False,True,,,2020-08-10 22:38:15,2020
189,True,11,2020-08-10 21:42:48+00:00,0,217,0,True,0,8,active,217,False,True,,,2020-08-10 22:38:15,2020
190,True,8,2020-08-10 22:28:59+00:00,0,218,0,True,1,6,active,218,False,True,,,2020-08-10 22:38:15,2020
191,True,11,2020-08-10 22:12:21+00:00,0,219,0,True,0,4,active,219,False,True,,,2020-08-10 22:38:15,2020
192,True,11,2020-08-10 22:35:09+00:00,0,221,0,True,0,8,active,221,False,True,,,2020-08-10 22:38:15,2020
193,True,8,2020-08-10 21:32:59+00:00,0,222,0,True,0,6,active,222,True,True,,,2020-08-10 22:38:15,2020
194,True,6,2020-08-10 21:44:49+00:00,0,224,0,True,0,11,active,224,False,True,,,2020-08-10 22:38:15,2020
195,True,12,2020-08-10 22:30:20+00:00,0,225,0,True,0,7,active,225,False,True,,,2020-08-10 22:38:15,2020
196,True,15,2020-08-10 22:35:10+00:00,0,226,0,True,0,0,active,226,False,True,,,2020-08-10 22:38:15,2020
197,True,8,2020-08-10 22:35:40+00:00,0,227,0,True,0,11,active,227,False,True,,,2020-08-10 22:38:15,2020
198,True,10,2020-08-10 21:54:14+00:00,0,228,0,True,0,9,active,228,False,True,,,2020-08-10 22:38:15,2020
199,True,4,2020-08-10 20:26:30+00:00,0,232,0,True,0,7,active,232,False,True,,,2020-08-10 22:38:15,2020
200,True,4,2020-08-10 22:17:59+00:00,0,233,0,True,2,9,active,233,False,True,,,2020-08-10 22:38:15,2020
201,True,14,2020-08-10 22:33:27+00:00,0,234,0,True,0,1,active,234,False,True,,,2020-08-10 22:38:15,2020
202,True,10,2020-08-10 20:46:12+00:00,0,235,0,True,0,5,active,235,False,True,,,2020-08-10 22:38:15,2020
203,True,3,2020-08-10 22:21:08+00:00,0,236,0,True,0,12,active,236,False,True,,,2020-08-10 22:38:15,2020
204,True,14,2020-08-10 22:34:35+00:00,0,239,0,True,0,1,active,239,False,True,,,2020-08-10 22:38:15,2020
205,True,5,2020-08-10 21:07:16+00:00,0,255,0,True,0,10,active,255,False,True,,,2020-08-10 22:38:15,2020
206,True,8,2020-08-10 22:07:15+00:00,0,258,0,True,1,6,active,258,False,True,,,2020-08-10 22:38:15,2020
207,True,1,2020-08-09 16:59:55+00:00,0,259,0,True,0,14,active,259,False,True,,,2020-08-10 22:38:15,2020
208,True,1,2020-08-10 21:43:08+00:00,0,260,0,True,0,14,active,260,False,True,,,2020-08-10 22:38:15,2020
209,True,9,2020-08-10 22:22:44+00:00,0,271,0,True,0,6,active,271,False,True,,,2020-08-10 22:38:15,2020
210,True,11,2020-08-10 22:13:32+00:00,0,272,0,True,1,7,active,272,False,True,,,2020-08-10 22:38:15,2020
211,True,16,2020-08-10 22:15:16+00:00,0,273,0,True,5,19,active,273,False,True,,,2020-08-10 22:38:15,2020
212,True,1,2020-08-10 22:30:36+00:00,0,279,0,True,0,18,active,279,False,True,,,2020-08-10 22:38:15,2020
213,True,12,2020-08-10 22:35:28+00:00,0,280,0,True,0,7,active,280,False,True,,,2020-08-10 22:38:15,2020
214,True,6,2020-08-10 22:29:19+00:00,0,282,0,True,2,7,active,282,False,True,,,2020-08-10 22:38:15,2020
215,True,11,2020-08-10 22:37:02+00:00,0,296,0,True,1,11,active,296,False,True,,,2020-08-10 22:38:15,2020
216,True,13,2020-08-10 22:28:17+00:00,0,318,0,True,0,6,active,318,False,True,,,2020-08-10 22:38:15,2020
