,is_returning,num_bikes_available,is_installed,is_renting,station_status,num_docks_disabled,num_bikes_disabled,legacy_id,num_docks_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
191,True,9,True,True,active,0,0,219,6,2020-07-29 00:46:07+00:00,0,219,False,,,2020-07-29 06:44:15,2020
192,True,5,True,True,active,0,0,221,14,2020-07-29 05:23:22+00:00,0,221,False,,,2020-07-29 06:44:15,2020
193,True,5,True,True,active,0,0,222,9,2020-07-29 03:27:21+00:00,0,222,True,,,2020-07-29 06:44:15,2020
194,True,8,True,True,active,0,0,224,9,2020-07-29 00:34:11+00:00,0,224,False,,,2020-07-29 06:44:15,2020
195,True,16,True,True,active,0,2,225,1,2020-07-29 05:02:13+00:00,0,225,False,,,2020-07-29 06:44:15,2020
196,True,9,True,True,active,0,0,226,6,2020-07-29 05:06:08+00:00,0,226,False,,,2020-07-29 06:44:15,2020
197,True,5,True,True,active,0,0,227,14,2020-07-29 06:39:40+00:00,0,227,False,,,2020-07-29 06:44:15,2020
198,True,1,True,True,active,0,0,228,18,2020-07-29 02:36:08+00:00,0,228,False,,,2020-07-29 06:44:15,2020
199,True,5,True,True,active,0,0,232,6,2020-07-29 01:24:59+00:00,0,232,False,,,2020-07-29 06:44:15,2020
200,True,12,True,True,active,0,0,233,3,2020-07-29 06:39:42+00:00,0,233,False,,,2020-07-29 06:44:15,2020
201,True,6,True,True,active,0,0,234,9,2020-07-29 01:56:49+00:00,0,234,False,,,2020-07-29 06:44:15,2020
202,True,15,True,True,active,0,0,235,0,2020-07-29 01:48:32+00:00,0,235,False,,,2020-07-29 06:44:15,2020
203,True,9,True,True,active,0,0,236,6,2020-07-29 02:12:50+00:00,0,236,False,,,2020-07-29 06:44:15,2020
204,True,9,True,True,active,0,0,239,6,2020-07-29 05:38:42+00:00,0,239,False,,,2020-07-29 06:44:15,2020
205,True,10,True,True,active,0,0,255,5,2020-07-29 00:45:45+00:00,0,255,False,,,2020-07-29 06:44:15,2020
206,True,8,True,True,active,0,0,258,7,2020-07-29 04:18:00+00:00,0,258,False,,,2020-07-29 06:44:15,2020
207,True,1,True,True,active,0,1,259,13,2020-07-28 22:00:07+00:00,0,259,False,,,2020-07-29 06:44:15,2020
208,False,13,True,False,active,0,0,260,2,2020-07-28 17:40:18+00:00,0,260,False,,,2020-07-29 06:44:15,2020
209,True,3,True,True,active,0,1,271,11,2020-07-29 04:25:30+00:00,0,271,False,,,2020-07-29 06:44:15,2020
210,True,13,True,True,active,0,0,272,6,2020-07-29 04:37:55+00:00,0,272,False,,,2020-07-29 06:44:15,2020
211,True,27,True,True,active,0,1,273,12,2020-07-29 04:30:26+00:00,0,273,False,,,2020-07-29 06:44:15,2020
212,True,8,True,True,active,0,0,279,11,2020-07-29 03:57:37+00:00,0,279,False,,,2020-07-29 06:44:15,2020
213,True,10,True,True,active,0,0,280,9,2020-07-29 05:12:09+00:00,0,280,False,,,2020-07-29 06:44:15,2020
214,True,11,True,True,active,0,0,282,4,2020-07-29 06:25:25+00:00,0,282,False,,,2020-07-29 06:44:15,2020
215,True,8,True,True,active,0,0,296,15,2020-07-29 05:51:03+00:00,0,296,False,,,2020-07-29 06:44:15,2020
216,True,0,True,True,active,0,1,318,18,2020-07-29 04:22:39+00:00,0,318,False,,,2020-07-29 06:44:15,2020
217,True,14,True,True,active,0,0,319,11,2020-07-29 01:38:12+00:00,0,319,False,,,2020-07-29 06:44:15,2020
218,True,15,True,True,active,0,0,327,0,2020-07-29 02:05:10+00:00,0,327,False,,,2020-07-29 06:44:15,2020
219,True,8,True,True,active,0,0,328,7,2020-07-29 03:14:05+00:00,0,328,False,,,2020-07-29 06:44:15,2020
220,True,13,True,True,active,0,0,329,2,2020-07-29 05:36:30+00:00,0,329,False,,,2020-07-29 06:44:15,2020
221,True,5,True,True,active,0,0,330,10,2020-07-29 02:34:17+00:00,0,330,False,,,2020-07-29 06:44:15,2020
222,True,11,True,True,active,0,0,331,4,2020-07-29 05:41:14+00:00,0,331,False,,,2020-07-29 06:44:15,2020
223,True,14,True,True,active,0,1,332,0,2020-07-29 04:08:26+00:00,0,332,False,,,2020-07-29 06:44:15,2020
224,True,24,True,True,active,0,0,333,1,2020-07-29 03:53:09+00:00,0,333,False,,,2020-07-29 06:44:15,2020
