,is_returning,station_status,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,is_renting,last_reported,station_id,num_ebikes_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
305,True,active,3,0,417,False,True,16,True,2020-08-10 18:50:19+00:00,417,0,0,,,2020-08-10 19:24:10,2020
306,True,active,12,0,419,False,True,2,True,2020-08-10 19:21:54+00:00,419,0,1,,,2020-08-10 19:24:10,2020
307,False,out_of_service,0,0,420,False,False,0,False,1970-01-02 00:00:00+00:00,420,0,0,,,2020-08-10 19:24:10,1970
308,True,active,15,0,421,False,True,2,True,2020-08-10 15:34:47+00:00,421,0,2,,,2020-08-10 19:24:10,2020
309,True,active,13,0,422,False,True,0,True,2020-08-10 14:46:48+00:00,422,0,2,,,2020-08-10 19:24:10,2020
310,True,active,4,0,423,False,True,15,True,2020-08-10 15:09:55+00:00,423,0,0,,,2020-08-10 19:24:10,2020
311,True,active,7,0,424,False,True,12,True,2020-08-10 18:06:44+00:00,424,0,0,,,2020-08-10 19:24:10,2020
312,True,active,6,0,425,False,True,10,True,2020-08-10 19:23:23+00:00,425,0,0,,,2020-08-10 19:24:10,2020
313,True,active,23,0,426,False,True,4,True,2020-08-10 17:34:30+00:00,426,0,0,,,2020-08-10 19:24:10,2020
314,True,active,2,0,427,False,True,17,True,2020-08-10 14:34:54+00:00,427,0,0,,,2020-08-10 19:24:10,2020
315,True,active,19,0,428,False,True,0,True,2020-08-10 11:51:19+00:00,428,0,0,,,2020-08-10 19:24:10,2020
316,True,active,16,0,430,False,True,3,True,2020-08-10 19:22:42+00:00,430,0,0,,,2020-08-10 19:24:10,2020
317,True,active,0,0,431,False,True,15,True,2020-08-10 10:14:52+00:00,431,0,0,,,2020-08-10 19:24:10,2020
318,True,active,9,0,432,False,True,10,True,2020-08-10 08:55:36+00:00,432,0,0,,,2020-08-10 19:24:10,2020
319,True,active,1,0,433,False,True,17,True,2020-08-10 15:39:35+00:00,433,0,1,,,2020-08-10 19:24:10,2020
320,True,active,0,0,434,False,True,19,True,2020-08-10 08:56:28+00:00,434,0,0,,,2020-08-10 19:24:10,2020
321,True,active,7,0,435,False,True,8,True,2020-08-10 19:23:56+00:00,435,0,0,,,2020-08-10 19:24:10,2020
322,True,active,4,0,436,False,True,11,True,2020-08-10 17:44:59+00:00,436,0,0,,,2020-08-10 19:24:10,2020
323,True,active,8,0,437,False,True,11,True,2020-08-10 19:07:29+00:00,437,0,0,,,2020-08-10 19:24:10,2020
324,True,active,4,0,440,False,True,13,True,2020-08-10 17:30:25+00:00,440,0,0,,,2020-08-10 19:24:10,2020
325,True,active,8,0,441,False,True,11,True,2020-08-10 17:55:11+00:00,441,0,0,,,2020-08-10 19:24:10,2020
326,True,active,10,0,442,False,True,5,True,2020-08-10 18:17:17+00:00,442,0,0,,,2020-08-10 19:24:10,2020
327,True,active,4,0,443,False,True,15,True,2020-08-10 13:53:34+00:00,443,0,0,,,2020-08-10 19:24:10,2020
328,True,active,8,0,445,False,True,11,True,2020-08-10 17:16:52+00:00,445,0,0,,,2020-08-10 19:24:10,2020
329,True,active,8,0,446,False,True,4,True,2020-08-10 18:41:22+00:00,446,0,0,,,2020-08-10 19:24:10,2020
330,True,active,0,0,447,False,True,19,True,2020-08-09 09:00:50+00:00,447,0,0,,,2020-08-10 19:24:10,2020
331,True,active,2,0,448,False,True,9,True,2020-08-10 07:51:17+00:00,448,0,0,,,2020-08-10 19:24:10,2020
332,True,out_of_service,0,0,449,False,False,0,True,1970-01-02 00:00:00+00:00,449,0,0,,,2020-08-10 19:24:10,1970
333,True,active,1,0,450,False,True,14,True,2020-08-10 18:10:34+00:00,450,0,0,,,2020-08-10 19:24:10,2020
334,True,active,1,0,451,False,True,14,True,2020-08-10 19:15:15+00:00,451,0,0,,,2020-08-10 19:24:10,2020
335,True,active,11,0,452,False,True,4,True,2020-08-10 19:16:44+00:00,452,0,0,,,2020-08-10 19:24:10,2020
336,True,active,3,0,453,False,True,12,True,2020-08-10 17:06:29+00:00,453,0,0,,,2020-08-10 19:24:10,2020
337,True,active,13,0,454,False,True,1,True,2020-08-10 19:19:26+00:00,454,0,1,,,2020-08-10 19:24:10,2020
338,True,active,1,0,455,False,True,10,True,2020-08-10 19:03:07+00:00,455,0,1,,,2020-08-10 19:24:10,2020
339,True,active,9,0,456,False,True,10,True,2020-08-10 15:44:15+00:00,456,0,0,,,2020-08-10 19:24:10,2020
340,True,active,1,0,457,False,True,10,True,2020-08-10 16:40:41+00:00,457,0,0,,,2020-08-10 19:24:10,2020
341,True,active,4,0,458,False,True,7,True,2020-08-10 17:02:30+00:00,458,0,0,,,2020-08-10 19:24:10,2020
