,legacy_id,num_docks_available,is_renting,is_returning,is_installed,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,num_bikes_available,last_reported,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
135,152,13,True,True,True,active,0,152,True,0,2,2020-08-13 00:44:52+00:00,0,2020-08-13 01:43:35,2020
136,156,10,True,True,True,active,0,156,False,0,5,2020-08-13 00:11:32+00:00,0,2020-08-13 01:43:35,2020
137,157,14,True,True,True,active,0,157,False,0,0,2020-08-13 01:32:41+00:00,1,2020-08-13 01:43:35,2020
138,159,5,True,True,True,active,0,159,False,0,10,2020-08-13 01:02:08+00:00,0,2020-08-13 01:43:35,2020
139,160,14,True,True,True,active,0,160,True,0,0,2020-08-13 00:40:05+00:00,0,2020-08-13 01:43:35,2020
140,161,2,True,True,True,active,0,161,True,0,19,2020-08-13 01:27:37+00:00,2,2020-08-13 01:43:35,2020
141,162,11,True,True,True,active,0,162,False,0,4,2020-08-13 00:33:50+00:00,0,2020-08-13 01:43:35,2020
142,163,9,True,True,True,active,0,163,True,0,10,2020-08-13 00:26:47+00:00,0,2020-08-13 01:43:35,2020
143,167,10,True,True,True,active,0,167,False,0,5,2020-08-13 00:23:54+00:00,0,2020-08-13 01:43:35,2020
144,169,8,True,True,True,active,0,169,False,0,11,2020-08-13 00:38:59+00:00,0,2020-08-13 01:43:35,2020
145,170,9,True,True,True,active,0,170,True,0,4,2020-08-12 23:30:14+00:00,1,2020-08-13 01:43:35,2020
146,171,13,True,True,True,active,0,171,True,0,10,2020-08-12 23:58:34+00:00,0,2020-08-13 01:43:35,2020
147,173,5,True,True,True,active,0,173,True,0,9,2020-08-13 00:52:44+00:00,0,2020-08-13 01:43:35,2020
148,174,12,True,True,True,active,0,174,False,0,2,2020-08-13 01:35:15+00:00,1,2020-08-13 01:43:35,2020
149,175,11,True,True,True,active,0,175,True,0,5,2020-08-13 01:09:33+00:00,1,2020-08-13 01:43:35,2020
150,176,1,True,True,True,active,0,176,False,0,14,2020-08-13 01:36:23+00:00,0,2020-08-13 01:43:35,2020
151,177,9,True,True,True,active,0,177,False,0,9,2020-08-13 01:43:16+00:00,1,2020-08-13 01:43:35,2020
152,178,17,True,True,True,active,0,178,False,0,2,2020-08-13 01:41:06+00:00,0,2020-08-13 01:43:35,2020
153,179,9,True,True,True,active,0,179,False,0,16,2020-08-13 01:14:27+00:00,0,2020-08-13 01:43:35,2020
154,180,11,True,True,True,active,0,180,False,0,8,2020-08-13 00:56:11+00:00,0,2020-08-13 01:43:35,2020
155,181,9,True,True,True,active,0,181,False,0,10,2020-08-13 01:11:43+00:00,0,2020-08-13 01:43:35,2020
156,182,18,True,True,True,active,0,182,True,0,1,2020-08-12 23:42:13+00:00,0,2020-08-13 01:43:35,2020
