,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
212,273,18,0,1,21,0,True,True,True,2020-03-18 22:38:48+00:00,False,2020-03-19 00:24:32,2020
213,279,11,0,0,8,0,True,True,True,2020-03-18 23:20:02+00:00,False,2020-03-19 00:24:32,2020
214,280,9,0,0,10,0,True,True,True,2020-03-18 23:41:45+00:00,False,2020-03-19 00:24:32,2020
215,282,8,0,0,7,0,True,True,True,2020-03-18 22:46:57+00:00,False,2020-03-19 00:24:32,2020
216,296,22,0,1,0,0,True,True,True,2020-03-18 22:49:27+00:00,False,2020-03-19 00:24:32,2020
217,318,18,0,0,1,0,True,True,True,2020-03-18 22:41:54+00:00,False,2020-03-19 00:24:32,2020
218,319,10,0,0,15,0,True,True,True,2020-03-18 19:18:55+00:00,False,2020-03-19 00:24:32,2020
219,327,8,0,0,7,0,True,True,True,2020-03-18 23:04:51+00:00,False,2020-03-19 00:24:32,2020
220,328,4,0,0,11,0,True,True,True,2020-03-18 23:05:50+00:00,False,2020-03-19 00:24:32,2020
221,329,13,0,0,2,0,True,True,True,2020-03-18 21:05:29+00:00,False,2020-03-19 00:24:32,2020
222,330,11,0,0,4,0,True,True,True,2020-03-19 00:16:29+00:00,False,2020-03-19 00:24:32,2020
223,331,14,0,0,1,0,True,True,True,2020-03-18 23:06:54+00:00,False,2020-03-19 00:24:32,2020
224,332,11,0,0,4,0,True,True,True,2020-03-18 23:27:55+00:00,False,2020-03-19 00:24:32,2020
225,333,10,0,0,15,0,True,True,True,2020-03-18 22:12:32+00:00,False,2020-03-19 00:24:32,2020
226,334,11,0,0,8,0,True,True,True,2020-03-18 21:14:34+00:00,False,2020-03-19 00:24:32,2020
227,335,15,0,2,2,0,True,True,True,2020-03-19 00:22:16+00:00,False,2020-03-19 00:24:32,2020
228,336,3,0,1,11,0,True,True,True,2020-03-18 22:35:42+00:00,False,2020-03-19 00:24:32,2020
229,337,12,0,1,2,0,True,True,True,2020-03-18 19:03:48+00:00,False,2020-03-19 00:24:32,2020
230,338,11,0,0,4,0,True,True,True,2020-03-18 23:56:35+00:00,False,2020-03-19 00:24:32,2020
231,339,0,0,0,3,0,False,False,False,2019-11-07 18:06:54+00:00,False,2020-03-19 00:24:32,2019
