,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
164,True,2020-08-04 21:02:23+00:00,active,True,190,1,18,True,190,True,0,18,0,,,2020-08-04 21:07:00,2020
165,True,2020-08-04 19:56:21+00:00,active,True,191,0,14,False,191,True,0,1,0,,,2020-08-04 21:07:00,2020
166,True,2020-08-04 20:43:18+00:00,active,True,192,0,13,False,192,True,0,6,0,,,2020-08-04 21:07:00,2020
167,True,2020-08-04 20:58:20+00:00,active,True,193,1,4,True,193,True,0,10,0,,,2020-08-04 21:07:00,2020
168,True,2020-08-04 19:58:50+00:00,active,True,194,0,12,False,194,True,0,7,0,,,2020-08-04 21:07:00,2020
169,True,2020-08-04 20:40:40+00:00,active,True,195,0,14,False,195,True,0,9,0,,,2020-08-04 21:07:00,2020
170,True,2020-08-04 19:37:15+00:00,active,True,196,0,7,True,196,True,0,3,0,,,2020-08-04 21:07:00,2020
171,True,2020-08-04 21:02:16+00:00,active,True,197,0,15,False,197,True,0,0,0,,,2020-08-04 21:07:00,2020
172,True,2020-08-04 19:45:54+00:00,active,True,199,0,2,False,199,True,0,13,0,,,2020-08-04 21:07:00,2020
173,True,2020-08-04 19:54:25+00:00,active,True,200,1,4,False,200,True,0,14,0,,,2020-08-04 21:07:00,2020
174,True,2020-08-04 12:17:44+00:00,active,True,201,0,15,False,201,True,0,0,0,,,2020-08-04 21:07:00,2020
175,True,2020-08-04 18:10:32+00:00,active,True,202,1,14,False,202,True,0,0,0,,,2020-08-04 21:07:00,2020
176,True,2020-08-04 08:21:44+00:00,active,True,203,0,9,False,203,True,0,6,0,,,2020-08-04 21:07:00,2020
177,True,2020-08-04 21:02:39+00:00,active,True,204,1,11,False,204,True,0,3,0,,,2020-08-04 21:07:00,2020
178,True,2020-08-04 19:24:51+00:00,active,True,205,0,7,False,205,True,0,8,0,,,2020-08-04 21:07:00,2020
179,True,2020-08-04 20:45:35+00:00,active,True,206,0,14,False,206,True,0,9,0,,,2020-08-04 21:07:00,2020
180,True,2020-08-04 20:50:12+00:00,active,True,208,0,1,True,208,True,0,14,0,,,2020-08-04 21:07:00,2020
181,True,2020-08-04 20:12:47+00:00,active,True,209,0,7,False,209,True,0,8,0,,,2020-08-04 21:07:00,2020
182,True,2020-08-04 18:57:17+00:00,active,True,210,1,13,False,210,True,0,1,0,,,2020-08-04 21:07:00,2020
183,True,2020-08-04 20:46:47+00:00,active,True,211,0,3,False,211,True,0,16,0,,,2020-08-04 21:07:00,2020
184,True,2020-08-04 20:25:54+00:00,active,True,212,0,9,False,212,True,0,24,0,,,2020-08-04 21:07:00,2020
185,True,2020-08-04 17:54:14+00:00,active,True,213,0,11,True,213,True,0,5,0,,,2020-08-04 21:07:00,2020
186,True,2020-08-04 20:39:11+00:00,active,True,214,0,7,False,214,True,0,8,0,,,2020-08-04 21:07:00,2020
187,True,2020-08-04 19:07:32+00:00,active,True,215,0,0,False,215,True,0,15,0,,,2020-08-04 21:07:00,2020
188,True,2020-08-04 18:10:19+00:00,active,True,216,0,7,False,216,True,0,12,0,,,2020-08-04 21:07:00,2020
189,True,2020-08-04 20:01:05+00:00,active,True,217,1,2,False,217,True,0,16,0,,,2020-08-04 21:07:00,2020
190,True,2020-08-04 20:53:35+00:00,active,True,218,1,7,False,218,True,0,7,0,,,2020-08-04 21:07:00,2020
191,True,2020-08-04 20:19:56+00:00,active,True,219,0,6,False,219,True,0,9,0,,,2020-08-04 21:07:00,2020
192,True,2020-08-04 21:01:12+00:00,active,True,221,0,11,False,221,True,0,8,0,,,2020-08-04 21:07:00,2020
193,True,2020-08-04 21:06:15+00:00,active,True,222,0,7,True,222,True,0,7,0,,,2020-08-04 21:07:00,2020
194,True,2020-08-04 20:31:14+00:00,active,True,224,0,11,False,224,True,0,6,0,,,2020-08-04 21:07:00,2020
195,True,2020-08-04 19:59:54+00:00,active,True,225,1,17,False,225,True,0,1,0,,,2020-08-04 21:07:00,2020
196,True,2020-08-04 21:05:33+00:00,active,True,226,1,8,False,226,True,0,6,0,,,2020-08-04 21:07:00,2020
197,True,2020-08-04 19:24:29+00:00,active,True,227,0,19,False,227,True,0,0,0,,,2020-08-04 21:07:00,2020
198,True,2020-08-04 20:36:27+00:00,active,True,228,1,3,False,228,True,0,15,0,,,2020-08-04 21:07:00,2020
199,True,2020-08-04 18:35:54+00:00,active,True,232,0,9,False,232,True,0,2,0,,,2020-08-04 21:07:00,2020
200,True,2020-08-04 19:36:04+00:00,active,True,233,0,11,False,233,True,0,4,0,,,2020-08-04 21:07:00,2020
201,True,2020-08-04 18:48:07+00:00,active,True,234,0,13,False,234,True,0,2,0,,,2020-08-04 21:07:00,2020
202,True,2020-08-04 18:56:45+00:00,active,True,235,1,11,False,235,True,0,3,0,,,2020-08-04 21:07:00,2020
203,True,2020-08-04 20:12:28+00:00,active,True,236,0,4,False,236,True,0,11,0,,,2020-08-04 21:07:00,2020
204,True,2020-08-04 20:34:13+00:00,active,True,239,0,4,False,239,True,0,11,0,,,2020-08-04 21:07:00,2020
205,True,2020-08-04 18:43:38+00:00,active,True,255,0,2,False,255,True,0,13,0,,,2020-08-04 21:07:00,2020
206,True,2020-08-04 19:25:29+00:00,active,True,258,0,0,False,258,True,0,15,0,,,2020-08-04 21:07:00,2020
207,True,2020-08-04 09:01:37+00:00,active,True,259,0,15,False,259,True,0,0,0,,,2020-08-04 21:07:00,2020
208,True,2020-08-04 20:42:30+00:00,active,True,260,0,13,False,260,True,0,2,0,,,2020-08-04 21:07:00,2020
209,True,2020-08-04 20:37:38+00:00,active,True,271,0,9,False,271,True,0,6,0,,,2020-08-04 21:07:00,2020
