,station_id,num_docks_available,num_docks_disabled,station_status,is_installed,legacy_id,num_bikes_disabled,is_renting,num_ebikes_available,is_returning,last_reported,eightd_has_available_keys,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
294,406,11,0,active,True,406,0,True,0,True,2020-08-22 00:54:27+00:00,False,8,2020-08-22 01:13:00,2020
295,407,18,0,active,True,407,0,True,0,True,2020-08-21 23:49:56+00:00,False,1,2020-08-22 01:13:00,2020
296,408,8,0,active,True,408,0,True,0,True,2020-08-22 00:33:20+00:00,False,7,2020-08-22 01:13:00,2020
297,409,13,0,active,True,409,0,True,0,True,2020-08-22 01:11:58+00:00,False,6,2020-08-22 01:13:00,2020
298,410,10,0,active,True,410,0,True,0,True,2020-08-22 00:49:22+00:00,False,9,2020-08-22 01:13:00,2020
299,411,11,0,active,True,411,0,True,0,True,2020-08-22 00:12:03+00:00,False,4,2020-08-22 01:13:00,2020
300,412,3,0,active,True,412,0,True,0,True,2020-08-22 00:58:13+00:00,False,16,2020-08-22 01:13:00,2020
301,413,3,0,active,True,413,1,True,0,True,2020-08-22 01:09:06+00:00,False,15,2020-08-22 01:13:00,2020
302,414,19,0,active,True,414,0,True,0,True,2020-08-21 22:20:59+00:00,False,4,2020-08-22 01:13:00,2020
303,415,1,0,active,True,415,0,True,0,True,2020-08-22 01:00:50+00:00,False,18,2020-08-22 01:13:00,2020
304,416,4,0,active,True,416,1,True,0,True,2020-08-22 00:46:41+00:00,False,10,2020-08-22 01:13:00,2020
305,417,7,0,active,True,417,0,True,0,True,2020-08-22 00:49:31+00:00,False,12,2020-08-22 01:13:00,2020
306,419,2,0,active,True,419,0,True,0,True,2020-08-22 00:25:53+00:00,False,13,2020-08-22 01:13:00,2020
307,420,0,0,out_of_service,False,420,0,False,0,False,1970-01-02 00:00:00+00:00,False,0,2020-08-22 01:13:00,1970
308,421,11,0,active,True,421,0,True,0,True,2020-08-21 20:02:09+00:00,False,8,2020-08-22 01:13:00,2020
309,422,10,0,active,True,422,0,True,0,True,2020-08-21 08:57:39+00:00,False,5,2020-08-22 01:13:00,2020
