,is_returning,num_bikes_available,last_reported,num_docks_available,num_ebikes_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_status,num_bikes_disabled,legacy_id,station_id,timestamp_of_data_read_request,year_station_last_reported
152,True,12,2020-08-22 01:32:46+00:00,6,0,0,True,True,False,active,1,178,178,2020-08-22 01:33:30,2020
153,True,10,2020-08-22 01:31:16+00:00,15,0,0,True,True,False,active,0,179,179,2020-08-22 01:33:30,2020
154,True,11,2020-08-22 01:01:08+00:00,8,0,0,True,True,False,active,0,180,180,2020-08-22 01:33:30,2020
155,True,6,2020-08-22 01:05:36+00:00,13,0,0,True,True,False,active,0,181,181,2020-08-22 01:33:30,2020
156,True,4,2020-08-22 01:22:56+00:00,15,0,0,True,True,True,active,0,182,182,2020-08-22 01:33:30,2020
157,True,1,2020-08-21 23:03:43+00:00,18,0,0,True,True,False,active,0,183,183,2020-08-22 01:33:30,2020
158,True,3,2020-08-22 00:56:11+00:00,16,0,0,True,True,False,active,0,184,184,2020-08-22 01:33:30,2020
159,True,6,2020-08-22 01:31:09+00:00,9,0,0,True,True,False,active,0,185,185,2020-08-22 01:33:30,2020
160,True,15,2020-08-22 01:28:54+00:00,0,0,0,True,True,True,active,0,186,186,2020-08-22 01:33:30,2020
161,True,2,2020-08-22 00:37:03+00:00,12,0,0,True,True,False,active,1,187,187,2020-08-22 01:33:30,2020
162,True,12,2020-08-22 00:39:36+00:00,3,0,0,True,True,False,active,0,188,188,2020-08-22 01:33:30,2020
163,True,2,2020-08-22 01:28:58+00:00,21,0,0,True,True,True,active,0,189,189,2020-08-22 01:33:30,2020
164,True,15,2020-08-22 01:28:26+00:00,21,0,0,True,True,True,active,1,190,190,2020-08-22 01:33:30,2020
165,True,1,2020-08-22 00:15:03+00:00,14,0,0,True,True,False,active,0,191,191,2020-08-22 01:33:30,2020
166,True,5,2020-08-22 01:05:48+00:00,14,0,0,True,True,False,active,0,192,192,2020-08-22 01:33:30,2020
167,True,4,2020-08-22 01:07:18+00:00,11,0,0,True,True,True,active,0,193,193,2020-08-22 01:33:30,2020
168,True,5,2020-08-21 23:33:30+00:00,14,0,0,True,True,False,active,0,194,194,2020-08-22 01:33:30,2020
169,True,8,2020-08-22 01:26:31+00:00,15,0,0,True,True,False,active,0,195,195,2020-08-22 01:33:30,2020
170,True,6,2020-08-21 23:31:49+00:00,4,0,0,True,True,False,active,0,196,196,2020-08-22 01:33:30,2020
171,True,11,2020-08-21 23:35:23+00:00,4,0,0,True,True,False,active,0,197,197,2020-08-22 01:33:30,2020
172,True,11,2020-08-21 23:38:51+00:00,4,0,0,True,True,False,active,0,199,199,2020-08-22 01:33:30,2020
173,True,11,2020-08-22 00:01:15+00:00,8,0,0,True,True,False,active,0,200,200,2020-08-22 01:33:30,2020
174,True,2,2020-08-21 22:44:20+00:00,13,0,0,True,True,False,active,0,201,201,2020-08-22 01:33:30,2020
175,True,2,2020-08-22 00:04:05+00:00,13,0,0,True,True,False,active,0,202,202,2020-08-22 01:33:30,2020
176,True,6,2020-08-21 12:45:21+00:00,9,0,0,True,True,False,active,0,203,203,2020-08-22 01:33:30,2020
177,True,1,2020-08-22 01:15:54+00:00,14,0,0,True,True,False,active,0,204,204,2020-08-22 01:33:30,2020
178,True,3,2020-08-21 22:54:25+00:00,12,0,0,True,True,False,active,0,205,205,2020-08-22 01:33:30,2020
