,legacy_id,eightd_has_available_keys,num_docks_disabled,is_installed,num_docks_available,last_reported,is_renting,num_bikes_available,is_returning,num_bikes_disabled,station_status,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
117,130,False,0,True,6,2020-07-30 17:48:57+00:00,True,9,True,0,active,130,0,,,2020-07-30 19:07:45,2020
118,131,False,0,True,2,2020-07-30 18:53:24+00:00,True,14,True,2,active,131,0,,,2020-07-30 19:07:45,2020
119,133,False,0,True,14,2020-07-30 17:52:12+00:00,True,9,True,0,active,133,0,,,2020-07-30 19:07:45,2020
120,135,False,0,True,10,2020-07-30 18:43:05+00:00,True,7,True,0,active,135,0,,,2020-07-30 19:07:45,2020
121,136,False,0,True,4,2020-07-30 17:04:29+00:00,True,15,True,0,active,136,0,,,2020-07-30 19:07:45,2020
122,137,False,0,True,4,2020-07-30 18:29:37+00:00,True,11,True,0,active,137,0,,,2020-07-30 19:07:45,2020
123,138,False,0,True,3,2020-07-30 18:08:29+00:00,True,12,True,0,active,138,0,,,2020-07-30 19:07:45,2020
124,139,False,0,True,13,2020-07-30 19:06:32+00:00,True,5,True,1,active,139,0,,,2020-07-30 19:07:45,2020
125,140,False,0,True,9,2020-07-30 19:01:40+00:00,True,8,True,0,active,140,0,,,2020-07-30 19:07:45,2020
126,141,False,0,True,9,2020-07-30 18:34:54+00:00,True,6,True,0,active,141,0,,,2020-07-30 19:07:45,2020
127,142,False,0,True,7,2020-07-30 18:45:17+00:00,True,15,True,1,active,142,0,,,2020-07-30 19:07:45,2020
128,143,False,0,True,21,2020-07-30 18:29:08+00:00,True,2,True,0,active,143,0,,,2020-07-30 19:07:45,2020
129,144,False,0,True,16,2020-07-30 18:45:11+00:00,True,2,True,1,active,144,0,,,2020-07-30 19:07:45,2020
130,145,False,0,True,11,2020-07-30 16:53:46+00:00,True,8,True,0,active,145,0,,,2020-07-30 19:07:45,2020
131,146,False,0,True,9,2020-07-30 18:38:31+00:00,True,10,True,0,active,146,0,,,2020-07-30 19:07:45,2020
132,149,True,0,True,7,2020-07-30 19:03:02+00:00,True,11,True,0,active,149,0,,,2020-07-30 19:07:45,2020
133,150,False,0,True,10,2020-07-30 19:06:58+00:00,True,9,True,0,active,150,0,,,2020-07-30 19:07:45,2020
