,eightd_has_available_keys,legacy_id,is_returning,last_reported,num_bikes_disabled,num_docks_available,station_id,num_docks_disabled,is_installed,num_bikes_available,is_renting,num_ebikes_available,station_status,timestamp_of_data_read_request,year_station_last_reported
200,False,233,True,2020-08-11 05:16:27+00:00,3,6,233,0,True,6,True,0,active,2020-08-11 06:58:45,2020
201,False,234,True,2020-08-11 01:44:48+00:00,0,13,234,0,True,2,True,0,active,2020-08-11 06:58:45,2020
202,False,235,True,2020-08-10 20:46:12+00:00,0,10,235,0,True,5,True,0,active,2020-08-11 06:58:45,2020
203,False,236,True,2020-08-11 01:08:14+00:00,0,4,236,0,True,11,True,0,active,2020-08-11 06:58:45,2020
204,False,239,True,2020-08-11 01:32:03+00:00,0,4,239,0,True,11,True,0,active,2020-08-11 06:58:45,2020
205,False,255,True,2020-08-11 01:54:59+00:00,0,4,255,0,True,11,True,0,active,2020-08-11 06:58:45,2020
206,False,258,True,2020-08-11 00:02:39+00:00,1,5,258,0,True,9,True,0,active,2020-08-11 06:58:45,2020
207,False,259,True,2020-08-11 01:07:45+00:00,0,0,259,0,True,15,True,0,active,2020-08-11 06:58:45,2020
208,False,260,True,2020-08-11 05:55:43+00:00,0,2,260,0,True,13,True,0,active,2020-08-11 06:58:45,2020
209,False,271,True,2020-08-11 01:38:56+00:00,0,8,271,0,True,7,True,0,active,2020-08-11 06:58:45,2020
210,False,272,True,2020-08-10 23:07:58+00:00,1,12,272,0,True,6,True,0,active,2020-08-11 06:58:45,2020
211,False,273,True,2020-08-11 04:18:14+00:00,0,20,273,0,True,20,True,0,active,2020-08-11 06:58:45,2020
212,False,279,True,2020-08-11 04:48:30+00:00,0,4,279,0,True,15,True,0,active,2020-08-11 06:58:45,2020
213,False,280,True,2020-08-11 00:34:06+00:00,0,10,280,0,True,9,True,0,active,2020-08-11 06:58:45,2020
214,False,282,True,2020-08-11 00:17:01+00:00,2,0,282,0,True,13,True,0,active,2020-08-11 06:58:45,2020
215,False,296,True,2020-08-11 03:59:36+00:00,1,10,296,0,True,12,True,0,active,2020-08-11 06:58:45,2020
216,False,318,True,2020-08-11 04:20:28+00:00,0,12,318,0,True,7,True,0,active,2020-08-11 06:58:45,2020
217,False,319,True,2020-08-11 03:06:04+00:00,0,21,319,0,True,4,True,0,active,2020-08-11 06:58:45,2020
218,False,327,True,2020-08-11 01:53:42+00:00,0,0,327,0,True,15,True,0,active,2020-08-11 06:58:45,2020
219,False,328,True,2020-08-11 04:19:23+00:00,0,14,328,0,True,1,True,0,active,2020-08-11 06:58:45,2020
220,False,329,True,2020-08-11 02:08:33+00:00,0,10,329,0,True,5,True,0,active,2020-08-11 06:58:45,2020
221,False,330,True,2020-08-11 01:55:30+00:00,0,6,330,0,True,9,True,0,active,2020-08-11 06:58:45,2020
222,False,331,True,2020-08-11 05:39:01+00:00,0,9,331,0,True,6,True,0,active,2020-08-11 06:58:45,2020
223,False,332,True,2020-08-11 04:44:39+00:00,1,0,332,0,True,14,True,0,active,2020-08-11 06:58:45,2020
224,False,333,True,2020-08-11 01:46:52+00:00,0,4,333,0,True,21,True,0,active,2020-08-11 06:58:45,2020
225,False,334,True,2020-08-11 02:36:46+00:00,0,1,334,0,True,18,True,0,active,2020-08-11 06:58:45,2020
226,False,335,True,2020-08-11 06:05:56+00:00,0,1,335,0,True,18,True,0,active,2020-08-11 06:58:45,2020
