,station_id,is_installed,legacy_id,num_bikes_available,num_bikes_disabled,last_reported,is_returning,num_docks_disabled,num_ebikes_available,is_renting,station_status,eightd_has_available_keys,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
200,233,True,233,5,0,2020-08-04 22:50:37+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
201,234,True,234,3,0,2020-08-04 22:47:33+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
202,235,True,235,4,1,2020-08-04 21:47:50+00:00,True,0,0,True,active,False,10,,,2020-08-04 22:59:25,2020
203,236,True,236,11,0,2020-08-04 22:54:59+00:00,True,0,0,True,active,False,4,,,2020-08-04 22:59:25,2020
204,239,True,239,10,0,2020-08-04 21:32:38+00:00,True,0,0,True,active,False,5,,,2020-08-04 22:59:25,2020
205,255,True,255,12,0,2020-08-04 22:15:33+00:00,True,0,0,True,active,False,3,,,2020-08-04 22:59:25,2020
206,258,True,258,15,0,2020-08-04 19:25:29+00:00,True,0,0,True,active,False,0,,,2020-08-04 22:59:25,2020
207,259,True,259,0,0,2020-08-04 09:01:37+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
208,260,True,260,2,0,2020-08-04 20:42:30+00:00,True,0,0,True,active,False,13,,,2020-08-04 22:59:25,2020
209,271,True,271,6,0,2020-08-04 20:37:38+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
210,272,True,272,5,0,2020-08-04 20:21:43+00:00,True,0,0,True,active,False,14,,,2020-08-04 22:59:25,2020
211,273,True,273,24,1,2020-08-04 21:57:33+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
212,279,True,279,7,0,2020-08-04 22:50:36+00:00,True,0,0,True,active,False,12,,,2020-08-04 22:59:25,2020
213,280,True,280,10,0,2020-08-04 22:44:06+00:00,True,0,0,True,active,False,9,,,2020-08-04 22:59:25,2020
214,282,True,282,13,0,2020-08-04 22:34:15+00:00,True,0,0,True,active,False,2,,,2020-08-04 22:59:25,2020
215,296,True,296,7,1,2020-08-04 22:44:36+00:00,True,0,0,True,active,False,15,,,2020-08-04 22:59:25,2020
216,318,True,318,13,0,2020-08-04 22:53:33+00:00,True,0,0,True,active,False,6,,,2020-08-04 22:59:25,2020
