,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,timestamp_of_data_read_request,year_station_last_reported
0,3,True,True,active,0,11,4,3,False,2020-08-21 04:02:40+00:00,True,0,0,2020-08-21 04:52:45,2020
1,4,True,True,active,0,4,15,4,False,2020-08-21 03:10:35+00:00,True,0,0,2020-08-21 04:52:45,2020
2,5,True,True,active,0,8,7,5,False,2020-08-21 04:36:01+00:00,True,0,0,2020-08-21 04:52:45,2020
3,6,True,True,active,0,9,6,6,False,2020-08-21 03:57:45+00:00,True,0,0,2020-08-21 04:52:45,2020
4,7,True,True,active,0,14,1,7,False,2020-08-21 04:43:59+00:00,True,0,0,2020-08-21 04:52:45,2020
5,8,True,True,active,1,2,16,8,False,2020-08-21 04:38:10+00:00,True,0,0,2020-08-21 04:52:45,2020
6,9,True,True,active,0,0,15,9,False,2020-08-21 04:09:06+00:00,True,0,0,2020-08-21 04:52:45,2020
7,10,True,True,active,0,9,2,10,False,2020-08-21 04:36:14+00:00,True,0,0,2020-08-21 04:52:45,2020
8,11,True,True,active,0,15,0,11,False,2020-08-21 03:19:12+00:00,True,0,0,2020-08-21 04:52:45,2020
9,12,True,True,active,0,8,10,12,True,2020-08-21 04:40:43+00:00,True,0,0,2020-08-21 04:52:45,2020
10,13,True,True,active,0,15,4,13,False,2020-08-21 04:24:54+00:00,True,0,0,2020-08-21 04:52:45,2020
11,14,True,True,active,0,25,0,14,False,2020-08-21 04:26:58+00:00,True,0,0,2020-08-21 04:52:45,2020
12,15,True,True,active,0,1,14,15,False,2020-08-21 02:28:13+00:00,True,0,0,2020-08-21 04:52:45,2020
13,16,True,True,active,0,14,5,16,True,2020-08-21 02:49:28+00:00,True,0,0,2020-08-21 04:52:45,2020
14,17,True,True,active,0,10,5,17,False,2020-08-21 04:43:45+00:00,True,0,0,2020-08-21 04:52:45,2020
15,19,True,True,active,0,14,1,19,False,2020-08-21 04:51:07+00:00,True,0,0,2020-08-21 04:52:45,2020
16,20,True,True,active,0,11,12,20,True,2020-08-21 04:13:55+00:00,True,0,0,2020-08-21 04:52:45,2020
17,21,True,True,active,0,3,15,21,True,2020-08-21 02:45:57+00:00,True,0,0,2020-08-21 04:52:45,2020
18,22,True,True,active,0,47,0,22,True,2020-08-21 04:39:16+00:00,True,0,0,2020-08-21 04:52:45,2020
19,23,True,True,active,0,21,0,23,False,2020-08-21 03:16:49+00:00,True,0,0,2020-08-21 04:52:45,2020
20,24,True,True,active,1,13,5,24,False,2020-08-21 04:47:12+00:00,True,0,0,2020-08-21 04:52:45,2020
21,25,True,True,active,0,4,11,25,False,2020-08-21 03:41:42+00:00,True,0,0,2020-08-21 04:52:45,2020
22,26,True,True,active,0,1,14,26,False,2020-08-21 02:37:38+00:00,True,0,0,2020-08-21 04:52:45,2020
23,27,True,True,active,4,2,17,27,False,2020-08-21 04:22:13+00:00,True,0,0,2020-08-21 04:52:45,2020
24,29,True,True,active,1,12,2,29,False,2020-08-21 02:26:18+00:00,True,0,0,2020-08-21 04:52:45,2020
25,30,True,True,active,0,0,15,30,False,2020-08-21 04:46:38+00:00,True,0,0,2020-08-21 04:52:45,2020
26,31,True,True,active,0,17,2,31,True,2020-08-21 03:11:44+00:00,True,0,0,2020-08-21 04:52:45,2020
27,32,True,True,active,0,12,3,32,False,2020-08-21 04:07:33+00:00,True,0,0,2020-08-21 04:52:45,2020
28,33,True,True,active,1,11,15,33,False,2020-08-21 04:06:29+00:00,True,0,0,2020-08-21 04:52:45,2020
29,35,True,True,active,0,17,6,35,False,2020-08-21 03:12:00+00:00,True,0,0,2020-08-21 04:52:45,2020
30,36,True,True,active,0,22,11,36,True,2020-08-21 03:41:01+00:00,True,0,0,2020-08-21 04:52:45,2020
31,37,True,True,active,0,7,8,37,True,2020-08-21 02:25:48+00:00,True,0,0,2020-08-21 04:52:45,2020
32,39,True,True,active,0,11,12,39,False,2020-08-21 04:35:27+00:00,True,0,0,2020-08-21 04:52:45,2020
33,40,True,True,active,0,1,18,40,False,2020-08-21 04:42:26+00:00,True,0,0,2020-08-21 04:52:45,2020
34,41,True,True,active,1,3,23,41,True,2020-08-21 04:39:05+00:00,True,0,0,2020-08-21 04:52:45,2020
35,42,True,True,active,1,17,5,42,False,2020-08-21 01:27:58+00:00,True,0,0,2020-08-21 04:52:45,2020
36,43,True,True,active,0,15,0,43,True,2020-08-21 04:41:34+00:00,True,0,0,2020-08-21 04:52:45,2020
37,44,True,True,active,0,16,7,44,False,2020-08-21 02:47:24+00:00,True,0,0,2020-08-21 04:52:45,2020
38,46,True,True,active,0,7,12,46,False,2020-08-21 04:46:50+00:00,True,0,0,2020-08-21 04:52:45,2020
39,47,True,True,active,0,12,7,47,True,2020-08-21 04:30:13+00:00,True,0,0,2020-08-21 04:52:45,2020
40,48,True,True,active,1,12,6,48,False,2020-08-21 01:44:26+00:00,True,0,0,2020-08-21 04:52:45,2020
41,49,True,True,active,0,4,14,49,False,2020-08-21 03:44:33+00:00,True,0,0,2020-08-21 04:52:45,2020
42,50,True,True,active,1,7,7,50,True,2020-08-21 02:53:04+00:00,True,0,0,2020-08-21 04:52:45,2020
43,51,True,True,active,0,3,12,51,False,2020-08-21 02:36:54+00:00,True,0,0,2020-08-21 04:52:45,2020
44,52,True,True,active,0,18,5,52,True,2020-08-21 03:25:30+00:00,True,0,0,2020-08-21 04:52:45,2020
45,53,True,True,active,0,7,12,53,False,2020-08-21 04:48:13+00:00,True,0,0,2020-08-21 04:52:45,2020
46,54,True,True,active,1,12,2,54,False,2020-08-21 03:42:03+00:00,True,0,0,2020-08-21 04:52:45,2020
47,55,True,True,active,1,0,14,55,False,2020-08-21 04:40:55+00:00,True,0,0,2020-08-21 04:52:45,2020
48,56,True,True,active,0,12,6,56,False,2020-08-21 02:04:59+00:00,True,0,0,2020-08-21 04:52:45,2020
49,57,True,True,active,0,3,11,57,True,2020-08-21 04:02:17+00:00,True,0,0,2020-08-21 04:52:45,2020
50,58,True,True,active,1,14,4,58,True,2020-08-21 04:23:52+00:00,True,0,0,2020-08-21 04:52:45,2020
