,eightd_has_available_keys,station_id,num_docks_disabled,is_returning,is_renting,num_docks_available,last_reported,station_status,legacy_id,num_bikes_disabled,is_installed,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
104,False,115,0,True,True,7,2020-07-31 23:39:28+00:00,active,115,1,True,0,11,,,2020-07-31 23:42:35,2020
105,False,116,0,True,True,19,2020-07-31 23:39:45+00:00,active,116,0,True,0,4,,,2020-07-31 23:42:35,2020
106,False,117,0,True,True,14,2020-07-31 23:37:17+00:00,active,117,1,True,0,4,,,2020-07-31 23:42:35,2020
107,False,118,0,True,True,8,2020-07-31 23:40:57+00:00,active,118,1,True,0,10,,,2020-07-31 23:42:35,2020
108,False,119,0,True,True,11,2020-07-31 23:41:51+00:00,active,119,1,True,0,3,,,2020-07-31 23:42:35,2020
109,False,120,0,True,True,0,2020-07-31 23:42:04+00:00,active,120,2,True,0,13,,,2020-07-31 23:42:35,2020
110,False,121,0,True,True,17,2020-07-31 23:38:55+00:00,active,121,0,True,0,0,,,2020-07-31 23:42:35,2020
111,False,122,0,True,True,0,2020-07-31 23:22:38+00:00,active,122,0,True,0,15,,,2020-07-31 23:42:35,2020
112,False,124,0,True,True,10,2020-07-31 22:31:16+00:00,active,124,0,True,0,5,,,2020-07-31 23:42:35,2020
113,False,125,0,True,True,10,2020-07-31 23:18:15+00:00,active,125,0,True,0,5,,,2020-07-31 23:42:35,2020
114,False,126,0,True,True,4,2020-07-31 22:13:12+00:00,active,126,0,True,0,11,,,2020-07-31 23:42:35,2020
115,False,128,0,True,True,4,2020-07-31 23:25:26+00:00,active,128,0,True,0,15,,,2020-07-31 23:42:35,2020
116,False,129,0,True,True,10,2020-07-31 23:15:35+00:00,active,129,0,True,0,9,,,2020-07-31 23:42:35,2020
117,False,130,0,True,True,3,2020-07-31 22:34:07+00:00,active,130,0,True,0,12,,,2020-07-31 23:42:35,2020
118,False,131,0,True,True,14,2020-07-31 23:13:42+00:00,active,131,4,True,0,0,,,2020-07-31 23:42:35,2020
119,False,133,0,True,True,10,2020-07-31 23:41:41+00:00,active,133,1,True,0,12,,,2020-07-31 23:42:35,2020
120,False,135,0,True,True,14,2020-07-31 23:18:05+00:00,active,135,0,True,0,3,,,2020-07-31 23:42:35,2020
121,False,136,0,True,True,0,2020-07-31 22:55:35+00:00,active,136,0,True,0,19,,,2020-07-31 23:42:35,2020
122,False,137,0,True,True,9,2020-07-31 23:09:02+00:00,active,137,0,True,0,6,,,2020-07-31 23:42:35,2020
123,False,138,0,True,True,6,2020-07-31 23:31:48+00:00,active,138,0,True,0,9,,,2020-07-31 23:42:35,2020
124,False,139,0,True,True,6,2020-07-31 23:11:51+00:00,active,139,0,True,0,13,,,2020-07-31 23:42:35,2020
125,False,140,0,True,True,11,2020-07-31 23:39:11+00:00,active,140,0,True,0,6,,,2020-07-31 23:42:35,2020
126,False,141,0,True,True,13,2020-07-31 23:31:19+00:00,active,141,0,True,0,2,,,2020-07-31 23:42:35,2020
