,num_bikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,is_renting,is_returning,station_id,last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
159,0,185,0,False,True,True,185,2020-07-28 22:22:37+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
160,7,186,0,True,True,True,186,2020-07-28 22:34:28+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
161,6,187,0,False,True,True,187,2020-07-28 22:21:42+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
162,10,188,0,False,True,True,188,2020-07-28 22:34:27+00:00,True,0,0,5,active,,,2020-07-28 22:34:35,2020
163,7,189,0,True,True,True,189,2020-07-28 22:34:13+00:00,True,1,0,15,active,,,2020-07-28 22:34:35,2020
164,23,190,0,True,True,True,190,2020-07-28 22:29:09+00:00,True,1,0,13,active,,,2020-07-28 22:34:35,2020
165,2,191,0,False,True,True,191,2020-07-28 20:55:54+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
166,0,192,0,False,True,True,192,2020-07-28 22:32:05+00:00,True,0,0,19,active,,,2020-07-28 22:34:35,2020
167,15,193,0,True,True,True,193,2020-07-28 21:39:38+00:00,True,0,0,0,active,,,2020-07-28 22:34:35,2020
168,12,194,0,False,True,True,194,2020-07-28 21:52:10+00:00,True,0,0,7,active,,,2020-07-28 22:34:35,2020
169,12,195,0,False,True,True,195,2020-07-28 22:24:44+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
170,0,196,0,True,True,True,196,2020-07-28 21:39:44+00:00,True,0,0,10,active,,,2020-07-28 22:34:35,2020
171,0,197,0,False,True,True,197,2020-07-28 21:23:09+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
172,0,199,0,False,True,True,199,2020-07-28 22:24:57+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
173,16,200,0,False,True,True,200,2020-07-28 22:31:27+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
174,1,201,0,False,True,True,201,2020-07-28 18:49:12+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
175,3,202,0,False,True,True,202,2020-07-28 14:43:09+00:00,True,1,0,11,active,,,2020-07-28 22:34:35,2020
176,2,203,0,False,True,True,203,2020-07-28 08:58:21+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
177,0,204,0,False,True,True,204,2020-07-28 21:11:55+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
178,3,205,0,False,True,True,205,2020-07-28 12:30:54+00:00,True,1,0,11,active,,,2020-07-28 22:34:35,2020
179,3,206,0,False,True,True,206,2020-07-28 22:27:52+00:00,True,0,0,20,active,,,2020-07-28 22:34:35,2020
180,10,208,0,True,True,True,208,2020-07-28 22:17:14+00:00,True,0,0,5,active,,,2020-07-28 22:34:35,2020
181,12,209,0,False,True,True,209,2020-07-28 21:38:51+00:00,True,1,0,2,active,,,2020-07-28 22:34:35,2020
182,0,210,0,False,True,True,210,2020-07-28 13:53:23+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
183,17,211,0,False,True,True,211,2020-07-28 22:23:37+00:00,True,1,0,1,active,,,2020-07-28 22:34:35,2020
184,5,212,0,False,True,True,212,2020-07-28 22:01:36+00:00,True,0,0,28,active,,,2020-07-28 22:34:35,2020
185,8,213,0,True,True,True,213,2020-07-28 22:22:34+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
186,9,214,0,False,True,True,214,2020-07-28 21:43:38+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
187,12,215,0,False,True,True,215,2020-07-28 22:26:01+00:00,True,1,0,2,active,,,2020-07-28 22:34:35,2020
188,15,216,0,False,True,True,216,2020-07-28 12:48:44+00:00,True,1,0,3,active,,,2020-07-28 22:34:35,2020
189,6,217,0,False,True,True,217,2020-07-28 21:23:26+00:00,True,0,0,13,active,,,2020-07-28 22:34:35,2020
190,8,218,0,False,True,True,218,2020-07-28 22:12:13+00:00,True,1,0,6,active,,,2020-07-28 22:34:35,2020
191,9,219,0,False,True,True,219,2020-07-28 22:28:42+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
192,6,221,0,False,True,True,221,2020-07-28 22:27:14+00:00,True,2,0,11,active,,,2020-07-28 22:34:35,2020
193,5,222,0,True,True,True,222,2020-07-28 21:47:50+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
194,10,224,0,False,True,True,224,2020-07-28 21:44:38+00:00,True,0,0,7,active,,,2020-07-28 22:34:35,2020
195,17,225,0,False,True,True,225,2020-07-28 22:23:28+00:00,True,1,0,1,active,,,2020-07-28 22:34:35,2020
196,1,226,0,False,True,True,226,2020-07-28 22:31:28+00:00,True,0,0,14,active,,,2020-07-28 22:34:35,2020
197,6,227,0,False,True,True,227,2020-07-28 22:28:54+00:00,True,1,0,12,active,,,2020-07-28 22:34:35,2020
198,4,228,0,False,True,True,228,2020-07-28 22:23:57+00:00,True,0,0,15,active,,,2020-07-28 22:34:35,2020
199,5,232,0,False,True,True,232,2020-07-28 21:22:00+00:00,True,0,0,6,active,,,2020-07-28 22:34:35,2020
200,12,233,0,False,True,True,233,2020-07-28 22:14:49+00:00,True,0,0,3,active,,,2020-07-28 22:34:35,2020
201,5,234,0,False,True,True,234,2020-07-28 22:27:10+00:00,True,0,0,10,active,,,2020-07-28 22:34:35,2020
202,14,235,0,False,True,True,235,2020-07-28 22:08:31+00:00,True,0,0,1,active,,,2020-07-28 22:34:35,2020
203,6,236,0,False,True,True,236,2020-07-28 21:26:03+00:00,True,0,0,9,active,,,2020-07-28 22:34:35,2020
204,4,239,0,False,True,True,239,2020-07-28 22:25:27+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
205,7,255,0,False,True,True,255,2020-07-28 16:47:53+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
206,7,258,0,False,True,True,258,2020-07-28 20:51:33+00:00,True,0,0,8,active,,,2020-07-28 22:34:35,2020
207,1,259,0,False,True,True,259,2020-07-28 22:00:07+00:00,True,1,0,13,active,,,2020-07-28 22:34:35,2020
208,13,260,0,False,False,False,260,2020-07-28 17:40:18+00:00,True,0,0,2,active,,,2020-07-28 22:34:35,2020
209,6,271,0,False,True,True,271,2020-07-28 17:01:28+00:00,True,1,0,8,active,,,2020-07-28 22:34:35,2020
210,12,272,0,False,True,True,272,2020-07-28 21:10:17+00:00,True,0,0,7,active,,,2020-07-28 22:34:35,2020
211,26,273,0,False,True,True,273,2020-07-28 22:01:54+00:00,True,1,0,13,active,,,2020-07-28 22:34:35,2020
212,8,279,0,False,True,True,279,2020-07-28 22:18:46+00:00,True,0,0,11,active,,,2020-07-28 22:34:35,2020
213,3,280,0,False,True,True,280,2020-07-28 22:30:07+00:00,True,0,0,16,active,,,2020-07-28 22:34:35,2020
214,15,282,0,False,True,True,282,2020-07-28 22:16:36+00:00,True,0,0,0,active,,,2020-07-28 22:34:35,2020
215,3,296,0,False,True,True,296,2020-07-28 22:33:30+00:00,True,0,0,20,active,,,2020-07-28 22:34:35,2020
216,7,318,0,False,True,True,318,2020-07-28 22:21:46+00:00,True,1,0,11,active,,,2020-07-28 22:34:35,2020
