,eightd_has_available_keys,legacy_id,num_docks_disabled,num_ebikes_available,is_installed,num_docks_available,is_renting,is_returning,station_status,num_bikes_disabled,num_bikes_available,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
228,False,337,0,0,True,3,True,True,active,0,12,2020-08-06 01:01:30+00:00,337,,,2020-08-06 06:33:15,2020
229,False,338,0,0,True,2,True,True,active,0,13,2020-08-06 03:34:25+00:00,338,,,2020-08-06 06:33:15,2020
230,False,339,0,0,True,2,False,False,active,0,13,2020-08-05 23:20:03+00:00,339,,,2020-08-06 06:33:15,2020
231,False,340,0,0,True,2,True,True,active,0,17,2020-08-05 21:17:33+00:00,340,,,2020-08-06 06:33:15,2020
232,True,341,0,0,True,10,True,True,active,0,5,2020-08-06 01:58:09+00:00,341,,,2020-08-06 06:33:15,2020
233,False,342,0,0,True,0,True,True,active,0,15,2020-08-06 05:40:33+00:00,342,,,2020-08-06 06:33:15,2020
234,False,343,0,0,True,9,True,True,active,0,6,2020-08-04 19:00:47+00:00,343,,,2020-08-06 06:33:15,2020
235,False,344,0,0,True,15,True,True,active,0,4,2020-08-06 05:16:42+00:00,344,,,2020-08-06 06:33:15,2020
236,False,345,0,0,True,7,True,True,active,0,12,2020-08-06 06:25:11+00:00,345,,,2020-08-06 06:33:15,2020
237,False,346,0,0,True,14,True,True,active,0,1,2020-08-06 03:12:11+00:00,346,,,2020-08-06 06:33:15,2020
238,False,347,0,0,True,4,True,True,active,0,11,2020-08-06 01:21:33+00:00,347,,,2020-08-06 06:33:15,2020
239,False,348,4,0,True,6,True,True,active,2,3,2020-08-06 06:32:45+00:00,348,,,2020-08-06 06:33:15,2020
240,True,349,0,0,True,11,True,True,active,0,6,2020-08-05 23:36:51+00:00,349,,,2020-08-06 06:33:15,2020
241,False,350,0,0,True,13,True,True,active,0,4,2020-08-05 20:30:06+00:00,350,,,2020-08-06 06:33:15,2020
242,False,351,0,0,True,7,True,True,active,0,8,2020-08-06 04:41:20+00:00,351,,,2020-08-06 06:33:15,2020
243,False,352,0,0,True,7,True,True,active,0,8,2020-08-06 01:50:37+00:00,352,,,2020-08-06 06:33:15,2020
244,True,353,0,0,True,7,True,True,active,0,8,2020-08-05 23:35:59+00:00,353,,,2020-08-06 06:33:15,2020
245,False,354,0,0,True,11,True,True,active,1,3,2020-08-06 04:43:45+00:00,354,,,2020-08-06 06:33:15,2020
246,False,355,0,0,True,10,True,True,active,0,7,2020-08-06 05:10:19+00:00,355,,,2020-08-06 06:33:15,2020
247,False,356,0,0,True,16,True,True,active,1,6,2020-08-06 03:04:15+00:00,356,,,2020-08-06 06:33:15,2020
248,False,357,0,0,True,1,True,True,active,0,14,2020-08-06 03:22:25+00:00,357,,,2020-08-06 06:33:15,2020
249,False,358,0,0,True,5,True,True,active,0,14,2020-08-06 04:05:22+00:00,358,,,2020-08-06 06:33:15,2020
